    5    9
        0.0955400719        0.0000013074        0.0000013483
        0.0000033151        0.0812606595        0.0000017189
        0.0000016985        0.0000012642       -0.0000004775
        0.0000013074        0.0955403993        0.0000005161
        0.0000033265        0.0000017189       -0.0812577355
        0.0000001251        0.0000002387        0.0000015507
        0.0000013483        0.0000005161        0.0955403993
        0.0000033151        0.0000017258        0.0000001296
        0.0812646704        0.0000002137        0.0000015848
        0.0000033151        0.0000033265        0.0000033151
        0.2449291560        0.0000045566        0.0000045407
        0.0000045384        0.0000030855        0.0000022601
        0.0812606595        0.0000017189        0.0000017258
        0.0000045566        0.1539031382        0.0000020805
        0.0000020623        0.0000043701       -0.0000005048
        0.0000017189       -0.0812577355        0.0000001296
        0.0000045407        0.0000020805        0.1539033792
        0.0000012687        0.0000007094        0.0000031650
        0.0000016985        0.0000001251        0.0812646704
        0.0000045384        0.0000020623        0.0000012687
        0.1539034292        0.0000006935        0.0000030991
        0.0000012642        0.0000002387        0.0000002137
        0.0000030855        0.0000043701        0.0000007094
        0.0000006935        0.0962525201        0.0000035698
       -0.0000004775        0.0000015507        0.0000015848
        0.0000022601       -0.0000005048        0.0000031650
        0.0000030991        0.0000035698        0.0962527702
