    5   15
        0.5768445310        0.0000000000        0.0000000000
       -0.0390202406        0.0000000000        0.0000000000
       -0.0390202406        0.0000000000        0.0000000000
       -0.2494020248        0.0000000000        0.1487623125
       -0.2494020248        0.0000000000       -0.1487623125
        0.0000000000        0.5767626996        0.0000000000
        0.0000000000       -0.2493892938        0.1487732554
        0.0000000000       -0.2493892938       -0.1487732554
        0.0000000000       -0.0389920560        0.0000000000
        0.0000000000       -0.0389920560        0.0000000000
        0.0000000000        0.0000000000        0.5768093807
        0.0000000000        0.1487780471       -0.1442083953
        0.0000000000       -0.1487780471       -0.1442083953
        0.1487777936        0.0000000000       -0.1441962950
       -0.1487777936        0.0000000000       -0.1441962950
       -0.0390202406        0.0000000000        0.0000000000
        0.0306528115        0.0000000000        0.0000000000
        0.0081837863        0.0000000000        0.0000000000
        0.0000918214       -0.0112345122        0.0136658774
        0.0000918214        0.0112345122       -0.0136658774
        0.0000000000       -0.2493892938        0.1487780471
        0.0000000000        0.2684473093       -0.1681655644
        0.0000000000       -0.0192447395        0.0079151584
       -0.0000336507        0.0000933620        0.0057361794
        0.0000336507        0.0000933620        0.0057361794
        0.0000000000        0.1487732554       -0.1442083953
        0.0000000000       -0.1681655644        0.1495528943
        0.0000000000       -0.0079151584        0.0057357842
        0.0057351584        0.0136537337       -0.0055401416
       -0.0057351584        0.0136537337       -0.0055401416
       -0.0390202406        0.0000000000        0.0000000000
        0.0081837863        0.0000000000        0.0000000000
        0.0306528115        0.0000000000        0.0000000000
        0.0000918214        0.0112345122        0.0136658774
        0.0000918214       -0.0112345122       -0.0136658774
        0.0000000000       -0.2493892938       -0.1487780471
        0.0000000000       -0.0192447395       -0.0079151584
        0.0000000000        0.2684473093        0.1681655644
        0.0000336507        0.0000933620       -0.0057361794
       -0.0000336507        0.0000933620       -0.0057361794
        0.0000000000       -0.1487732554       -0.1442083953
        0.0000000000        0.0079151584        0.0057357842
        0.0000000000        0.1681655644        0.1495528943
        0.0057351584       -0.0136537337       -0.0055401416
       -0.0057351584       -0.0136537337       -0.0055401416
       -0.2494020248        0.0000000000        0.1487777936
        0.0000918214       -0.0000336507        0.0057351584
        0.0000918214        0.0000336507        0.0057351584
        0.2684867495        0.0000000000       -0.1681710888
       -0.0192683674        0.0000000000        0.0079229784
        0.0000000000       -0.0389920560        0.0000000000
       -0.0112345122        0.0000933620        0.0136537337
        0.0112345122        0.0000933620       -0.0136537337
        0.0000000000        0.0306371778        0.0000000000
        0.0000000000        0.0081681543        0.0000000000
        0.1487623125        0.0000000000       -0.1441962950
        0.0136658774        0.0057361794       -0.0055401416
        0.0136658774       -0.0057361794       -0.0055401416
       -0.1681710888        0.0000000000        0.1495601436
       -0.0079229784        0.0000000000        0.0057164345
       -0.2494020248        0.0000000000       -0.1487777936
        0.0000918214        0.0000336507       -0.0057351584
        0.0000918214       -0.0000336507       -0.0057351584
       -0.0192683674        0.0000000000       -0.0079229784
        0.2684867495        0.0000000000        0.1681710888
        0.0000000000       -0.0389920560        0.0000000000
        0.0112345122        0.0000933620        0.0136537337
       -0.0112345122        0.0000933620       -0.0136537337
        0.0000000000        0.0081681543        0.0000000000
        0.0000000000        0.0306371778        0.0000000000
       -0.1487623125        0.0000000000       -0.1441962950
       -0.0136658774        0.0057361794       -0.0055401416
       -0.0136658774       -0.0057361794       -0.0055401416
        0.0079229784        0.0000000000        0.0057164345
        0.1681710888        0.0000000000        0.1495601436
