    5    9
        0.4472007879        0.0074050939        0.0140264029
       -0.0119833629       -0.0011458377        0.0042125362
        0.0192666005        0.0007648742       -0.0020524396
        0.0074050939        0.4159198329        0.0036571146
       -0.0009254194       -0.0001963281        0.0334806606
       -0.0186256653        0.0008907853       -0.0017403704
        0.0140264029        0.0036571146        0.4206714436
       -0.0035368618        0.0000978167       -0.0137723231
       -0.0171522038        0.0271139442       -0.0016794758
       -0.0119833629       -0.0009254194       -0.0035368618
        0.4206714459       -0.0005594802        0.0136916816
        0.0196047125        0.0271139379       -0.0016794769
       -0.0011458377       -0.0001963281        0.0000978167
       -0.0005594802        0.2179161845        0.0000127994
       -0.0015479645       -0.0015479543       -0.0000044520
        0.0042125362        0.0334806606       -0.0137723231
        0.0136916816        0.0000127994        0.2449590863
       -0.0008868926       -0.0008868807       -0.0027708222
        0.0192666005       -0.0186256653       -0.0171522038
        0.0196047125       -0.0015479645       -0.0008868926
        0.2433494490        0.0016214301       -0.0022124874
        0.0007648742        0.0008907853        0.0271139442
        0.0271139379       -0.0015479543       -0.0008868807
        0.0016214301        0.2433494251       -0.0022124948
       -0.0020524396       -0.0017403704       -0.0016794758
       -0.0016794769       -0.0000044520       -0.0027708222
       -0.0022124874       -0.0022124948        0.1485658345
