    5    9
        0.1346486704        0.0000000642        0.0000015450
        0.1684088193       -0.0000001154        0.0000039847
        0.0000053097       -0.0000000853        0.0000001205
        0.0000000642        0.1346486113        0.0000016149
       -0.0000000909       -0.1683924813        0.0000040239
        0.0000053490       -0.0000000205        0.0000001552
        0.0000015450        0.0000016149        0.1346481201
        0.0000039597        0.0000039745        0.1683988995
        0.0000052853        0.0000002547       -0.0000002643
        0.1684088193       -0.0000000909        0.0000039597
        0.3578484211        0.0000003189        0.0000108241
        0.0000147844       -0.0000002007        0.0000006003
       -0.0000001154       -0.1683924813        0.0000039745
        0.0000003189        0.3578484313        0.0000108139
        0.0000147793       -0.0000002206        0.0000006145
        0.0000039847        0.0000040239        0.1683988995
        0.0000108241        0.0000108139        0.3578449309
        0.0000147696        0.0000010550       -0.0000006651
        0.0000053097        0.0000053490        0.0000052853
        0.0000147844        0.0000147793        0.0000147696
        0.4805200604       -0.0000000551        0.0000007952
       -0.0000000853       -0.0000000205        0.0000002547
       -0.0000002007       -0.0000002206        0.0000010550
       -0.0000000551        0.0830703402        0.0000010152
        0.0000001205        0.0000001552       -0.0000002643
        0.0000006003        0.0000006145       -0.0000006651
        0.0000007952        0.0000010152        0.0830706199
