    5    9
        0.4821026698        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.4363884398        0.0000198895
        0.0000199452        0.0000000000        0.0000000000
        0.0442508701       -0.0000005247       -0.0000005298
        0.0000000000        0.0000198895        0.4363885205
        0.0000198997        0.0000000000        0.0000000000
       -0.0000005150        0.0442509202       -0.0000005701
        0.0000000000        0.0000199452        0.0000198997
        0.4363884898        0.0000000000        0.0000000000
       -0.0000004900       -0.0000005349        0.0442509304
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1471645703        0.0000005355
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000005355        0.1471647988
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0442508701       -0.0000005150
       -0.0000004900        0.0000000000        0.0000000000
        0.2533567999        0.0000135850        0.0000135896
        0.0000000000       -0.0000005247        0.0442509202
       -0.0000005349        0.0000000000        0.0000000000
        0.0000135850        0.2533571001        0.0000135645
        0.0000000000       -0.0000005298       -0.0000005701
        0.0442509304        0.0000000000        0.0000000000
        0.0000135896        0.0000135645        0.2533570898
