    8   18
        0.0408131439        0.0000126710       -0.0000051176
       -0.0000059237       -0.0000100511       -0.0000162999
       -0.0000094099       -0.0000060373        0.0581174589
        0.0000046225       -0.0000078046       -0.0000060624
       -0.0000021964       -0.0000010709        0.0161637109
       -0.0000103910       -0.0000035783       -0.0000176800
        0.0000126710        0.0408464882       -0.0000009135
       -0.0000019151       -0.0000089182       -0.0000022061
       -0.0000074289       -0.0000016485        0.0000040063
        0.0581017963       -0.0000034174       -0.0000042309
       -0.0000012687        0.0161456165        0.0000127312
       -0.0000051222       -0.0000055832       -0.0000126101
       -0.0000051176       -0.0000009135        0.0479257460
       -0.0000002768       -0.0000051881       -0.0000029894
       -0.0000059282        0.0000010425        0.0000020935
       -0.0000013017       -0.0395673965       -0.0000038284
       -0.0000001495        0.0000002859       -0.0000003666
       -0.0251757098        0.0000008095       -0.0000049664
       -0.0000059237       -0.0000019151       -0.0000002768
        0.0295512086       -0.0000170746        0.0000015757
       -0.0000237117       -0.0000011465       -0.0000023931
        0.0000017621       -0.0000018542        0.0413781413
       -0.0000007691       -0.0000030872       -0.0000043218
       -0.0000032634       -0.0000030604       -0.0000138976
       -0.0000100511       -0.0000089182       -0.0000051881
       -0.0000170746        0.0659805971       -0.0000071583
        0.0750539510       -0.0000098220       -0.0000048010
       -0.0000053319       -0.0000057042       -0.0000171451
       -0.0000034879       -0.0000127756       -0.0000021362
       -0.0000064279       -0.0000139988        0.0188893631
       -0.0000162999       -0.0000022061       -0.0000029894
        0.0000015757       -0.0000071583        0.0659757757
       -0.0000113653        0.0750602686       -0.0000053376
       -0.0000047106       -0.0000047208       -0.0000034572
       -0.0000129211       -0.0000041314        0.0000012756
       -0.0000042979        0.0189006295       -0.0000160009
       -0.0000094099       -0.0000074289       -0.0000059282
       -0.0000237117        0.0750539510       -0.0000113653
        0.1361432282       -0.0000231501       -0.0000025176
       -0.0000041399       -0.0000030553       -0.0000137697
       -0.0000058475       -0.0000070588       -0.0000037420
       -0.0000085771       -0.0000105655        0.0041961187
       -0.0000060373       -0.0000016485        0.0000010425
       -0.0000011465       -0.0000098220        0.0750602686
       -0.0000231501        0.1361354657        0.0000002001
       -0.0000011937       -0.0000025614       -0.0000014029
       -0.0000097106       -0.0000036567       -0.0000022436
       -0.0000021186        0.0042015131       -0.0000119701
        0.0581174589        0.0000040063        0.0000020935
       -0.0000023931       -0.0000048010       -0.0000053376
       -0.0000025176        0.0000002001        0.1466232823
        0.0000178864       -0.0000003519        0.0000009891
        0.0000005957        0.0000095889        0.0332536518
        0.0000001552       -0.0000056616       -0.0000053512
        0.0000046225        0.0581017963       -0.0000013017
        0.0000017621       -0.0000053319       -0.0000047106
       -0.0000041399       -0.0000011937        0.0000178864
        0.1466704032       -0.0000010607       -0.0000011210
       -0.0000015524        0.0332301795        0.0000139522
       -0.0000048379       -0.0000062147       -0.0000064330
       -0.0000078046       -0.0000034174       -0.0395673965
       -0.0000018542       -0.0000057042       -0.0000047208
       -0.0000030553       -0.0000025614       -0.0000003519
       -0.0000010607        0.1721289209        0.0000017457
       -0.0000023249       -0.0000027444       -0.0000005406
       -0.0301771746       -0.0000056531       -0.0000108378
       -0.0000060624       -0.0000042309       -0.0000038284
        0.0413781413       -0.0000171451       -0.0000034572
       -0.0000137697       -0.0000014029        0.0000009891
       -0.0000011210        0.0000017457        0.1772183828
       -0.0000019725       -0.0000031145       -0.0000016348
       -0.0000061294       -0.0000018429       -0.0000230006
       -0.0000021964       -0.0000012687       -0.0000001495
       -0.0000007691       -0.0000034879       -0.0000129211
       -0.0000058475       -0.0000097106        0.0000005957
       -0.0000015524       -0.0000023249       -0.0000019725
        0.0007385847       -0.0000016655       -0.0000048021
       -0.0000027705       -0.0000082110       -0.0000067945
       -0.0000010709        0.0161456165        0.0000002859
       -0.0000030872       -0.0000127756       -0.0000041314
       -0.0000070588       -0.0000036567        0.0000095889
        0.0332301795       -0.0000027444       -0.0000031145
       -0.0000016655        0.0673137004        0.0000182411
       -0.0000051745       -0.0000054990       -0.0000081928
        0.0161637109        0.0000127312       -0.0000003666
       -0.0000043218       -0.0000021362        0.0000012756
       -0.0000037420       -0.0000022436        0.0332536518
        0.0000139522       -0.0000005406       -0.0000016348
       -0.0000048021        0.0000182411        0.0672686656
       -0.0000059151       -0.0000038875       -0.0000083145
       -0.0000103910       -0.0000051222       -0.0251757098
       -0.0000032634       -0.0000064279       -0.0000042979
       -0.0000085771       -0.0000021186        0.0000001552
       -0.0000048379       -0.0301771746       -0.0000061294
       -0.0000027705       -0.0000051745       -0.0000059151
        0.0990288333       -0.0000057747       -0.0000085493
       -0.0000035783       -0.0000055832        0.0000008095
       -0.0000030604       -0.0000139988        0.0189006295
       -0.0000105655        0.0042015131       -0.0000056616
       -0.0000062147       -0.0000056531       -0.0000018429
       -0.0000082110       -0.0000054990       -0.0000038875
       -0.0000057747        0.0309815823       -0.0000182473
       -0.0000176800       -0.0000126101       -0.0000049664
       -0.0000138976        0.0188893631       -0.0000160009
        0.0041961187       -0.0000119701       -0.0000053512
       -0.0000064330       -0.0000108378       -0.0000230006
       -0.0000067945       -0.0000081928       -0.0000083145
       -0.0000085493       -0.0000182473        0.0309885809
