    8   18
        0.1154907784        0.0023895313        0.0000000512
        0.0000000711        0.0023895262        0.0000000654
        0.0000000063       -0.0082398941       -0.0000001347
       -0.0000000591       -0.0000004837       -0.0000003189
       -0.0082398788       -0.0000001342       -0.0000000841
       -0.0000004792       -0.0000005394        0.0000000807
        0.0023895313        0.1918764883        0.0000102165
        0.0000071259        0.0007587317        0.0000000153
        0.0000000011        0.0081078309        0.0000003303
        0.0000001211        0.0000000915       -0.0000000438
       -0.0030648289        0.0000000057       -0.0000000290
       -0.0000000540       -0.0000000244       -0.0000000188
        0.0000000512        0.0000102165        0.1877181285
        0.0000032759        0.0000000011       -0.0004038247
        0.0000000108       -0.0000002387       -0.0075373697
       -0.0000004889        0.0079576512       -0.0000000688
        0.0000000011       -0.0007666688       -0.0000000244
        0.0023552707        0.0000000159       -0.0000000040
        0.0000000711        0.0000071259        0.0000032759
        0.1877178988       -0.0000000040        0.0000000108
        0.0004038458       -0.0000002342       -0.0000004400
        0.0075371554       -0.0000000841        0.0079576262
       -0.0000000142        0.0000000102       -0.0007666995
       -0.0000000193       -0.0023552792       -0.0000000142
        0.0023895262        0.0007587317        0.0000000011
       -0.0000000040        0.1918764883        0.0000102358
        0.0000066461       -0.0030648442       -0.0000000193
        0.0000000108       -0.0000000637       -0.0000000040
        0.0081078508        0.0000003308        0.0000002461
        0.0000000909       -0.0000001290       -0.0000000045
        0.0000000654        0.0000000153       -0.0004038247
        0.0000000108        0.0000102358        0.1877181091
        0.0000036806        0.0000000006       -0.0007666597
        0.0000000108        0.0023552661       -0.0000000091
       -0.0000002291       -0.0075373543       -0.0000004644
        0.0079576654        0.0000000000        0.0000000102
        0.0000000063        0.0000000011        0.0000000108
        0.0004038458        0.0000066461        0.0000036806
        0.1877178886       -0.0000000045       -0.0000000045
       -0.0007666739        0.0000000063       -0.0023552786
       -0.0000001040       -0.0000004746        0.0075371355
        0.0000000006        0.0079576353        0.0000000006
       -0.0082398941        0.0081078309       -0.0000002387
       -0.0000002342       -0.0030648442        0.0000000006
       -0.0000000045        0.1098465589        0.0000005252
        0.0000010959        0.0000017059        0.0000009811
        0.0088792609        0.0000000455        0.0000000210
        0.0000000756        0.0000000955        0.0000000153
       -0.0000001347        0.0000003303       -0.0075373697
       -0.0000004400       -0.0000000193       -0.0007666597
       -0.0000000045        0.0000005252        0.1076265096
        0.0000017201       -0.0049736389        0.0000016212
        0.0000000557       -0.0016497199       -0.0000000148
       -0.0030611102        0.0000000756       -0.0000000153
       -0.0000000591        0.0000001211       -0.0000004889
        0.0075371554        0.0000000108        0.0000000108
       -0.0007666739        0.0000010959        0.0000017201
        0.1076263788        0.0000014410        0.0049761610
        0.0000000159        0.0000000358        0.0016497961
        0.0000000904       -0.0030610897       -0.0000000097
       -0.0000004837        0.0000000915        0.0079576512
       -0.0000000841       -0.0000000637        0.0023552661
        0.0000000063        0.0000017059       -0.0049736389
        0.0000014410        0.0822692482        0.0000006713
        0.0000000864       -0.0030610994        0.0000000659
        0.0353846258        0.0000002103        0.0000000358
       -0.0000003189       -0.0000000438       -0.0000000688
        0.0079576262       -0.0000000040       -0.0000000091
       -0.0023552786        0.0000009811        0.0000016212
        0.0049761610        0.0000006713        0.0822690481
        0.0000000261        0.0000001006       -0.0030610937
        0.0000000006       -0.0353826340        0.0000000705
       -0.0082398788       -0.0030648289        0.0000000011
       -0.0000000142        0.0081078508       -0.0000002291
       -0.0000001040        0.0088792609        0.0000000557
        0.0000000159        0.0000000864        0.0000000261
        0.1098465384        0.0000005355        0.0000013159
        0.0000017207        0.0000013807        0.0000000358
       -0.0000001342        0.0000000057       -0.0007666688
        0.0000000102        0.0000003308       -0.0075373543
       -0.0000004746        0.0000000455       -0.0016497199
        0.0000000358       -0.0030610994        0.0000001006
        0.0000005355        0.1076264891        0.0000015109
       -0.0049736343        0.0000014501        0.0000000102
       -0.0000000841       -0.0000000290       -0.0000000244
       -0.0007666995        0.0000002461       -0.0000004644
        0.0075371355        0.0000000210       -0.0000000148
        0.0016497961        0.0000000659       -0.0030610937
        0.0000013159        0.0000015109        0.1076264289
        0.0000016007        0.0049761405       -0.0000000244
       -0.0000004792       -0.0000000540        0.0023552707
       -0.0000000193        0.0000000909        0.0079576654
        0.0000000006        0.0000000756       -0.0030611102
        0.0000000904        0.0353846258        0.0000000006
        0.0000017207       -0.0049736343        0.0000016007
        0.0822692391        0.0000009953        0.0000000904
       -0.0000005394       -0.0000000244        0.0000000159
       -0.0023552792       -0.0000001290        0.0000000000
        0.0079576353        0.0000000955        0.0000000756
       -0.0030610897        0.0000002103       -0.0353826340
        0.0000013807        0.0000014501        0.0049761405
        0.0000009953        0.0822690492        0.0000000801
        0.0000000807       -0.0000000188       -0.0000000040
       -0.0000000142       -0.0000000045        0.0000000102
        0.0000000006        0.0000000153       -0.0000000153
       -0.0000000097        0.0000000358        0.0000000705
        0.0000000358        0.0000000102       -0.0000000244
        0.0000000904        0.0000000801        0.0012486692
