    8   18
        0.0445511205        0.0000001248       -0.0000002603
       -0.0068599454        0.0000000998        0.0000008097
        0.0000006048       -0.0717187302        0.0000000398
        0.0000000594       -0.0358929452        0.0000006401
        0.0000002399        0.0405538799        0.0000001450
       -0.0002301803        0.0000000151       -0.0000003752
        0.0000001248        0.0445520504        0.0000000895
        0.0000000747        0.0068608398        0.0000000250
       -0.0717194004        0.0000006096        0.0000018150
        0.0358938897        0.0000000600        0.0000017400
        0.0000001899        0.0000001447       -0.0405535701
       -0.0000000054       -0.0002302448        0.0000000799
       -0.0000002603        0.0000000895        0.0458648003
        0.0000013949        0.0000000401        0.0140589199
        0.0000006347        0.0000011948        0.0000000350
        0.0000000347        0.0000010098       -0.0641808052
       -0.0006632700       -0.0000010002       -0.0000000497
        0.0000006449        0.0000000500       -0.0315310302
       -0.0068599454        0.0000000747        0.0000013949
        0.0647638905        0.0000001796       -0.0000008950
        0.0000003698        0.0700860798        0.0000000199
        0.0000004096       -0.0495420551        0.0000005249
       -0.0000019901       -0.0254917003        0.0000001151
       -0.0141947751        0.0000000099       -0.0000028200
        0.0000000998        0.0068608398        0.0000000401
        0.0000001796        0.0647643003        0.0000001248
       -0.0700844902        0.0000003996        0.0000022101
       -0.0495417353        0.0000004098        0.0000010050
        0.0000011900        0.0000001251       -0.0254924498
       -0.0000000003        0.0141949198        0.0000001398
        0.0000008097        0.0000000250        0.0140589199
       -0.0000008950        0.0000001248        0.0481786702
        0.0000000199       -0.0000047751        0.0000000202
        0.0000003297        0.0000029948        0.0010031749
       -0.0429720649        0.0000019298       -0.0000000199
        0.0000015450       -0.0000000401       -0.0386052702
        0.0000006048       -0.0717194004        0.0000006347
        0.0000003698       -0.0700844902        0.0000000199
        0.2850994503        0.0000061848       -0.0000077850
       -0.0203368356        0.0000002800        0.0000156899
        0.0000004999        0.0000011497        0.0926229401
        0.0000000148        0.0080876552        0.0000005048
       -0.0717187302        0.0000006096        0.0000011948
        0.0700860798        0.0000003996       -0.0000047751
        0.0000061848        0.2850994304        0.0000000048
        0.0000002996        0.0203389698        0.0000214698
       -0.0000002402       -0.0926133603        0.0000011451
        0.0080878897        0.0000000401       -0.0000001953
        0.0000000398        0.0000018150        0.0000000350
        0.0000000199        0.0000022101        0.0000000202
       -0.0000077850        0.0000000048        0.0013735200
       -0.0000000153       -0.0000000099        0.0000000099
        0.0000000051        0.0000000099       -0.0000024949
        0.0000000801       -0.0000001199        0.0000001100
        0.0000000594        0.0358938897        0.0000000347
        0.0000004096       -0.0495417353        0.0000003297
       -0.0203368356        0.0000002996       -0.0000000153
        0.1469806807        0.0000015797        0.0000005599
        0.0000041848        0.0000001245       -0.0432790802
       -0.0000000352       -0.0162429302        0.0000001197
       -0.0358929452        0.0000000600        0.0000010098
       -0.0495420551        0.0000004098        0.0000029948
        0.0000002800        0.0203389698       -0.0000000099
        0.0000015797        0.1469809501        0.0000003149
        0.0000061101       -0.0432790753        0.0000001251
        0.0162435597       -0.0000000301        0.0000000497
        0.0000006401        0.0000017400       -0.0641808052
        0.0000005249        0.0000010050        0.0010031749
        0.0000156899        0.0000214698        0.0000000099
        0.0000005599        0.0000003149        0.3505096100
       -0.0258703699        0.0000031849        0.0000033103
        0.0000008902        0.0000000449       -0.0426802649
        0.0000002399        0.0000001899       -0.0006632700
       -0.0000019901        0.0000011900       -0.0429720649
        0.0000004999       -0.0000002402        0.0000000051
        0.0000041848        0.0000061101       -0.0258703699
        0.1819040500        0.0000003649        0.0000002953
        0.0000003749        0.0000001651       -0.0134050200
        0.0405538799        0.0000001447       -0.0000010002
       -0.0254917003        0.0000001251        0.0000019298
        0.0000011497       -0.0926133603        0.0000000099
        0.0000001245       -0.0432790753        0.0000031849
        0.0000003649        0.1170473604        0.0000002751
       -0.0212043503        0.0000000549       -0.0000004101
        0.0000001450       -0.0405535701       -0.0000000497
        0.0000001151       -0.0254924498       -0.0000000199
        0.0926229401        0.0000011451       -0.0000024949
       -0.0432790802        0.0000001251        0.0000033103
        0.0000002953        0.0000002751        0.1170482199
        0.0000000350        0.0212045853        0.0000000449
       -0.0002301803       -0.0000000054        0.0000006449
       -0.0141947751       -0.0000000003        0.0000015450
        0.0000000148        0.0080878897        0.0000000801
       -0.0000000352        0.0162435597        0.0000008902
        0.0000003749       -0.0212043503        0.0000000350
        0.0500718903        0.0000002200       -0.0000021751
        0.0000000151       -0.0002302448        0.0000000500
        0.0000000099        0.0141949198       -0.0000000401
        0.0080876552        0.0000000401       -0.0000001199
       -0.0162429302       -0.0000000301        0.0000000449
        0.0000001651        0.0000000549        0.0212045853
        0.0000002200        0.0500719000        0.0000002800
       -0.0000003752        0.0000000799       -0.0315310302
       -0.0000028200        0.0000001398       -0.0386052702
        0.0000005048       -0.0000001953        0.0000001100
        0.0000001197        0.0000000497       -0.0426802649
       -0.0134050200       -0.0000004101        0.0000000449
       -0.0000021751        0.0000002800        0.1825308902
