    4    6
        0.1290831091        0.0000049167        0.0000013776
       -0.0780274661       -0.0000001103        0.0000013347
        0.0000049167        0.1993606395        0.0000094184
        0.0000049997        0.0000053791       -0.0476915656
        0.0000013776        0.0000094184        0.1993840249
        0.0000073837       -0.0477113005        0.0000105365
       -0.0780274661        0.0000049997        0.0000073837
        0.1544450305       -0.0000000006        0.0000000659
       -0.0000001103        0.0000053791       -0.0477113005
       -0.0000000006        0.1124249434        0.0000027802
        0.0000013347       -0.0476915656        0.0000105365
        0.0000000659        0.0000027802        0.1123961334
