    4    6
        0.2204897106        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0131913504
        0.0000000000        0.2200177204        0.0000051250
        0.0032270549        0.0055911499        0.0000000000
        0.0000000000        0.0000051250        0.2200171105
        0.0055911497       -0.0032309902        0.0000000000
        0.0000000000        0.0032270549        0.0055911497
        0.1811688009        0.0001680095        0.0000000000
        0.0000000000        0.0055911499       -0.0032309902
        0.0001680095        0.1811687804        0.0000000000
       -0.0131913504        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0648283805
