    4    6
        0.4526111388        0.0000347904        0.0000239203
        0.0000216357        0.0000111754       -0.0286672343
        0.0000347904        0.3937114195        0.0000117598
        0.0159854847        0.0276894156       -0.0000000051
        0.0000239203        0.0000117598        0.3937113092
        0.0276892854       -0.0159853596       -0.0000003848
        0.0000216357        0.0159854847        0.0276892854
        0.2908173792        0.0001129456        0.0000938257
        0.0000111754        0.0276894156       -0.0159853596
        0.0001129456        0.2908175588        0.0001310008
       -0.0286672343       -0.0000000051       -0.0000003848
        0.0000938257        0.0001310008        0.1764642991
