    4    6
        0.4979000005        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0279500006
        0.0000000000        0.4350000006        0.0000000000
        0.0153999997        0.0267500002        0.0000000000
        0.0000000000        0.0000000000        0.4349999995
        0.0267500002       -0.0153999991        0.0000000000
        0.0000000000        0.0153999997        0.0267500002
        0.2999000003        0.0001000006        0.0000000000
        0.0000000000        0.0267500002       -0.0153999991
        0.0001000006        0.2997999991        0.0000000000
       -0.0279500006        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1775999999
