    3    9
        0.0000005806        0.0000000000        0.0000000000
       -0.0000002903        0.0000000000        0.0000000000
       -0.0000002903        0.0000000000        0.0000000000
        0.0000000000        0.6802330110        0.0000000000
        0.0000000000       -0.3401165055       -0.2677314812
        0.0000000000       -0.3401165055        0.2677314812
        0.0000000000        0.0000000000        0.4656433676
        0.0000000000       -0.2039975993       -0.2328216838
        0.0000000000        0.2039975993       -0.2328216838
       -0.0000002903        0.0000000000        0.0000000000
        0.0000003054        0.0000000000        0.0000000000
       -0.0000000151        0.0000000000        0.0000000000
        0.0000000000       -0.3401165055       -0.2039975993
        0.0000000000        0.3734209549        0.2358645614
        0.0000000000       -0.0333044494       -0.0318669198
        0.0000000000       -0.2677314812       -0.2328216838
        0.0000000000        0.2358645614        0.2217865293
        0.0000000000        0.0318669198        0.0110351545
       -0.0000002903        0.0000000000        0.0000000000
       -0.0000000151        0.0000000000        0.0000000000
        0.0000003054        0.0000000000        0.0000000000
        0.0000000000       -0.3401165055        0.2039975993
        0.0000000000       -0.0333044494        0.0318669198
        0.0000000000        0.3734209549       -0.2358645614
        0.0000000000        0.2677314812       -0.2328216838
        0.0000000000       -0.0318669198        0.0110351545
        0.0000000000       -0.2358645614        0.2217865293
