    4    6
        0.1824978301        0.0000094337        0.0000044523
       -0.0812438992        0.0000054672        0.0000092507
        0.0000094337        0.2005652959       -0.0003631240
        0.0000186608       -0.0005696893       -0.0206901743
        0.0000044523       -0.0003631240        0.1996864626
        0.0000254931       -0.0202216717       -0.0007650505
       -0.0812438992        0.0000186608        0.0000254931
        0.3871811606        0.0000282560        0.0000188098
        0.0000054672       -0.0005696893       -0.0202216717
        0.0000282560        0.2729296074       -0.0003631760
        0.0000092507       -0.0206901743       -0.0007650505
        0.0000188098       -0.0003631760        0.2738052933
