    4    6
        0.4037043306        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0561884153
        0.0000000000        0.2498588401        0.0000124098
        0.0284339100        0.0492521448        0.0000000000
        0.0000000000        0.0000124098        0.2498588401
        0.0492521400       -0.0284328300        0.0000000000
        0.0000000000        0.0284339100        0.0492521400
        0.4093698402        0.0000725549        0.0000000000
        0.0000000000        0.0492521448       -0.0284328300
        0.0000725549        0.4093698101        0.0000000000
       -0.0561884153        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1737136097
