    4    6
        0.4124041970        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0583219528
        0.0000000000        0.2645675659        0.0000099689
        0.0301180410        0.0521721327        0.0000000000
        0.0000000000        0.0000099689        0.2645704166
        0.0521695844       -0.0301191838        0.0000000000
        0.0000000000        0.0301180410        0.0521695844
        0.4284404201        0.0000710040        0.0000000000
        0.0000000000        0.0521721327       -0.0301191838
        0.0000710040        0.4284367003        0.0000000000
       -0.0583219528        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1773604191
