    4    6
        0.3984887582        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0570940136
        0.0000000000        0.2306614579        0.0000082582
        0.0281156917        0.0487049027        0.0000000000
        0.0000000000        0.0000082582        0.2306660565
        0.0487000398       -0.0281189651        0.0000000000
        0.0000000000        0.0281156917        0.0487000398
        0.4076262223        0.0000708411        0.0000000000
        0.0000000000        0.0487049027       -0.0281189651
        0.0000708411        0.4076266379        0.0000000000
       -0.0570940136        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1757431335
