    4    6
        0.0008504037       -0.0000066240       -0.0000000620
       -0.0000027666        0.0000001148       -0.0000029991
       -0.0000066240        0.1918520047       -0.0000060993
        0.0000128847       -0.0000010317        0.0090298312
       -0.0000000620       -0.0000060993        0.2402102825
        0.0259039376        0.0711910451        0.0000000392
       -0.0000027666        0.0000128847        0.0259039376
        0.2230066036        0.0005809164        0.0000021339
        0.0000001148       -0.0000010317        0.0711910451
        0.0005809164        0.2112383777        0.0000387928
       -0.0000029991        0.0090298312        0.0000000392
        0.0000021339        0.0000387928        0.3878000018
