    4    6
        0.0010419092        0.0000000801        0.0000002302
        0.0000000557       -0.0000012392       -0.0000039290
        0.0000000801        0.2174287397        0.0000003604
        0.0000150106        0.0000001359       -0.0040870242
        0.0000002302        0.0000003604        0.2534509588
        0.0176336010       -0.0766263793       -0.0000045992
        0.0000000557        0.0000150106        0.0176336010
        0.2385806783       -0.0007427991       -0.0000012039
       -0.0000012392        0.0000001359       -0.0766263793
       -0.0007427991        0.2314736184        0.0000372762
       -0.0000039290       -0.0040870242       -0.0000045992
       -0.0000012039        0.0000372762        0.3998498983
