    4    6
        0.2879280078        0.0279622697        0.0000000000
        0.0544385563        0.0000000000        0.0000000000
        0.0279622697        0.2266380989        0.0000000000
       -0.0154907366        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1983196330
        0.0000000000        0.0361627201        0.0000000000
        0.0544385563       -0.0154907366        0.0000000000
        0.4797579015        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0361627201
        0.0000000000        0.3813327430        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0020199639
