    4    6
        0.2793595402       -0.0115979502       -0.0000016701
        0.0974561897        0.0000055650       -0.0017520901
       -0.0115979502        0.5387760802        0.0000823249
       -0.0053033752        0.0000001398        0.0032834799
       -0.0000016701        0.0000823249        0.5389685600
       -0.0000004152       -0.0082110000        0.0000000701
        0.0974561897       -0.0053033752       -0.0000004152
        0.2428415303       -0.0000020601        0.0126991299
        0.0000055650        0.0000001398       -0.0082110000
       -0.0000020601        0.2016170799        0.0000001351
       -0.0017520901        0.0032834799        0.0000000701
        0.0126991299        0.0000001351        0.0086930700
