    4   12
        0.0859382639       -0.0806762818       -0.0493303473
       -0.0488892958        0.0446810519        0.0303222242
       -0.0301784802        0.0353047734        0.0164496587
       -0.0068704879        0.0006904565        0.0025584645
       -0.0806762818        0.3593217541        0.2174981438
        0.0966199828       -0.3665774440       -0.2229270671
       -0.0166341522        0.0082220350        0.0067213402
        0.0006904565       -0.0009663451       -0.0012924170
       -0.0493303473        0.2174981438        0.1346383350
        0.0559796751       -0.2232278887       -0.1369440776
       -0.0040908644        0.0044373412        0.0014003436
       -0.0025584645        0.0012924170        0.0009053991
       -0.0488892958        0.0966199828        0.0559796751
        0.2790649446       -0.0839424105       -0.0369715725
       -0.1999971686        0.0039565851       -0.0230990070
       -0.0301784802       -0.0166341522        0.0040908644
        0.0446810519       -0.3665774440       -0.2232278887
       -0.0839424105        0.4137152454        0.2286568110
        0.0039565851       -0.0553598364       -0.0009915963
        0.0353047734        0.0082220350       -0.0044373412
        0.0303222242       -0.2229270671       -0.1369440776
       -0.0369715725        0.2286568110        0.1527719181
        0.0230990070        0.0009915963       -0.0172281841
       -0.0164496587       -0.0067213402        0.0014003436
       -0.0301784802       -0.0166341522       -0.0040908644
       -0.1999971686        0.0039565851        0.0230990070
        0.2790649446       -0.0839424105        0.0369715725
       -0.0488892958        0.0966199828       -0.0559796751
        0.0353047734        0.0082220350        0.0044373412
        0.0039565851       -0.0553598364        0.0009915963
       -0.0839424105        0.4137152454       -0.2286568110
        0.0446810519       -0.3665774440        0.2232278887
        0.0164496587        0.0067213402        0.0014003436
       -0.0230990070       -0.0009915963       -0.0172281841
        0.0369715725       -0.2286568110        0.1527719181
       -0.0303222242        0.2229270671       -0.1369440776
       -0.0068704879        0.0006904565       -0.0025584645
       -0.0301784802        0.0353047734       -0.0164496587
       -0.0488892958        0.0446810519       -0.0303222242
        0.0859382639       -0.0806762818        0.0493303473
        0.0006904565       -0.0009663451        0.0012924170
       -0.0166341522        0.0082220350       -0.0067213402
        0.0966199828       -0.3665774440        0.2229270671
       -0.0806762818        0.3593217541       -0.2174981438
        0.0025584645       -0.0012924170        0.0009053991
        0.0040908644       -0.0044373412        0.0014003436
       -0.0559796751        0.2232278887       -0.1369440776
        0.0493303473       -0.2174981438        0.1346383350
