    4    6
        0.2793596801       -0.0115994548        0.0000000000
        0.0974561198        0.0000000000       -0.0017521450
       -0.0115994548        0.5387766998        0.0000000000
       -0.0053036850        0.0000000000        0.0032832051
        0.0000000000        0.0000000000        0.5389689198
        0.0000000000       -0.0082111899        0.0000000000
        0.0974561198       -0.0053036850        0.0000000000
        0.2428415303        0.0000000000        0.0126994848
        0.0000000000        0.0000000000       -0.0082111899
        0.0000000000        0.2016175199        0.0000000000
       -0.0017521450        0.0032832051        0.0000000000
        0.0126994848        0.0000000000        0.0086930700
