    4    6
        0.3097012151       -0.0060849753        0.0000000000
        0.1032230765        0.0000000000       -0.0011115355
       -0.0060849753        0.5338405020        0.0000000000
       -0.0010004878        0.0000000000        0.0021551008
        0.0000000000        0.0000000000        0.5339397211
        0.0000000000       -0.0025349738        0.0000000000
        0.1032230765       -0.0010004878        0.0000000000
        0.2681781905        0.0000000000        0.0109305208
        0.0000000000        0.0000000000       -0.0025349738
        0.0000000000        0.2246980381        0.0000000000
       -0.0011115355        0.0021551008        0.0000000000
        0.0109305208        0.0000000000        0.0089220327
