    4    6
        0.3139115603       -0.0066077851        0.0000000000
        0.1013472048        0.0000000000       -0.0010430652
       -0.0066077851        0.5311775001        0.0000000000
       -0.0022830100        0.0000000000        0.0017111898
        0.0000000000        0.0000000000        0.5310424001
        0.0000000000       -0.0034755952        0.0000000000
        0.1013472048       -0.0022830100        0.0000000000
        0.2645581102        0.0000000000        0.0109519648
        0.0000000000        0.0000000000       -0.0034755952
        0.0000000000        0.2210796004        0.0000000000
       -0.0010430652        0.0017111898        0.0000000000
        0.0109519648        0.0000000000        0.0083135603
