    6   12
        0.3002450217        0.0060573402       -0.0000009337
        0.0000013436       -0.0000013778       -0.0087287927
       -0.0261880257       -0.0151155206        0.0151223711
        0.0000010402        0.0795191293        0.0000040156
        0.0060573402        0.4336845008        0.0000300696
        0.0000304399        0.0000306859        0.0095852614
        0.0287536178        0.0166028465       -0.0166010915
        0.0000009761        0.0385453243        0.0000010902
       -0.0000009337        0.0000300696        0.4371842182
        0.0000323512        0.0000293095        0.0339136640
        0.0113036722       -0.0195777675        0.0195792710
        0.0000021802        0.0000020933       -0.0329116958
        0.0000013436        0.0000304399        0.0000323512
        0.4412096939        0.0000315145        0.0001080586
       -0.0001065092        0.0001854750        0.0000623965
       -0.0004967971        0.0000017576        0.0000017076
       -0.0000013778        0.0000306859        0.0000293095
        0.0000315145        0.4360065316       -0.0038888638
        0.0038885439        0.0022455592        0.0067367819
        0.0000013189        0.0000018840        0.0000009828
       -0.0087287927        0.0095852614        0.0339136640
        0.0001080586       -0.0038888638        0.2025437389
       -0.0076698197       -0.0099946296       -0.0264369110
        0.0017034638        0.0114992417       -0.0408773653
       -0.0261880257        0.0287536178        0.0113036722
       -0.0001065092        0.0038885439       -0.0076698197
        0.2112949686        0.0175941044        0.0188808474
       -0.0017007827        0.0344801168       -0.0136086413
       -0.0151155206        0.0166028465       -0.0195777675
        0.0001854750        0.0022455592       -0.0099946296
        0.0175941044        0.1909838608        0.0077233029
        0.0029485745        0.0199270008        0.0236380243
        0.0151223711       -0.0166010915        0.0195792710
        0.0000623965        0.0067367819       -0.0264369110
        0.0188808474        0.0077233029        0.2330785041
        0.0009830026       -0.0198654451       -0.0235865374
        0.0000010402        0.0000009761        0.0000021802
       -0.0004967971        0.0000013189        0.0017034638
       -0.0017007827        0.0029485745        0.0009830026
        0.0003751479        0.0000009513        0.0000010531
        0.0795191293        0.0385453243        0.0000020933
        0.0000017576        0.0000018840        0.0114992417
        0.0344801168        0.0199270008       -0.0198654451
        0.0000009513        0.1640731264        0.0000076064
        0.0000040156        0.0000010902       -0.0329116958
        0.0000017076        0.0000009828       -0.0408773653
       -0.0136086413        0.0236380243       -0.0235865374
        0.0000010531        0.0000076064        0.1359140242
