    6   12
        0.3003989799       -0.0004347949       -0.0000007700
       -0.0000007299       -0.0000004800       -0.0332961599
        0.0000002001        0.0000064501        0.0000036250
        0.0000002149        0.0785339900        0.0000043400
       -0.0004347949        0.4553284899        0.0000293100
        0.0000297351        0.0000299000        0.0371038801
       -0.0000002449       -0.0000002799       -0.0000004049
        0.0000001250        0.0373940901        0.0000002700
       -0.0000007700        0.0000293100        0.4584337600
        0.0000297901        0.0000297699       -0.0000005000
        0.0444797600        0.0000002100       -0.0000004000
       -0.0000000401        0.0000003250       -0.0304265350
       -0.0000007299        0.0000297351        0.0000297901
        0.4670924397        0.0000303150       -0.0000011399
       -0.0000007999       -0.0002183698       -0.0000010999
        0.0000219001       -0.0000003699       -0.0000001249
       -0.0000004800        0.0000299000        0.0000297699
        0.0000303150        0.4624534000       -0.0000009550
       -0.0000006500       -0.0000009800        0.0100874399
        0.0000000199       -0.0000004050       -0.0000002301
       -0.0332961599        0.0371038801       -0.0000005000
       -0.0000011399       -0.0000009550        0.2125233999
        0.0000000600        0.0000100151        0.0000099151
        0.0000000200        0.0469218701        0.0000026900
        0.0000002001       -0.0000002449        0.0444797600
       -0.0000007999       -0.0000006500        0.0000000600
        0.1963886399        0.0000104401        0.0000108550
        0.0000002050        0.0000035200       -0.0558553900
        0.0000064501       -0.0000002799        0.0000002100
       -0.0002183698       -0.0000009800        0.0000100151
        0.0000104401        0.1698523798        0.0000499801
        0.0025200201        0.0000432051        0.0000362401
        0.0000036250       -0.0000004049       -0.0000004000
       -0.0000010999        0.0100874399        0.0000099151
        0.0000108550        0.0000499801        0.2557579799
        0.0000001300        0.0000436550        0.0000350700
        0.0000002149        0.0000001250       -0.0000000401
        0.0000219001        0.0000000199        0.0000000200
        0.0000002050        0.0025200201        0.0000001300
        0.0008622200       -0.0000000600        0.0000003399
        0.0785339900        0.0373940901        0.0000003250
       -0.0000003699       -0.0000004050        0.0469218701
        0.0000035200        0.0000432051        0.0000436550
       -0.0000000600        0.1686338999        0.0000063250
        0.0000043400        0.0000002700       -0.0304265350
       -0.0000001249       -0.0000002301        0.0000026900
       -0.0558553900        0.0000362401        0.0000350700
        0.0000003399        0.0000063250        0.1389290000
