    6   12
        0.0515831208        0.0000001747        0.0215242434
        0.0000026167       -0.0000006816        0.0000008642
       -0.0783820699        0.0000023481        0.0000011143
        0.0000006807       -0.0237426995       -0.0000004919
        0.0000001747        0.0867887539        0.0000003526
        0.0000050859        0.0000011861       -0.0658954939
        0.0000044568        0.1125368119        0.0000020957
        0.0000039208        0.0000016612        0.0000000740
        0.0215242434        0.0000003526        0.1744314079
        0.0000013576        0.0000021696        0.0000011962
       -0.1040148813        0.0000023567        0.0000017100
        0.0000032256        0.0595537562       -0.0000007643
        0.0000026167        0.0000050859        0.0000013576
        0.3113295539        0.0000072208        0.0000018665
        0.0000133325        0.0000115160        0.0000064273
       -0.1363119021        0.0000046133        0.0000004709
       -0.0000006816        0.0000011861        0.0000021696
        0.0000072208        0.2475978178        0.0000011192
        0.0000100740        0.0000080610       -0.2173866471
        0.0000068776        0.0000007351        0.0135532399
        0.0000008642       -0.0658954939        0.0000011962
        0.0000018665        0.0000011192        0.1225117487
        0.0000028034       -0.0981330439       -0.0000000145
        0.0000029141        0.0000012769       -0.0000008510
       -0.0783820699        0.0000044568       -0.1040148813
        0.0000133325        0.0000100740        0.0000028034
        0.3573523672        0.0000150251        0.0000081644
        0.0000102514        0.0629248744       -0.0000003925
        0.0000023481        0.1125368119        0.0000023567
        0.0000115160        0.0000080610       -0.0981330439
        0.0000150251        0.3560197266        0.0000070661
        0.0000088972        0.0000018858       -0.0000002203
        0.0000011143        0.0000020957        0.0000017100
        0.0000064273       -0.2173866471       -0.0000000145
        0.0000081644        0.0000070661        0.1925881645
        0.0000062943       -0.0000004983       -0.0235075450
        0.0000006807        0.0000039208        0.0000032256
       -0.1363119021        0.0000068776        0.0000029141
        0.0000102514        0.0000088972        0.0000062943
        0.2873632282        0.0000057614        0.0000010238
       -0.0237426995        0.0000016612        0.0595537562
        0.0000046133        0.0000007351        0.0000012769
        0.0629248744        0.0000018858       -0.0000004983
        0.0000057614        0.3067710021        0.0000023532
       -0.0000004919        0.0000000740       -0.0000007643
        0.0000004709        0.0135532399       -0.0000008510
       -0.0000003925       -0.0000002203       -0.0235075450
        0.0000010238        0.0000023532        0.1113292427
