    8   18
        0.4581252546       -0.0046134602        0.0025830607
        0.0000000000        0.0006131687        0.0000000000
        0.0025681301        0.0000000000        0.0000000000
        0.0012949405        0.0000000000       -0.0004174748
        0.0000000000        0.0000000000       -0.0066198820
        0.0000000000       -0.0066331242       -0.0153496575
       -0.0046134602        0.2983003219        0.0269257704
        0.0000000000        0.0092690310        0.0000000000
       -0.0014921507        0.0000000000        0.0000000000
       -0.0298019819        0.0000000000        0.0133179228
        0.0000000000        0.0000000000       -0.0006115971
        0.0000000000        0.0006001400       -0.0441764870
        0.0025830607        0.0269257704        0.3391126506
        0.0000000000        0.0030465435        0.0000000000
        0.0008284569        0.0000000000        0.0000000000
       -0.0112890649        0.0000000000       -0.0777968671
        0.0000000000        0.0000000000        0.0018358661
        0.0000000000       -0.0025287154        0.0572195488
        0.0000000000        0.0000000000        0.0000000000
        0.2926794986        0.0000000000        0.0194967629
        0.0000000000       -0.0006907570        0.0648225991
        0.0000000000       -0.0350520369        0.0000000000
        0.0681971110        0.0055699928        0.0000000000
       -0.0101741060        0.0000000000        0.0000000000
        0.0006131687        0.0092690310        0.0030465435
        0.0000000000        0.3763571283        0.0000000000
       -0.0003555894        0.0000000000        0.0000000000
        0.0143402151        0.0000000000       -0.0009102965
        0.0000000000        0.0000000000        0.0003676236
        0.0000000000       -0.0003271694        0.0028541560
        0.0000000000        0.0000000000        0.0000000000
        0.0194967629        0.0000000000        0.3759873266
        0.0000000000       -0.0004208709        0.0032106874
        0.0000000000        0.0140189857        0.0000000000
        0.0015186387        0.0006896063        0.0000000000
        0.0004282197        0.0000000000        0.0000000000
        0.0025681301       -0.0014921507        0.0008284569
        0.0000000000       -0.0003555894        0.0000000000
        0.3716162470        0.0000000000        0.0000000000
        0.0005743340        0.0000000000       -0.0011558059
        0.0000000000        0.0000000000        0.0079447067
        0.0000000000       -0.0027362040        0.0013196758
        0.0000000000        0.0000000000        0.0000000000
       -0.0006907570        0.0000000000       -0.0004208709
        0.0000000000        0.3689920499       -0.0064287811
        0.0000000000        0.0004456147        0.0000000000
       -0.0012031191        0.0107749874        0.0000000000
       -0.0090706789        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0648225991        0.0000000000        0.0032106874
        0.0000000000       -0.0064287811        0.3723973356
        0.0000000000       -0.0070915908        0.0000000000
        0.0270574458       -0.0261884361        0.0000000000
       -0.0541249274        0.0000000000        0.0000000000
        0.0012949405       -0.0298019819       -0.0112890649
        0.0000000000        0.0143402151        0.0000000000
        0.0005743340        0.0000000000        0.0000000000
        0.1210539210        0.0000000000       -0.0095331876
        0.0000000000        0.0000000000       -0.0028795475
        0.0000000000       -0.0010817891        0.0023575433
        0.0000000000        0.0000000000        0.0000000000
       -0.0350520369        0.0000000000        0.0140189857
        0.0000000000        0.0004456147       -0.0070915908
        0.0000000000        0.1188427507        0.0000000000
       -0.0112331371       -0.0028085012        0.0000000000
       -0.0024952213        0.0000000000        0.0000000000
       -0.0004174748        0.0133179228       -0.0777968671
        0.0000000000       -0.0009102965        0.0000000000
       -0.0011558059        0.0000000000        0.0000000000
       -0.0095331876        0.0000000000        0.3244185916
        0.0000000000        0.0000000000        0.0085543542
        0.0000000000       -0.0083554490        0.0012123292
        0.0000000000        0.0000000000        0.0000000000
        0.0681971110        0.0000000000        0.0015186387
        0.0000000000       -0.0012031191        0.0270574458
        0.0000000000       -0.0112331371        0.0000000000
        0.2854506050        0.0061873631        0.0000000000
       -0.0065421148        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0055699928        0.0000000000        0.0006896063
        0.0000000000        0.0107749874       -0.0261884361
        0.0000000000       -0.0028085012        0.0000000000
        0.0061873631        0.1046851099        0.0000000000
       -0.0022886434        0.0000000000        0.0000000000
       -0.0066198820       -0.0006115971        0.0018358661
        0.0000000000        0.0003676236        0.0000000000
        0.0079447067        0.0000000000        0.0000000000
       -0.0028795475        0.0000000000        0.0085543542
        0.0000000000        0.0000000000        0.1064171417
        0.0000000000        0.0340416462       -0.0008257895
        0.0000000000        0.0000000000        0.0000000000
       -0.0101741060        0.0000000000        0.0004282197
        0.0000000000       -0.0090706789       -0.0541249274
        0.0000000000       -0.0024952213        0.0000000000
       -0.0065421148       -0.0022886434        0.0000000000
        0.3358195471        0.0000000000        0.0000000000
       -0.0066331242        0.0006001400       -0.0025287154
        0.0000000000       -0.0003271694        0.0000000000
       -0.0027362040        0.0000000000        0.0000000000
       -0.0010817891        0.0000000000       -0.0083554490
        0.0000000000        0.0000000000        0.0340416462
        0.0000000000        0.2350253374        0.0331761512
       -0.0153496575       -0.0441764870        0.0572195488
        0.0000000000        0.0028541560        0.0000000000
        0.0013196758        0.0000000000        0.0000000000
        0.0023575433        0.0000000000        0.0012123292
        0.0000000000        0.0000000000       -0.0008257895
        0.0000000000        0.0331761512        0.1928237253
