    5    9
        0.0573605007       -0.0000000205        0.0000003948
       -0.0688668302        0.0000000000        0.0000009649
        0.0000012344       -0.0000001251       -0.0000000554
       -0.0000000205        0.0573605007        0.0000003948
       -0.0000000699       -0.0688668302        0.0000009646
        0.0000012344       -0.0000001251       -0.0000000554
        0.0000003948        0.0000003948        0.0573601505
        0.0000009550        0.0000009550        0.0688682798
        0.0000012395       -0.0000000301       -0.0000001555
       -0.0688668302       -0.0000000699        0.0000009550
        0.1555911399        0.0000000853        0.0000030701
        0.0000040299       -0.0000001501       -0.0000000048
        0.0000000000       -0.0688668302        0.0000009550
        0.0000000853        0.1555911399        0.0000030701
        0.0000040248       -0.0000001501       -0.0000000048
        0.0000009649        0.0000009646        0.0688682798
        0.0000030701        0.0000030701        0.1555902503
        0.0000040245        0.0000000699       -0.0000002203
        0.0000012344        0.0000012344        0.0000012395
        0.0000040299        0.0000040248        0.0000040245
        0.1977490308        0.0000000995        0.0000000847
       -0.0000001251       -0.0000001251       -0.0000000301
       -0.0000001501       -0.0000001501        0.0000000699
        0.0000000995        0.0555623302        0.0000002549
       -0.0000000554       -0.0000000554       -0.0000001555
       -0.0000000048       -0.0000000048       -0.0000002203
        0.0000000847        0.0000002549        0.0555629703
