    5    9
        0.1950018998        0.0000056426        0.0000056428
        0.0000056389       -0.0000005704        0.0000012804
       -0.0000001191       -0.0000001123       -0.0000001157
        0.0000056426        0.1882555028        0.0000471584
        0.0000471596        0.0000010900        0.0000031849
        0.0107612593        0.0000776529        0.0000776484
        0.0000056428        0.0000471584        0.1882556370
        0.0000471346        0.0000338312        0.0000294176
        0.0000776996        0.0107613940        0.0000776657
        0.0000056389        0.0000471596        0.0000471346
        0.1882556347        0.0000338318        0.0000294244
        0.0000777052        0.0000776689        0.0107613855
       -0.0000005704        0.0000010900        0.0000338312
        0.0000338318        0.0953670639       -0.0000002368
        0.0000006170        0.0000998514        0.0000998475
        0.0000012804        0.0000031849        0.0000294176
        0.0000294244       -0.0000002368        0.0953941111
        0.0000963993        0.0000479787        0.0000479747
       -0.0000001191        0.0107612593        0.0000776996
        0.0000777052        0.0000006170        0.0000963993
        0.1162879437        0.0000455321        0.0000455287
       -0.0000001123        0.0000776529        0.0107613940
        0.0000776689        0.0000998514        0.0000479787
        0.0000455321        0.1162886872        0.0000454011
       -0.0000001157        0.0000776484        0.0000776657
        0.0107613855        0.0000998475        0.0000479747
        0.0000455287        0.0000454011        0.1162886934
