    9   21
        0.3047888796        0.0373924652        0.0230753501
        0.0041474203       -0.0011072997        0.0018598601
       -0.0009459200        0.0006410302        0.0307374303
        0.0299991252        0.0326895854        0.0059157902
       -0.0055754599       -0.0021054947       -0.0034266749
       -0.0036810998       -0.0012688548        0.0005946602
       -0.0002016398       -0.0038991050       -0.0001275998
        0.0373924652        0.8052669497        0.0971735101
        0.0020074302        0.0003801003       -0.0002783699
       -0.0020193350        0.0001999601       -0.0613569999
       -0.0125799099        0.0075660603       -0.0084095697
       -0.0044405049       -0.0010769050        0.0014008252
       -0.0083395298        0.0064520552        0.0002232203
       -0.0009921399       -0.0001984650       -0.0043760298
        0.0230753501        0.0971735101        0.4359038198
        0.0014430252       -0.0012856998       -0.0007177299
        0.0037086350       -0.0029954049        0.0235427351
       -0.0467546899        0.0066964552        0.0020721002
        0.0007407002        0.0020994150        0.0000257901
       -0.0119079149        0.0038516602       -0.0005658049
        0.0000963701       -0.0037365299        0.0260924851
        0.0041474203        0.0020074302        0.0014430252
        0.3591010795        0.0049505003       -0.0009370099
        0.0003308152        0.0000201102        0.0003773253
        0.0021295304       -0.0123635647       -0.0006316897
        0.0014758503        0.0010175303        0.0005576602
       -0.0005849597       -0.0007031447       -0.0002489047
        0.0002737251        0.0003997502        0.0003564054
       -0.0011072997        0.0003801003       -0.0012856998
        0.0049505003        0.3539455795        0.0009727502
       -0.0003696900       -0.0003036297        0.0101018752
       -0.0085285598        0.0006900854        0.0163508155
       -0.0017515697       -0.0168386897        0.0001143252
        0.0006433203       -0.0014164048        0.0011046554
        0.0000504552        0.0022832802        0.0000445303
        0.0018598601       -0.0002783699       -0.0007177299
       -0.0009370099        0.0009727502        0.3460945499
       -0.0001431850       -0.0004168999        0.0063013501
       -0.0037671099        0.0010439452       -0.0019917448
        0.0177646851        0.0007289000        0.0187654251
        0.0004165402        0.0000108052       -0.0002841999
       -0.0012199899       -0.0056299051        0.0003106851
       -0.0009459200       -0.0020193350        0.0037086350
        0.0003308152       -0.0003696900       -0.0001431850
        0.4894355300        0.0029188550       -0.0003287649
        0.0005614650        0.0001269102        0.0006814652
        0.0008935501       -0.0004049748       -0.0003095050
        0.0106450901       -0.0031748850       -0.0001343349
       -0.0008256249       -0.0023888950        0.0122677201
        0.0006410302        0.0001999601       -0.0029954049
        0.0000201102       -0.0003036297       -0.0004168999
        0.0029188550        0.4936267396       -0.0118620297
       -0.0082299648       -0.0002993247       -0.0013350297
       -0.0005273847       -0.0002719698        0.0002919302
        0.0033480902        0.0156594953       -0.0004091648
       -0.0004636348       -0.0000105499        0.0009588253
        0.0307374303       -0.0613569999        0.0235427351
        0.0003773253        0.0101018752        0.0063013501
       -0.0003287649       -0.0118620297        0.2698521396
        0.0257325402        0.0091733453        0.0311934554
        0.0102189252        0.0090389102       -0.0012529247
       -0.0083906048       -0.0288038798        0.0027238502
        0.0016210902       -0.0026460599        0.0024871602
        0.0299991252       -0.0125799099       -0.0467546899
        0.0021295304       -0.0085285598       -0.0037671099
        0.0005614650       -0.0082299648        0.0257325402
        0.2855033796        0.0065691553       -0.0208953897
       -0.0135667348       -0.0046733048        0.0002501552
        0.0008203202       -0.0302299247       -0.0013148747
        0.0007233101       -0.0031632548       -0.0005693198
        0.0326895854        0.0075660603        0.0066964552
       -0.0123635647        0.0006900854        0.0010439452
        0.0001269102       -0.0002993247        0.0091733453
        0.0065691553        0.1500662995       -0.0006663346
       -0.0029832847        0.0012179952       -0.0015242648
       -0.0021498347       -0.0002674648        0.0010155652
        0.0002943651       -0.0020849198       -0.0004043946
        0.0059157902       -0.0084095697        0.0020721002
       -0.0006316897        0.0163508155       -0.0019917448
        0.0006814652       -0.0013350297        0.0311934554
       -0.0208953897       -0.0006663346        0.1685367295
        0.0054291704       -0.0025236997       -0.0025974347
        0.0003013302       -0.0070748547       -0.0013298447
        0.0021797801        0.0147209502        0.0030059452
       -0.0055754599       -0.0044405049        0.0007407002
        0.0014758503       -0.0017515697        0.0177646851
        0.0008935501       -0.0005273847        0.0102189252
       -0.0135667348       -0.0029832847        0.0054291704
        0.1565942196       -0.0001261998       -0.0039073598
       -0.0007781398       -0.0013438998       -0.0042326548
       -0.0025394699       -0.0265995298       -0.0004302498
       -0.0021054947       -0.0010769050        0.0020994150
        0.0010175303       -0.0168386897        0.0007289000
       -0.0004049748       -0.0002719698        0.0090389102
       -0.0046733048        0.0012179952       -0.0025236997
       -0.0001261998        0.1450537397        0.0007895952
       -0.0009984748        0.0014946252        0.0024571553
       -0.0008494449        0.0011179702       -0.0001830547
       -0.0034266749        0.0014008252        0.0000257901
        0.0005576602        0.0001143252        0.0187654251
       -0.0003095050        0.0002919302       -0.0012529247
        0.0002501552       -0.0015242648       -0.0025974347
       -0.0039073598        0.0007895952        0.1456489397
       -0.0005532549        0.0007022952       -0.0012641897
        0.0014099400        0.0018560101       -0.0004646698
       -0.0036810998       -0.0083395298       -0.0119079149
       -0.0005849597        0.0006433203        0.0004165402
        0.0106450901        0.0033480902       -0.0083906048
        0.0008203202       -0.0021498347        0.0003013302
       -0.0007781398       -0.0009984748       -0.0005532549
        0.1300082897       -0.0035763749        0.0000232451
        0.0002420150        0.0051245750        0.0016772952
       -0.0012688548        0.0064520552        0.0038516602
       -0.0007031447       -0.0014164048        0.0000108052
       -0.0031748850        0.0156594953       -0.0288038798
       -0.0302299247       -0.0002674648       -0.0070748547
       -0.0013438998        0.0014946252        0.0007022952
       -0.0035763749        0.1479689396        0.0002999002
       -0.0042489198        0.0010886751       -0.0032321597
        0.0005946602        0.0002232203       -0.0005658049
       -0.0002489047        0.0011046554       -0.0002841999
       -0.0001343349       -0.0004091648        0.0027238502
       -0.0013148747        0.0010155652       -0.0013298447
       -0.0042326548        0.0024571553       -0.0012641897
        0.0000232451        0.0002999002        0.0004861096
        0.0000739701       -0.0002816198        0.0001307603
       -0.0002016398       -0.0009921399        0.0000963701
        0.0002737251        0.0000504552       -0.0012199899
       -0.0008256249       -0.0004636348        0.0016210902
        0.0007233101        0.0002943651        0.0021797801
       -0.0025394699       -0.0008494449        0.0014099400
        0.0002420150       -0.0042489198        0.0000739701
        0.0163727398       -0.0039634600        0.0040491852
       -0.0038991050       -0.0001984650       -0.0037365299
        0.0003997502        0.0022832802       -0.0056299051
