   10   30
        0.2182242433        0.0913016259        0.0000000000
       -0.0128612547       -0.0186367882        0.0000000000
       -0.0929843307       -0.0219652982        0.0309817243
       -0.0929843307       -0.0219652982       -0.0309817243
        0.0073971558        0.0058889064       -0.0103973935
        0.0007705061       -0.0047315902        0.0016994194
       -0.0178648255       -0.0155244369        0.0342648610
        0.0073971558        0.0058889064        0.0103973935
        0.0007705061       -0.0047315902       -0.0016994194
       -0.0178648255       -0.0155244369       -0.0342648610
        0.0913016259        0.6558615599        0.0000000000
        0.0286675340       -0.4253398041        0.0000000000
       -0.0449104921       -0.1136411604        0.0411240065
       -0.0449104921       -0.1136411604       -0.0411240065
        0.0086952643        0.0058265982       -0.0131933997
       -0.0200430035       -0.0130077522        0.0334521302
       -0.0037263488        0.0055614366       -0.0021234969
        0.0086952643        0.0058265982        0.0131933997
       -0.0200430035       -0.0130077522       -0.0334521302
       -0.0037263488        0.0055614366        0.0021234969
        0.0000000000        0.0000000000        0.5088741660
        0.0000000000        0.0000000000       -0.0581521501
        0.0734073693        0.0260890563       -0.1801177064
       -0.0734073693       -0.0260890563       -0.1801177064
        0.0156023140        0.0131765070       -0.0276479148
        0.0021519655        0.0052401119       -0.0053363277
        0.0145128591        0.0043397791       -0.0122590591
       -0.0156023140       -0.0131765070       -0.0276479148
       -0.0021519655       -0.0052401119       -0.0053363277
       -0.0145128591       -0.0043397791       -0.0122590591
       -0.0128612547        0.0286675340        0.0000000000
        0.0224394281        0.0111418736        0.0000000000
       -0.0059028081       -0.0201937691        0.0062927762
       -0.0059028081       -0.0201937691       -0.0062927762
        0.0006745267        0.0007377472       -0.0007152283
       -0.0000709691        0.0005506517        0.0012392586
        0.0005101637       -0.0009993336       -0.0005555614
        0.0006745267        0.0007377472        0.0007152283
       -0.0000709691        0.0005506517       -0.0012392586
        0.0005101637       -0.0009993336        0.0005555614
       -0.0186367882       -0.4253398041        0.0000000000
        0.0111418736        0.4448180998        0.0000000000
        0.0052900361       -0.0127137428       -0.0011886926
        0.0052900361       -0.0127137428        0.0011886926
        0.0002750032        0.0007036420        0.0002386796
       -0.0015798637        0.0012601853        0.0029918405
       -0.0002377183        0.0010107677       -0.0011447956
        0.0002750032        0.0007036420       -0.0002386796
       -0.0015798637        0.0012601853       -0.0029918405
       -0.0002377183        0.0010107677        0.0011447956
        0.0000000000        0.0000000000       -0.0581521501
        0.0000000000        0.0000000000        0.0720371124
        0.0002007007        0.0368284509       -0.0024755547
       -0.0002007007       -0.0368284509       -0.0024755547
       -0.0008591702       -0.0004264104        0.0006236783
        0.0034788932        0.0024904196       -0.0056464270
        0.0004091450       -0.0004347343        0.0005558223
        0.0008591702        0.0004264104        0.0006236783
       -0.0034788932       -0.0024904196       -0.0056464270
       -0.0004091450        0.0004347343        0.0005558223
       -0.0929843307       -0.0449104921        0.0734073693
       -0.0059028081        0.0052900361        0.0002007007
        0.5204643394        0.0027452285        0.0462575482
       -0.0006121321        0.0076950183       -0.0168501897
       -0.1051145433       -0.0508739946       -0.0916273795
       -0.0531988256        0.0330173373       -0.0019861246
       -0.2640520453        0.0485867765       -0.0005092063
       -0.0007926923       -0.0008798761       -0.0037139497
        0.0001732710       -0.0004770103        0.0003154507
        0.0020197669       -0.0001930236       -0.0054942191
       -0.0219652982       -0.1136411604        0.0260890563
       -0.0201937691       -0.0127137428        0.0368284509
        0.0027452285        0.5777483321        0.0343189756
        0.0076950183        0.0078600459       -0.0071570834
       -0.0522930524       -0.0959898573       -0.0836703790
        0.0373793322       -0.2995275892        0.0025301561
        0.0493902839       -0.0632612054       -0.0012519444
       -0.0012520576       -0.0006813559       -0.0043818166
        0.0001937742        0.0006005838       -0.0024050730
       -0.0016994598       -0.0003940509       -0.0009003426
        0.0309817243        0.0411240065       -0.1801177064
        0.0062927762       -0.0011886926       -0.0024755547
        0.0462575482        0.0343189756        0.5285251196
        0.0168501897        0.0071570834       -0.0429925842
       -0.0981101550       -0.0896122749       -0.2076311368
       -0.0018270789        0.0083393136       -0.0484885583
       -0.0019816164       -0.0009450939       -0.0511394772
       -0.0020987916       -0.0021429972       -0.0033047225
        0.0006490975        0.0013928478        0.0021589465
        0.0029863060        0.0015568318        0.0054656740
       -0.0929843307       -0.0449104921       -0.0734073693
       -0.0059028081        0.0052900361       -0.0002007007
       -0.0006121321        0.0076950183        0.0168501897
        0.5204643394        0.0027452285       -0.0462575482
       -0.0007926923       -0.0008798761        0.0037139497
        0.0001732710       -0.0004770103       -0.0003154507
        0.0020197669       -0.0001930236        0.0054942191
       -0.1051145433       -0.0508739946        0.0916273795
       -0.0531988256        0.0330173373        0.0019861246
       -0.2640520453        0.0485867765        0.0005092063
       -0.0219652982       -0.1136411604       -0.0260890563
       -0.0201937691       -0.0127137428       -0.0368284509
        0.0076950183        0.0078600459        0.0071570834
        0.0027452285        0.5777483321       -0.0343189756
       -0.0012520576       -0.0006813559        0.0043818166
        0.0001937742        0.0006005838        0.0024050730
       -0.0016994598       -0.0003940509        0.0009003426
       -0.0522930524       -0.0959898573        0.0836703790
        0.0373793322       -0.2995275892       -0.0025301561
        0.0493902839       -0.0632612054        0.0012519444
       -0.0309817243       -0.0411240065       -0.1801177064
       -0.0062927762        0.0011886926       -0.0024755547
       -0.0168501897       -0.0071570834       -0.0429925842
       -0.0462575482       -0.0343189756        0.5285251196
        0.0020987916        0.0021429972       -0.0033047225
       -0.0006490975       -0.0013928478        0.0021589465
       -0.0029863060       -0.0015568318        0.0054656740
        0.0981101550        0.0896122749       -0.2076311368
        0.0018270789       -0.0083393136       -0.0484885583
        0.0019816164        0.0009450939       -0.0511394772
        0.0073971558        0.0086952643        0.0156023140
        0.0006745267        0.0002750032       -0.0008591702
       -0.1051145433       -0.0522930524       -0.0981101550
       -0.0007926923       -0.0012520576        0.0020987916
        0.1088970391        0.0563690744        0.0995787172
        0.0018360808        0.0021917815        0.0045114174
       -0.0138795727       -0.0139199492       -0.0240342720
        0.0006552030        0.0000485715        0.0007849090
       -0.0001397249       -0.0000187523       -0.0001065409
        0.0004665277       -0.0000958833        0.0005339888
        0.0058889064        0.0058265982        0.0131765070
        0.0007377472        0.0007036420       -0.0004264104
       -0.0508739946       -0.0959898573       -0.0896122749
       -0.0008798761       -0.0006813559        0.0021429972
        0.0563690744        0.0973039562        0.0926134067
       -0.0152195086       -0.0115642961       -0.0250898504
        0.0041590472        0.0033671730        0.0064551538
        0.0000485715        0.0005690404        0.0006342226
       -0.0000874243        0.0005150681        0.0002225162
       -0.0001425431       -0.0000499684       -0.0001162679
       -0.0103973935       -0.0131933997       -0.0276479148
       -0.0007152283        0.0002386796        0.0006236783
       -0.0916273795       -0.0836703790       -0.2076311368
        0.0037139497        0.0043818166       -0.0033047225
        0.0995787172        0.0926134067        0.2354999551
        0.0010692828        0.0002519964        0.0022821912
       -0.0008339833        0.0000221399        0.0013488911
       -0.0007849090       -0.0006342226       -0.0016208936
        0.0001391455       -0.0000934894        0.0003180862
       -0.0001422016        0.0000834515        0.0001318659
        0.0007705061       -0.0200430035        0.0021519655
       -0.0000709691       -0.0015798637        0.0034788932
       -0.0531988256        0.0373793322       -0.0018270789
        0.0001732710        0.0001937742       -0.0006490975
        0.0018360808       -0.0152195086        0.0010692828
        0.0552791400       -0.0333488359       -0.0039214182
       -0.0048137405        0.0320810080       -0.0004836983
       -0.0001397249       -0.0000874243       -0.0001391455
        0.0002607798        0.0003376982       -0.0000053619
       -0.0000965177        0.0002868233        0.0003256588
       -0.0047315902       -0.0130077522        0.0052401119
        0.0005506517        0.0012601853        0.0024904196
        0.0330173373       -0.2995275892        0.0083393136
       -0.0004770103        0.0006005838       -0.0013928478
        0.0021917815       -0.0115642961        0.0002519964
       -0.0333488359        0.3285001394       -0.0152782999
        0.0020207422       -0.0068978291       -0.0008887200
       -0.0000187523        0.0005150681        0.0000934894
        0.0003376982        0.0002899480        0.0010437699
        0.0004579779       -0.0001684580        0.0001007668
        0.0016994194        0.0334521302       -0.0053363277
        0.0012392586        0.0029918405       -0.0056464270
       -0.0019861246        0.0025301561       -0.0484885583
       -0.0003154507        0.0024050730        0.0021589465
        0.0045114174       -0.0250898504        0.0022821912
