   10   24
        0.4455682569        0.0031689370        0.0000012984
       -0.0001714085        0.0000029304        0.0011333414
        0.0000008808       -0.0018151921        0.0000011110
       -0.0022819586       -0.0000004242        0.0017249512
        0.0000002375       -0.0034807563        0.0000011782
        0.0104915929        0.0000011869        0.0009289803
        0.0000005231        0.0006548998        0.0000017445
        0.0000012014        0.0002468414        0.0198957957
        0.0031689370        0.3352562786        0.0000322068
        0.0222876508        0.0000008721       -0.0064458696
       -0.0000002777       -0.0059036931        0.0000017459
        0.0486812412        0.0000019712        0.0515012084
        0.0000036735        0.0114332374        0.0000021959
        0.0080804692        0.0000032448       -0.0045416830
        0.0000016279       -0.0017432819        0.0000025140
        0.0000020215        0.0002994132        0.0592962731
        0.0000012984        0.0000322068        0.3280049154
        0.0000004341        0.0216821785        0.0000012786
       -0.0039074210        0.0000002966       -0.0047041921
       -0.0000012349        0.0436939362        0.0000017752
        0.0589791215       -0.0000017815       -0.0163014600
        0.0000015095       -0.0038561994        0.0000008737
        0.0015205509        0.0000013814       -0.0000350504
       -0.0010911891        0.0000020580        0.0000020133
       -0.0001714085        0.0222876508        0.0000004341
        0.3404625662        0.0000115614        0.0067495037
        0.0000120220        0.0090100338        0.0000122785
       -0.0000551117        0.0000004151       -0.0127507232
        0.0000000318        0.0003410207       -0.0000012591
        0.0004812907        0.0000019097        0.0024510712
       -0.0000004162       -0.0006870734        0.0000019443
        0.0000002474       -0.0002598250       -0.0012549204
        0.0000029304        0.0000008721        0.0216821785
        0.0000115614        0.3391742783        0.0000118257
        0.0075388506        0.0000126822        0.0094283392
       -0.0000018508        0.0035397836        0.0000002684
       -0.0170107195       -0.0000009206        0.0008226665
        0.0000000925        0.0032234787        0.0000002092
        0.0020036723        0.0000022511       -0.0008377741
       -0.0002093897        0.0000011687       -0.0000009656
        0.0011333414       -0.0064458696        0.0000012786
        0.0067495037        0.0000118257        0.3364590080
        0.0000174330       -0.0072245194        0.0000063602
        0.0113384374        0.0000009224       -0.0003709891
        0.0000008708        0.0150053387       -0.0000000439
       -0.0002474518        0.0000005750       -0.0212231895
       -0.0000004556        0.0000503574        0.0000021807
       -0.0000007179        0.0009846993        0.0040575983
        0.0000008808       -0.0000002777       -0.0039074210
        0.0000120220        0.0075388506        0.0000174330
        0.3350212171        0.0000058903       -0.0074229915
       -0.0000018839       -0.0016844200        0.0000000530
        0.0022728639       -0.0000010668        0.0099911730
       -0.0000007149       -0.0022294519        0.0000008251
       -0.0202495403       -0.0000002017        0.0002319641
        0.0009980100        0.0000015032       -0.0000010859
       -0.0018151921       -0.0059036931        0.0000002966
        0.0090100338        0.0000126822       -0.0072245194
        0.0000058903        0.3231849985        0.0000184023
        0.0000521193       -0.0000001539        0.0002948831
       -0.0000007230        0.0000120819       -0.0000007891
        0.0146981992        0.0000016452       -0.0007873028
       -0.0000001658        0.0190149829        0.0000025403
