   10   24
        0.0441005957        0.0000007358       -0.0000005375
        0.0000002392        0.0000008178        0.0085576866
        0.0000007439        0.0072154407        0.0000014471
       -0.0224082646        0.0347190554        0.0000007830
        0.0000016016        0.0017797038        0.0000013802
        0.0000018723        0.0620004701        0.0000005598
       -0.0038759302        0.0059964641        0.0000005201
       -0.0000000919       -0.0151512532        0.0000001839
        0.0000007358        0.0410790489        0.0013215900
       -0.0013768840       -0.0028537460        0.0000013239
        0.0000364726        0.0000020938       -0.0143311375
       -0.0000003645        0.0000011448        0.0536610257
        0.0285028010        0.0000029110        0.0035045117
       -0.0018840817       -0.0000012407       -0.0231338728
        0.0000004542        0.0000014818       -0.0194274641
       -0.0061162240        0.0000026387        0.0115412406
       -0.0000005375        0.0013215900        0.0417861543
       -0.0093771298        0.0037564189       -0.0000002557
        0.0092219778        0.0000013355       -0.0068072642
       -0.0000000885       -0.0000006528       -0.0119525610
        0.0357873930       -0.0000004670        0.0259560201
        0.0194502738       -0.0000017202       -0.0032159286
        0.0000002231        0.0000022172        0.0382545869
       -0.0251276863        0.0000006442        0.0043676995
        0.0000002392       -0.0013768840       -0.0093771298
        0.0435175315        0.0030887922        0.0000003853
       -0.0069701002        0.0000014833       -0.0059190243
       -0.0000005457        0.0000003263       -0.0094885131
        0.0026862514        0.0000008546        0.0220973871
       -0.0537568926       -0.0000002036        0.0000092044
        0.0000003162        0.0000019182       -0.0065972056
        0.0311006117        0.0000019099       -0.0164695307
        0.0000008178       -0.0028537460        0.0037564189
        0.0030887922        0.0585897445        0.0000005952
       -0.0027906185        0.0000012311       -0.0225424053
       -0.0000004398        0.0000002733       -0.0582950868
        0.0585551713        0.0000001556       -0.0007179622
       -0.0001641784       -0.0000002618        0.0287401647
        0.0000018163        0.0000022638       -0.0237220476
        0.0104430272        0.0000009305        0.0286685844
        0.0085576866        0.0000013239       -0.0000002557
        0.0000003853        0.0000005952        0.0804477691
        0.0000012560        0.0250004042        0.0000016290
       -0.0144347240       -0.0833980478       -0.0000000378
        0.0000031538       -0.0250250244        0.0000016054
        0.0000025942        0.0519182682        0.0000000048
        0.0521657444        0.0081632827        0.0000011725
        0.0000002142       -0.0190754791       -0.0000003030
        0.0000007439        0.0000364726        0.0092219778
       -0.0069701002       -0.0027906185        0.0000012560
        0.0524664151        0.0000010827        0.0496752766
        0.0000000638       -0.0000003494        0.0036383628
        0.0287520452        0.0000017592       -0.0670618385
       -0.0115697506       -0.0000014811       -0.0118872541
        0.0000010860        0.0000019067        0.0123426160
       -0.0188955774        0.0000008569        0.0114784886
        0.0072154407        0.0000020938        0.0000013355
        0.0000014833        0.0000012311        0.0250004042
        0.0000010827        0.1776845974        0.0000055249
        0.1235180466        0.0350341510       -0.0000000294
        0.0000021076       -0.1281163196        0.0000161600
        0.0000006818        0.0657584079        0.0000015775
        0.0540175613        0.0004956694        0.0000024518
        0.0000001697        0.0124906201        0.0000024792
        0.0000014471       -0.0143311375       -0.0068072642
       -0.0059190243       -0.0225424053        0.0000016290
        0.0496752766        0.0000055249        0.1652026521
        0.0000014285        0.0000021615       -0.0056733131
       -0.0074001559        0.0000059751       -0.1095101170
       -0.0095534475        0.0000009673        0.0073710538
        0.0000023591        0.0000045392        0.0312676715
        0.0128829201        0.0000028868       -0.0548135080
       -0.0224082646       -0.0000003645       -0.0000000885
       -0.0000005457       -0.0000004398       -0.0144347240
        0.0000000638        0.1235180466        0.0000014285
        0.1404024420        0.0313889571        0.0000006567
        0.0000067713       -0.0891308910        0.0000046110
        0.0000001297       -0.0527309713        0.0000013938
        0.0166317751        0.0023370272        0.0000009013
