   12   36
        0.5203502378        0.0358089867        0.0000000000
       -0.1867733898        0.0612931579        0.0000000000
       -0.0368770573        0.0090311784        0.0000000000
       -0.0029182151       -0.0038678354        0.0000000000
       -0.1917276233       -0.1355692388        0.0000000000
       -0.0476570395        0.0143160554       -0.0196697097
       -0.0476570395        0.0143160554        0.0196697097
       -0.0026852150        0.0019476850        0.0016540497
       -0.0026852150        0.0019476850       -0.0016540497
       -0.0010175824        0.0006760590        0.0000000000
       -0.0001759305        0.0000501057        0.0001102591
       -0.0001759305        0.0000501057       -0.0001102591
        0.0358089867        0.5670384210        0.0000000000
        0.0768928035       -0.1171854151        0.0000000000
       -0.0332677816        0.0115071257        0.0000000000
       -0.0027221227       -0.0046646766        0.0000000000
       -0.1322269940       -0.1726172435        0.0000000000
        0.0120635676       -0.1361299249        0.1270397572
        0.0120635676       -0.1361299249       -0.1270397572
        0.0168966591       -0.0066462828       -0.0016447584
        0.0168966591       -0.0066462828        0.0016447584
       -0.0018976367        0.0006410903        0.0000000000
       -0.0002537295        0.0004165568        0.0005137109
       -0.0002537295        0.0004165568       -0.0005137109
        0.0000000000        0.0000000000        0.5800353053
        0.0000000000        0.0000000000       -0.0814543567
        0.0000000000        0.0000000000        0.0023962192
        0.0000000000        0.0000000000       -0.0007320918
        0.0000000000        0.0000000000       -0.0461053941
       -0.0173752500        0.1255247878       -0.2287728430
        0.0173752500       -0.1255247878       -0.2287728430
       -0.0253009705        0.0121514096        0.0010090037
        0.0253009705       -0.0121514096        0.0010090037
        0.0000000000        0.0000000000        0.0006602461
       -0.0001053148        0.0002213362        0.0003638754
        0.0001053148       -0.0002213362        0.0003638754
       -0.1867733898        0.0768928035        0.0000000000
        0.5125873242       -0.0417475462        0.0000000000
       -0.1500130504       -0.0501174626        0.0000000000
       -0.0532212369       -0.0276839915        0.0000000000
       -0.0143965538        0.0113382786        0.0000000000
       -0.0034602388       -0.0000651210        0.0017966958
       -0.0034602388       -0.0000651210       -0.0017966958
       -0.0541379448        0.0175513714       -0.0243016021
       -0.0541379448        0.0175513714        0.0243016021
       -0.0035098246        0.0026142507        0.0000000000
        0.0052618684       -0.0031342890       -0.0019398127
        0.0052618684       -0.0031342890        0.0019398127
        0.0612931579       -0.1171854151        0.0000000000
       -0.0417475462        0.5417167470        0.0000000000
       -0.0941130946       -0.1812451938        0.0000000000
        0.0039031234        0.0111082820        0.0000000000
       -0.0251864036        0.0106702129        0.0000000000
        0.0190918394       -0.0104957529       -0.0012661808
        0.0190918394       -0.0104957529        0.0012661808
        0.0194668198       -0.1212126894        0.1075622489
        0.0194668198       -0.1212126894       -0.1075622489
        0.0057871058       -0.0000750629        0.0000000000
        0.0064731964       -0.0007863966       -0.0004199528
        0.0064731964       -0.0007863966        0.0004199528
        0.0000000000        0.0000000000       -0.0814543567
        0.0000000000        0.0000000000        0.5839025733
        0.0000000000        0.0000000000       -0.0687351113
        0.0000000000        0.0000000000       -0.0032577469
        0.0000000000        0.0000000000       -0.0022528158
       -0.0269354738        0.0143461731        0.0003547462
        0.0269354738       -0.0143461731        0.0003547462
       -0.0256315403        0.1033398747       -0.2155802801
        0.0256315403       -0.1033398747       -0.2155802801
        0.0000000000        0.0000000000        0.0000698103
        0.0029552337        0.0018601910        0.0010892821
       -0.0029552337       -0.0018601910        0.0010892821
       -0.0368770573       -0.0332677816        0.0000000000
       -0.1500130504       -0.0941130946        0.0000000000
        0.4983272471        0.0214368357        0.0000000000
       -0.2185931157        0.0863188961        0.0000000000
       -0.0077615568        0.0035146772        0.0000000000
        0.0031924644       -0.0007570104       -0.0002712660
        0.0031924644       -0.0007570104        0.0002712660
       -0.0084257629       -0.0120256040        0.0040955348
