   12   30
        0.2980788386        0.0186687259        0.0010619186
        0.0083282200       -0.0012255633        0.0000000000
        0.0083341092        0.0000000000       -0.0003567574
        0.0004934620        0.0000000000        0.0251525984
        0.0083379766        0.0354480942       -0.0040601306
        0.0000000000       -0.0002234650        0.0000000000
       -0.0157029062        0.0000000000        0.0325830482
        0.0000000000        0.0005602303        0.0014062363
        0.0000000000        0.0000898105        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0186687259        0.3442478700        0.0037056387
        0.0009690432       -0.0004510582        0.0000000000
        0.0265941280        0.0000000000       -0.0021642568
       -0.0007309758        0.0000000000        0.0388712590
        0.0509014818        0.0013623723        0.0111746121
        0.0000000000       -0.0010249258        0.0000000000
       -0.0267365728        0.0000000000       -0.0615758339
        0.0000000000       -0.0081844014        0.0165661906
        0.0000000000       -0.0037579191        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0010619186        0.0037056387        0.3540725069
       -0.0005778078        0.0001442396        0.0000000000
       -0.0007045298        0.0000000000        0.0284676931
       -0.0060604452        0.0000000000        0.0181578598
        0.0523888578        0.0005226030        0.0013254480
        0.0000000000        0.0004639243        0.0000000000
        0.0026195612        0.0000000000        0.0147402191
        0.0000000000        0.0677153595       -0.0011411669
        0.0000000000       -0.0009402874        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0083282200        0.0009690432       -0.0005778078
        0.3491142203       -0.0008207445        0.0000000000
        0.0004279755        0.0000000000        0.0001334654
        0.0001061704        0.0000000000       -0.0007686351
        0.0006364282       -0.0134091310        0.0013285846
        0.0000000000        0.0009485977        0.0000000000
       -0.0010967490        0.0000000000        0.0025090925
        0.0000000000        0.0000542418        0.0004680258
        0.0000000000       -0.0001149228        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0012255633       -0.0004510582        0.0001442396
       -0.0008207445        0.3415906610        0.0000000000
        0.0009466132        0.0000000000        0.0002000672
       -0.0001048572        0.0000000000        0.0120346500
        0.0006176845        0.0006271497        0.0170806943
        0.0000000000       -0.0187637811        0.0000000000
        0.0004033103        0.0000000000       -0.0021537527
        0.0000000000        0.0004464660       -0.0001560382
        0.0000000000        0.0000894529        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
