   12   36
        0.5150201872       -0.0428223587        0.0260165003
       -0.1671546282       -0.0446621993        0.0334319890
       -0.0311683691       -0.0120123154        0.0101898552
       -0.2207595719        0.1089760600       -0.0707742092
       -0.0469666167        0.0004158179        0.0044558958
       -0.0485145989       -0.0068670128       -0.0020669029
       -0.0017824731       -0.0007485459        0.0000634358
        0.0022490375       -0.0026396555        0.0001471450
        0.0002448608       -0.0001208598       -0.0008109263
       -0.0039475483        0.0023921804       -0.0015247418
        0.0007111660       -0.0008462825        0.0002132287
        0.0020685548       -0.0010648284        0.0006587303
       -0.0428220528        0.5526070593        0.0119899648
       -0.0382604754       -0.0924598099        0.0157863711
        0.0120123266        0.0112695030       -0.0037576182
        0.1057791996       -0.1120319288        0.0430931525
       -0.0003486008       -0.0468534612        0.0118328800
       -0.0046999005       -0.2728530491       -0.0881609589
       -0.0033293247       -0.0001203050        0.0016373419
       -0.0326094547       -0.0390982366        0.0051851325
        0.0003977670        0.0012114053        0.0014799704
        0.0044135908       -0.0016380995        0.0012329563
       -0.0005702982        0.0001202035       -0.0002905177
        0.0000372230       -0.0001532811       -0.0000286747
        0.0260162243        0.0119900222        0.5579402277
        0.0391065643        0.0236055987       -0.0991136454
       -0.0101898687       -0.0037576307        0.0045421865
       -0.0697182673        0.0428397632       -0.0757644807
        0.0034903316        0.0119881339       -0.3048042174
       -0.0014698237       -0.0872614758       -0.0807856774
        0.0293993965        0.0159713138       -0.0094521700
       -0.0107917109       -0.0139769868        0.0042072785
       -0.0021384500       -0.0013922975        0.0028273705
       -0.0029429003        0.0007293340       -0.0002764042
        0.0002330833       -0.0002505263       -0.0000610631
       -0.0009945793       -0.0004852487        0.0007405950
       -0.1671546039       -0.0382605028        0.0391064418
        0.4933403257       -0.0000000059        0.0000000006
       -0.1671546208        0.0382605383       -0.0391064301
       -0.0230047289       -0.0145483142        0.0100311500
       -0.0016782299       -0.0008540783       -0.0009186846
        0.0029649048        0.0048543635       -0.0012321835
       -0.0511162839        0.0000000015        0.0000000011
       -0.0642606750       -0.0000000341       -0.0000000150
       -0.0002180417       -0.0000000025        0.0000000007
       -0.0230047298        0.0145483280       -0.0100311524
        0.0029649125       -0.0048543712        0.0012321876
       -0.0016782291        0.0008540777        0.0009186837
       -0.0446622507       -0.0924588591        0.0236054896
       -0.0000000059        0.4637683916       -0.0103594798
        0.0446622860       -0.0924598664        0.0236056015
        0.0167402951        0.0065049445       -0.0061639351
       -0.0007546515       -0.0021152152       -0.0014938052
       -0.0223304108       -0.0132756969        0.0091724139
        0.0000000014       -0.0472242962        0.0165892820
       -0.0000000354       -0.2062788308       -0.0600382795
       -0.0000000021       -0.0075745964        0.0035680350
       -0.0167402820        0.0065049453       -0.0061639309
        0.0223304027       -0.0132757039        0.0091724138
        0.0007546533       -0.0021152164       -0.0014938052
        0.0334319544        0.0157864784       -0.0991138695
        0.0000000006       -0.0103595238        0.6450486365
       -0.0334319462        0.0157863858       -0.0991135726
       -0.0101010315       -0.0058530050        0.0028547215
        0.0312510674        0.0171620502       -0.0136407885
       -0.0131432782       -0.0075961284        0.0026074485
        0.0000000033        0.0274223240       -0.3048493772
       -0.0000000018       -0.0070957199       -0.1066903990
       -0.0000000127       -0.0489657818       -0.0189241803
        0.0101010273       -0.0058530088        0.0028547213
        0.0131432764       -0.0075961346        0.0026074491
       -0.0312510590        0.0171620640       -0.0136407898
       -0.0311695863        0.0120126524       -0.0101899533
       -0.1671545886        0.0446622344       -0.0334319805
        0.5150214432        0.0428220458       -0.0260164173
       -0.0039475515       -0.0023921793        0.0015247425
        0.0020685550        0.0010648273       -0.0006587303
        0.0007111668        0.0008462822       -0.0002132289
       -0.0017824703        0.0007485464       -0.0000634348
        0.0022490523        0.0026396376       -0.0001471427
        0.0002448610        0.0001208604        0.0008109266
       -0.2207596711       -0.1089760120        0.0707742268
       -0.0485145896        0.0068669236        0.0020668670
       -0.0469666209       -0.0004158189       -0.0044558751
       -0.0120122517        0.0112690914       -0.0037576699
        0.0382605109       -0.0924598472        0.0157863871
        0.0428220023        0.5526074578        0.0119900431
       -0.0044135894       -0.0016380964        0.0012329557
       -0.0000372241       -0.0001532819       -0.0000286743
        0.0005702979        0.0001202030       -0.0002905174
        0.0033293253       -0.0001203073        0.0016373418
        0.0326094364       -0.0390982574        0.0051851318
       -0.0003977663        0.0012114053        0.0014799698
       -0.1057791520       -0.1120318300        0.0430931206
        0.0046998112       -0.2728530704       -0.0881609855
        0.0003485995       -0.0468534669        0.0118328972
        0.0101900631       -0.0037576328        0.0045427616
       -0.0391065525        0.0236056172       -0.0991136453
       -0.0260164342        0.0119900410        0.5579396281
        0.0029429007        0.0007293327       -0.0002764041
        0.0009945790       -0.0004852493        0.0007405949
       -0.0002330832       -0.0002505263       -0.0000610630
       -0.0293993881        0.0159713277       -0.0094521684
        0.0107917045       -0.0139769929        0.0042072791
        0.0021384491       -0.0013922987        0.0028273703
        0.0697182836        0.0428397307       -0.0757644807
        0.0014697884       -0.0872615012       -0.0807856898
       -0.0034903105        0.0119881519       -0.3048041828
       -0.2207596076        0.1057792796       -0.0697184020
       -0.0230046436        0.0167403086       -0.0101010241
       -0.0039476253       -0.0044134680        0.0029429260
        0.2412960424       -0.1164693081        0.0750758398
        0.0011359566       -0.0014181123        0.0009948360
        0.0017569776       -0.0017109968        0.0011780568
        0.0010900410        0.0001967971        0.0002593465
        0.0038582036        0.0006098532       -0.0000124586
       -0.0004404377        0.0000095964       -0.0001353902
       -0.0016608622        0.0008365981       -0.0006291520
        0.0003745198       -0.0000139349        0.0001285581
        0.0003014356       -0.0001466129        0.0000168638
        0.1089757540       -0.1120317156        0.0428396928
       -0.0145484042        0.0065049742       -0.0058529828
       -0.0023921177       -0.0016381290        0.0007293368
