   12   30
        0.0384311704       -0.0042318506        0.0000013407
        0.0000013391        0.0000018143        0.0006204650
       -0.0067327871       -0.0000016126       -0.0064786708
        0.0000020142        0.0008417609       -0.0126354544
        0.0348008498       -0.0103037013        0.0000007958
        0.0000005134       -0.0095170191        0.0000025585
        0.0321868885       -0.0000008762       -0.0311301945
       -0.0000003205        0.0058217501       -0.0000004040
        0.0001947888        0.0000020344       -0.0160682521
       -0.0000015936       -0.0191647329       -0.0060445538
       -0.0042318506        0.0429388118        0.0000022170
        0.0000032784        0.0000017955       -0.0034684180
       -0.0024731006        0.0000006821        0.0078974276
        0.0000013900        0.0006528089       -0.0102165096
        0.0169668837        0.0468881227        0.0000027462
        0.0000004074        0.0020331068        0.0000041959
        0.0036571254        0.0000015852        0.0384267615
        0.0000024532        0.0051459701        0.0000022547
       -0.0090094244        0.0000021478       -0.0182151803
        0.0000018201        0.0128889045       -0.0061947804
        0.0000013407        0.0000022170        0.0453704064
       -0.0010653133        0.0060289285        0.0000018636
       -0.0000026816       -0.0017455214        0.0000009669
        0.0014636103        0.0000006644        0.0000014322
       -0.0000001583        0.0000034241        0.0055776297
       -0.0595743074        0.0000024892        0.0156201990
        0.0000020054        0.0037122251        0.0000022884
        0.0020497629        0.0000011238        0.0209294461
        0.0000013983       -0.0370837310        0.0000029475
        0.0095633766        0.0000028953        0.0000024157
        0.0000013391        0.0000032784       -0.0010653133
        0.0499879602       -0.0006853027        0.0000034426
        0.0000031093       -0.0015340400       -0.0000000171
        0.0059526748        0.0000019895        0.0000006428
        0.0000031731        0.0000042932        0.0785766349
        0.0067892910        0.0000031116       -0.0018191820
        0.0000029473       -0.0131546379        0.0000007016
       -0.0400810139        0.0000002241        0.0131887397
        0.0000018765        0.0035665796        0.0000016898
        0.0021472282        0.0000021619        0.0000001585
        0.0000018143        0.0000017955        0.0060289285
       -0.0006853027        0.0490078875        0.0000028206
        0.0000010687        0.0148876761        0.0000025737
        0.0050507272        0.0000025928        0.0000015476
        0.0000018410        0.0000021888       -0.0017176573
        0.0272024921        0.0000038916        0.0568889043
        0.0000036721        0.0092150472        0.0000031696
       -0.0097607654        0.0000029436       -0.0079000091
        0.0000021086       -0.0327839739        0.0000026310
        0.0215220302        0.0000036719        0.0000033292
        0.0006204650       -0.0034684180        0.0000018636
        0.0000034426        0.0000028206        0.0490360924
       -0.0098248910       -0.0000005876       -0.0036546813
       -0.0000004617       -0.0072098854        0.0033143387
        0.0010446909        0.0157879536        0.0000000156
        0.0000020009       -0.0591174059        0.0000028183
       -0.0067163718        0.0000016763        0.0054587311
       -0.0000001172       -0.0032167524        0.0000010064
        0.0005131531        0.0000013378        0.0280359230
        0.0000018625       -0.0327858113        0.0173372125
       -0.0067327871       -0.0024731006       -0.0000026816
        0.0000031093        0.0000010687       -0.0098248910
        0.0653681542       -0.0000050214        0.0139150512
       -0.0000028463       -0.0153016134       -0.0299574316
       -0.0311324987       -0.0604300723       -0.0000006949
       -0.0000009392        0.0042926604        0.0000017839
       -0.0316530819       -0.0000002308        0.0176357668
       -0.0000013269        0.0485680282       -0.0000015568
       -0.0079927725        0.0000005083       -0.0072689083
       -0.0000009726        0.0051000615       -0.0173142489
       -0.0000016126        0.0000006821       -0.0017455214
       -0.0015340400        0.0148876761       -0.0000005876
       -0.0000050214        0.0534275824       -0.0000015771
        0.0039413271       -0.0000012207        0.0000000767
        0.0000007888        0.0000005110       -0.0052480516
        0.0598333011        0.0000004226       -0.0060918386
        0.0000017261        0.0305016475       -0.0000026739
       -0.0224280234       -0.0000010508       -0.0260089026
       -0.0000004182       -0.0268445413        0.0000000416
        0.0126504258        0.0000003890       -0.0000002564
       -0.0064786708        0.0078974276        0.0000009669
       -0.0000000171        0.0000025737       -0.0036546813
        0.0139150512       -0.0000015771        0.0971111038
       -0.0000008274       -0.0300581920        0.0490684700
        0.0731926595       -0.0452211620        0.0000017748
        0.0000016884       -0.0048214031        0.0000014572
        0.0049321947       -0.0000018187        0.0494020311
        0.0000005537        0.0464789727        0.0000008247
       -0.0353081950        0.0000025845        0.0117990771
        0.0000010888        0.0428875420        0.0158237313
        0.0000020142        0.0000013900        0.0014636103
        0.0059526748        0.0050507272       -0.0000004617
       -0.0000028463        0.0039413271       -0.0000008274
        0.0146247754        0.0000000671       -0.0000009310
        0.0000010645        0.0000020248        0.0032144446
        0.0052824464        0.0000012361        0.0016872070
       -0.0000011299        0.0007364774       -0.0000000968
        0.0068507566        0.0000020844       -0.0048102041
        0.0000010220       -0.0041792447        0.0000015694
        0.0329452746        0.0000015638       -0.0000003034
        0.0008417609        0.0006528089        0.0000006644
        0.0000019895        0.0000025928       -0.0072098854
       -0.0153016134       -0.0000012207       -0.0300581920
        0.0000000671        0.3886491248       -0.0885738174
        0.0376120568       -0.0348511726        0.0000012173
        0.0000009636       -0.0012874965        0.0000020245
       -0.0188801616        0.0000003784       -0.0200965721
        0.0000010171       -0.1452997586        0.0000019213
        0.0163416172        0.0000003203        0.0617339661
        0.0000038210        0.0059638982       -0.0241148055
       -0.0126354544       -0.0102165096        0.0000014322
        0.0000006428        0.0000015476        0.0033143387
       -0.0299574316        0.0000000767        0.0490684700
       -0.0000009310       -0.0885738174        0.1753632088
        0.0429552242        0.0090158905       -0.0000015984
       -0.0000008740        0.0214802800       -0.0000001329
       -0.0549626172       -0.0000026192       -0.0073352953
       -0.0000003580       -0.0181860096        0.0000000618
       -0.0026799138        0.0000008380        0.0124315939
        0.0000016557        0.0529663585        0.0302533040
        0.0348008498        0.0169668837       -0.0000001583
        0.0000031731        0.0000018410        0.0010446909
       -0.0311324987        0.0000007888        0.0731926595
        0.0000010645        0.0376120568        0.0429552242
        0.2379408687       -0.0135418904        0.0000084938
        0.0000040822       -0.0259725152        0.0000078792
        0.0724975555        0.0000004883        0.0137223171
        0.0000044216        0.0123987866        0.0000015879
       -0.0201440540        0.0000017366       -0.0100916571
        0.0000023610        0.0114760863       -0.0040827247
       -0.0103037013        0.0468881227        0.0000034241
        0.0000042932        0.0000021888        0.0157879536
       -0.0604300723        0.0000005110       -0.0452211620
        0.0000020248       -0.0348511726        0.0090158905
       -0.0135418904        0.2558452076        0.0000054388
        0.0000111417       -0.0128797858        0.0000114778
        0.0301448284        0.0000012770        0.0444438788
        0.0000008482       -0.0539362937        0.0000037942
        0.0080557685        0.0000027568       -0.0142500473
        0.0000017162        0.0058310071       -0.0184610614
        0.0000007958        0.0000027462        0.0055776297
        0.0785766349       -0.0017176573        0.0000000156
       -0.0000006949       -0.0052480516        0.0000017748
        0.0032144446        0.0000012173       -0.0000015984
        0.0000084938        0.0000054388        0.2396952939
       -0.0016388032        0.0000052403       -0.0027401497
        0.0000060051       -0.0307384533        0.0000010152
       -0.0904457340        0.0000022391        0.0329999426
        0.0000016246       -0.0124306013        0.0000001117
       -0.0209841851        0.0000010299       -0.0000004276
        0.0000005134        0.0000004074       -0.0595743074
        0.0067892910        0.0272024921        0.0000020009
       -0.0000009392        0.0598333011        0.0000016884
        0.0052824464        0.0000009636       -0.0000008740
        0.0000040822        0.0000111417       -0.0016388032
        0.2693569769        0.0000078900       -0.0006526486
        0.0000020962        0.0239850114        0.0000030204
       -0.0408282276        0.0000027585       -0.0647232392
       -0.0000016325        0.0249238849        0.0000011710
       -0.0007851565       -0.0000000264       -0.0000003432
       -0.0095170191        0.0020331068        0.0000024892
        0.0000031116        0.0000038916       -0.0591174059
        0.0042926604        0.0000004226       -0.0048214031
        0.0000012361       -0.0012874965        0.0214802800
       -0.0259725152       -0.0128797858        0.0000052403
        0.0000078900        0.3126346218        0.0000118179
        0.0429797055        0.0000000550        0.0183239156
        0.0000037183        0.0102773663        0.0000028255
        0.0071432385        0.0000018073        0.0143799879
        0.0000020492       -0.0053962850        0.0113610902
        0.0000025585        0.0000041959        0.0156201990
       -0.0018191820        0.0568889043        0.0000028183
        0.0000017839       -0.0060918386        0.0000014572
        0.0016872070        0.0000020245       -0.0000001329
        0.0000078792        0.0000114778       -0.0027401497
       -0.0006526486        0.0000118179        0.3174355555
        0.0000073504       -0.0531067776        0.0000055843
        0.0048729608        0.0000021956        0.0008016727
        0.0000044984        0.0191593631        0.0000052989
       -0.0072004192        0.0000030192        0.0000028471
        0.0321868885        0.0036571254        0.0000020054
        0.0000029473        0.0000036721       -0.0067163718
       -0.0316530819        0.0000017261        0.0049321947
       -0.0000011299       -0.0188801616       -0.0549626172
        0.0724975555        0.0301448284        0.0000060051
        0.0000020962        0.0429797055        0.0000073504
        0.2222243768        0.0000008608       -0.0471809921
        0.0000045776       -0.0257477899        0.0000014106
       -0.0106162470        0.0000024531        0.0181439280
        0.0000021640       -0.0256412046       -0.0133775478
       -0.0000008762        0.0000015852        0.0037122251
       -0.0131546379        0.0092150472        0.0000016763
       -0.0000002308        0.0305016475       -0.0000018187
        0.0007364774        0.0000003784       -0.0000026192
        0.0000004883        0.0000012770       -0.0307384533
        0.0239850114        0.0000000550       -0.0531067776
        0.0000008608        0.0549505955        0.0000002568
       -0.0145778593       -0.0000014295       -0.0311109820
       -0.0000009764       -0.0576924155        0.0000004290
        0.0249999898        0.0000002670        0.0000004998
       -0.0311301945        0.0384267615        0.0000022884
        0.0000007016        0.0000031696        0.0054587311
        0.0176357668       -0.0000026739        0.0494020311
       -0.0000000968       -0.0200965721       -0.0073352953
        0.0137223171        0.0444438788        0.0000010152
        0.0000030204        0.0183239156        0.0000055843
       -0.0471809921        0.0000002568        0.2853976605
        0.0000031375        0.0368153307        0.0000040605
       -0.0431141362        0.0000014896        0.0129179381
        0.0000010441       -0.0388035029       -0.0206901886
       -0.0000003205        0.0000024532        0.0020497629
       -0.0400810139       -0.0097607654       -0.0000001172
