   12   30
        0.0406651802       -0.0041937902        0.0000000998
        0.0000001948        0.0000000398        0.0005212949
       -0.0068406952        0.0000000598       -0.0065037251
       -0.0000000001        0.0009331599       -0.0148080001
        0.0379003399       -0.0113461252        0.0000004299
        0.0000003050       -0.0107960301        0.0000004400
        0.0363370751        0.0000001349       -0.0344152051
        0.0000004350        0.0066724749       -0.0000001852
       -0.0004461201        0.0000001098       -0.0177636051
        0.0000001150       -0.0201482352       -0.0067110051
       -0.0041937902        0.0457454104        0.0000002248
        0.0000000848        0.0000001147       -0.0045467702
       -0.0025355651        0.0000001897        0.0080561298
        0.0000000198        0.0016110198       -0.0115695052
        0.0184992898        0.0510596547        0.0000000898
        0.0000006098        0.0027973698        0.0000016848
        0.0045997999        0.0000001748        0.0425893097
        0.0000002848        0.0043299399        0.0000002098
       -0.0098110152        0.0000003149       -0.0212137202
        0.0000000797        0.0148029596       -0.0080776252
        0.0000000998        0.0000002248        0.0486770904
       -0.0011108503        0.0075803948        0.0000002147
        0.0000002998       -0.0018373703        0.0000001299
        0.0015789098        0.0000001648        0.0000001948
        0.0000004047        0.0000009447        0.0060488348
       -0.0650990101        0.0000009499        0.0180770247
        0.0000002998        0.0039872698        0.0000002197
        0.0025436448        0.0000002748        0.0234799298
        0.0000000198       -0.0421797851        0.0000005798
        0.0119450148        0.0000004246        0.0000005248
        0.0000001948        0.0000000848       -0.0011108503
        0.0532957102       -0.0007853352        0.0000001098
        0.0000001148       -0.0015048852        0.0000003500
        0.0060760850        0.0000000649        0.0000000199
        0.0000013549        0.0000012699        0.0860960247
        0.0075855100        0.0000011899       -0.0020284301
        0.0000008050       -0.0140907352        0.0000002048
       -0.0447821101        0.0000001098        0.0148184549
        0.0000002248        0.0032422348        0.0000001450
        0.0014142448        0.0000000398        0.0000002301
        0.0000000398        0.0000001147        0.0075803948
       -0.0007853352        0.0537996803        0.0000005097
        0.0000001198        0.0174898648        0.0000000848
        0.0058754149        0.0000000499       -0.0000000001
        0.0000006649        0.0000003799       -0.0019952653
        0.0301763298        0.0000008548        0.0640442150
        0.0000004999        0.0105826298        0.0000001799
       -0.0106691802        0.0000001950       -0.0084711903
        0.0000002548       -0.0380000702        0.0000011099
        0.0251770098        0.0000007947       -0.0000002001
        0.0005212949       -0.0045467702        0.0000002147
        0.0000001098        0.0000005097        0.0530532503
       -0.0114935001        0.0000001847       -0.0038937151
       -0.0000000001       -0.0086843902        0.0048308799
        0.0012058098        0.0173806548        0.0000001147
        0.0000005947       -0.0659209901        0.0000008498
       -0.0074395200        0.0000002899        0.0050238847
        0.0000007350       -0.0039788500        0.0000005447
        0.0011325298        0.0000012349        0.0319812399
        0.0000003448       -0.0360948903        0.0194115249
       -0.0068406952       -0.0025355651        0.0000002998
        0.0000001148        0.0000001198       -0.0114935001
        0.0696317002        0.0000002299        0.0142291999
       -0.0000000200       -0.0140731751       -0.0328589101
       -0.0338938202       -0.0662254951        0.0000008598
        0.0000009098        0.0054730749        0.0000009449
       -0.0346852799        0.0000002348        0.0180568698
        0.0000004150        0.0514216450        0.0000000249
       -0.0084350602        0.0000002998       -0.0089341852
        0.0000001349        0.0064160398       -0.0183892200
        0.0000000598        0.0000001897       -0.0018373703
       -0.0015048852        0.0174898648        0.0000001847
        0.0000002299        0.0569018803        0.0000002449
        0.0043037899        0.0000002548        0.0000003199
        0.0000003298        0.0000007699       -0.0057821003
        0.0660385348        0.0000008498       -0.0055564452
        0.0000003699        0.0329786899        0.0000007249
       -0.0239281300        0.0000001599       -0.0282221053
       -0.0000000001       -0.0300478852        0.0000007950
        0.0152821897        0.0000005248        0.0000003149
       -0.0065037251        0.0080561298        0.0000001299
        0.0000003500        0.0000000848       -0.0038937151
        0.0142291999        0.0000002449        0.1032287301
       -0.0000000449       -0.0297621551        0.0533261499
        0.0808363200       -0.0495286601        0.0000011748
        0.0000012298       -0.0048361652        0.0000010249
