   12   30
        0.3366300797        0.0102146451       -0.0003735398
        0.0266311953        0.0000000000        0.0028746051
        0.0000000000       -0.0010757749        0.0000000000
       -0.0017655898        0.0000000000        0.0488596902
       -0.0375091749        0.0000000000        0.0000000000
        0.0030408101        0.0000000000        0.0220589902
        0.0000000000        0.0008171503        0.0000000000
       -0.0012355798        0.0000000000        0.0011440950
        0.0000000000        0.0000000000        0.0000000000
        0.0013996251       -0.0645319399        0.0078384451
        0.0102146451        0.3371354799       -0.0020229349
        0.0079739301        0.0000000000       -0.0001119150
        0.0000000000        0.0008644051        0.0000000000
        0.0014315550        0.0000000000        0.0034228549
       -0.0097456399        0.0000000000        0.0000000000
        0.0022870900        0.0000000000       -0.0015833649
        0.0000000000       -0.0050553298        0.0000000000
        0.0003881651        0.0000000000       -0.0000238251
        0.0000000000        0.0000000000        0.0000000000
        0.0001054700        0.0005993201        0.0133348500
       -0.0003735398       -0.0020229349        0.5290354696
        0.0013753653        0.0000000000       -0.0008628098
        0.0000000000       -0.0008040047        0.0000000000
        0.0004014002        0.0000000000        0.0191276851
        0.0019635603        0.0000000000        0.0000000000
        0.0006408652        0.0000000000       -0.0034835998
        0.0000000000       -0.0018461498        0.0000000000
        0.0003972002        0.0000000000        0.0000221901
        0.0000000000        0.0000000000        0.0000000000
        0.0005431903       -0.0078514348        0.0148846502
        0.0266311953        0.0079739301        0.0013753653
        0.2948496896        0.0000000000        0.0063241302
        0.0000000000       -0.0012749648        0.0000000000
       -0.0019961249        0.0000000000       -0.0003820749
        0.0341760003        0.0000000000        0.0000000000
        0.0345619301        0.0000000000       -0.0048985098
        0.0000000000        0.0075325153        0.0000000000
        0.0002104102        0.0000000000        0.0003721001
        0.0000000000        0.0000000000        0.0000000000
       -0.0008928500        0.0214357502       -0.0207173248
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.2736288297        0.0000000000
        0.0057958751        0.0000000000       -0.0009806951
        0.0000000000       -0.0006790850        0.0000000000
        0.0000000000        0.0375415551        0.0329552752
        0.0000000000        0.0321774552        0.0000000000
       -0.0033857198        0.0000000000       -0.0070197198
        0.0000000000        0.0001318851        0.0000000000
        0.0008676599       -0.0010159648        0.0005466951
        0.0000000000        0.0000000000        0.0000000000
        0.0028746051       -0.0001119150       -0.0008628098
        0.0063241302        0.0000000000        0.3435405898
        0.0000000000       -0.0009867149        0.0000000000
        0.0030003051        0.0000000000        0.0011116651
        0.0002805001        0.0000000000        0.0000000000
       -0.0138292350        0.0000000000       -0.0004679448
        0.0000000000       -0.0005683799        0.0000000000
        0.0004092601        0.0000000000       -0.0007314000
        0.0000000000        0.0000000000        0.0000000000
        0.0002820401        0.0021160650       -0.0016497899
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0057958751        0.0000000000
        0.3430572198        0.0000000000       -0.0014264251
        0.0000000000        0.0031651500        0.0000000000
        0.0000000000        0.0023623801        0.0020941101
        0.0000000000       -0.0152388399        0.0000000000
        0.0011349151        0.0000000000       -0.0013502299
        0.0000000000        0.0004625451        0.0000000000
       -0.0008485999        0.0006389701        0.0002162051
        0.0000000000        0.0000000000        0.0000000000
       -0.0010757749        0.0008644051       -0.0008040047
       -0.0012749648        0.0000000000       -0.0009867149
        0.0000000000        0.3402528597        0.0000000000
       -0.0021066349        0.0000000000       -0.0022168499
       -0.0097657949        0.0000000000        0.0000000000
       -0.0001605048        0.0000000000        0.0160351001
        0.0000000000        0.0002714452        0.0000000000
       -0.0180421848        0.0000000000        0.0002330100
        0.0000000000        0.0000000000        0.0000000000
        0.0004559752       -0.0022971848       -0.0085586798
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0009806951        0.0000000000
       -0.0014264251        0.0000000000        0.3388501199
        0.0000000000       -0.0023018900        0.0000000000
        0.0000000000       -0.0000771949        0.0108875702
        0.0000000000        0.0001358451        0.0000000000
        0.0146034949        0.0000000000        0.0010077750
        0.0000000000       -0.0187990199        0.0000000000
        0.0010176450       -0.0022182799       -0.0005798299
        0.0000000000        0.0000000000        0.0000000000
       -0.0017655898        0.0014315550        0.0004014002
       -0.0019961249        0.0000000000        0.0030003051
        0.0000000000       -0.0021066349        0.0000000000
        0.3415969798        0.0000000000       -0.0024265549
        0.0125525652        0.0000000000        0.0000000000
       -0.0003941800        0.0000000000        0.0004689802
        0.0000000000        0.0169339351        0.0000000000
        0.0001127151        0.0000000000        0.0179848900
        0.0000000000        0.0000000000        0.0000000000
       -0.0001074899       -0.0020541950       -0.0027576749
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0006790850        0.0000000000
        0.0031651500        0.0000000000       -0.0023018900
        0.0000000000        0.3404406098        0.0000000000
        0.0000000000       -0.0042594648       -0.0043710699
        0.0000000000        0.0005894951        0.0000000000
        0.0007958252        0.0000000000        0.0130870002
        0.0000000000       -0.0006387950        0.0000000000
        0.0178181750       -0.0004905900       -0.0005799150
        0.0000000000        0.0000000000        0.0000000000
        0.0488596902        0.0034228549        0.0191276851
       -0.0003820749        0.0000000000        0.0011116651
        0.0000000000       -0.0022168499        0.0000000000
       -0.0024265549        0.0000000000        0.1792231399
        0.0025831102        0.0000000000        0.0000000000
        0.0012863849        0.0000000000       -0.0011131348
        0.0000000000       -0.0002620499        0.0000000000
       -0.0004636050        0.0000000000        0.0020384699
        0.0000000000        0.0000000000        0.0000000000
        0.0012396900       -0.0245462999        0.0325213050
       -0.0375091749       -0.0097456399        0.0019635603
        0.0341760003        0.0000000000        0.0002805001
        0.0000000000       -0.0097657949        0.0000000000
        0.0125525652        0.0000000000        0.0025831102
        0.2855122696        0.0000000000        0.0000000000
        0.0079528901        0.0000000000       -0.0270151048
        0.0000000000        0.0463861802        0.0000000000
       -0.0018592648        0.0000000000       -0.0046318398
        0.0000000000        0.0000000000        0.0000000000
       -0.0024582448       -0.0257410498        0.0382680452
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0375415551        0.0000000000
        0.0023623801        0.0000000000       -0.0000771949
        0.0000000000       -0.0042594648        0.0000000000
        0.0000000000        0.1631579397        0.0064273752
        0.0000000000        0.0041359603        0.0000000000
       -0.0126720748        0.0000000000       -0.0236905848
        0.0000000000       -0.0016470499        0.0000000000
       -0.0008467150       -0.0059283450       -0.0023147399
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0329552752        0.0000000000
        0.0020941101        0.0000000000        0.0108875702
        0.0000000000       -0.0043710699        0.0000000000
        0.0000000000        0.0064273752        0.2623711197
        0.0000000000        0.0036252003        0.0000000000
        0.0437653202        0.0000000000       -0.0021780399
        0.0000000000        0.0012745352        0.0000000000
        0.0047652851        0.0006399151        0.0055172052
        0.0000000000        0.0000000000        0.0000000000
        0.0030408101        0.0022870900        0.0006408652
        0.0345619301        0.0000000000       -0.0138292350
        0.0000000000       -0.0001605048        0.0000000000
       -0.0003941800        0.0000000000        0.0012863849
        0.0079528901        0.0000000000        0.0000000000
        0.1304840998        0.0000000000       -0.0008145598
        0.0000000000        0.0002848101        0.0000000000
       -0.0009143250        0.0000000000        0.0005948100
        0.0000000000        0.0000000000        0.0000000000
       -0.0010436149        0.0035411851       -0.0031980700
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0321774552        0.0000000000
       -0.0152388399        0.0000000000        0.0001358451
        0.0000000000        0.0005894951        0.0000000000
        0.0000000000        0.0041359603        0.0036252003
        0.0000000000        0.1271831897        0.0000000000
       -0.0002175099        0.0000000000       -0.0030605098
        0.0000000000       -0.0004491349        0.0000000000
        0.0010777701        0.0010426950       -0.0004828799
        0.0000000000        0.0000000000        0.0000000000
        0.0220589902       -0.0015833649       -0.0034835998
       -0.0048985098        0.0000000000       -0.0004679448
        0.0000000000        0.0160351001        0.0000000000
        0.0004689802        0.0000000000       -0.0011131348
       -0.0270151048        0.0000000000        0.0000000000
       -0.0008145598        0.0000000000        0.1474876797
        0.0000000000       -0.0034065448        0.0000000000
        0.0015531850        0.0000000000       -0.0017472750
        0.0000000000        0.0000000000        0.0000000000
        0.0003493152       -0.0084403948       -0.0305668648
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0033857198        0.0000000000
        0.0011349151        0.0000000000        0.0146034949
        0.0000000000        0.0007958252        0.0000000000
        0.0000000000       -0.0126720748        0.0437653202
        0.0000000000       -0.0002175099        0.0000000000
        0.1402191998        0.0000000000        0.0039377650
        0.0000000000        0.0008425300        0.0000000000
       -0.0003122250        0.0001510651        0.0003406601
        0.0000000000        0.0000000000        0.0000000000
        0.0008171503       -0.0050553298       -0.0018461498
        0.0075325153        0.0000000000       -0.0005683799
        0.0000000000        0.0002714452        0.0000000000
        0.0169339351        0.0000000000       -0.0002620499
        0.0463861802        0.0000000000        0.0000000000
        0.0002848101        0.0000000000       -0.0034065448
        0.0000000000        0.1543191496        0.0000000000
       -0.0005507248        0.0000000000       -0.0003694099
        0.0000000000        0.0000000000        0.0000000000
