   12   30
        0.3532293900        0.0091930200       -0.0012878100
        0.0256934351        0.0000000000        0.0030075699
        0.0000000000       -0.0005891350        0.0000000000
       -0.0014390950        0.0000000000        0.0460172599
       -0.0381373199        0.0000000000        0.0000000000
        0.0033063651        0.0000000000        0.0216548250
        0.0000000000        0.0005994200        0.0000000000
       -0.0013847249        0.0000000000        0.0010517149
        0.0000000000        0.0000000000        0.0000000000
        0.0011761499       -0.0636798750        0.0042040348
        0.0091930200        0.3640628799       -0.0015775349
        0.0070709902        0.0000000000        0.0005084401
        0.0000000000        0.0007565400        0.0000000000
        0.0011815300        0.0000000000        0.0038819600
       -0.0099078500        0.0000000000        0.0000000000
        0.0024084000        0.0000000000       -0.0021211899
        0.0000000000       -0.0057809400        0.0000000000
        0.0004896901        0.0000000000       -0.0002855899
        0.0000000000        0.0000000000        0.0000000000
        0.0000526100        0.0011911901        0.0133272499
       -0.0012878100       -0.0015775349        0.5451606799
        0.0010342352        0.0000000000       -0.0005918950
        0.0000000000       -0.0007877151        0.0000000000
        0.0002276001        0.0000000000        0.0185293950
        0.0020503801        0.0000000000        0.0000000000
        0.0004721350        0.0000000000       -0.0029509100
        0.0000000000       -0.0015273100        0.0000000000
        0.0002920851        0.0000000000       -0.0000569150
        0.0000000000        0.0000000000        0.0000000000
        0.0007029951       -0.0090335701        0.0173115849
        0.0256934351        0.0070709902        0.0010342352
        0.3192344798        0.0000000000        0.0042053652
        0.0000000000       -0.0013364799        0.0000000000
       -0.0016022651        0.0000000000       -0.0004085649
        0.0363871652        0.0000000000        0.0000000000
        0.0346946601        0.0000000000       -0.0042368200
        0.0000000000        0.0077543351        0.0000000000
       -0.0000896299        0.0000000000        0.0006027551
        0.0000000000        0.0000000000        0.0000000000
       -0.0010454099        0.0212462301       -0.0225377600
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.2984922600        0.0000000000
        0.0042088649        0.0000000000       -0.0010252049
        0.0000000000       -0.0008750399        0.0000000000
        0.0000000000        0.0366105550        0.0341609901
        0.0000000000        0.0319940850        0.0000000000
       -0.0025315900        0.0000000000       -0.0066543700
        0.0000000000       -0.0001907750        0.0000000000
        0.0010204350       -0.0007870298        0.0003244300
        0.0000000000        0.0000000000        0.0000000000
        0.0030075699        0.0005084401       -0.0005918950
        0.0042053652        0.0000000000        0.3719195399
        0.0000000000       -0.0013665949        0.0000000000
        0.0030651749        0.0000000000        0.0005841400
       -0.0010707150        0.0000000000        0.0000000000
       -0.0136319750        0.0000000000       -0.0006835999
        0.0000000000       -0.0000853599        0.0000000000
        0.0003808800        0.0000000000       -0.0004477650
        0.0000000000        0.0000000000        0.0000000000
        0.0001853900        0.0022783800       -0.0014374950
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0042088649        0.0000000000
        0.3711028100        0.0000000000       -0.0017246349
        0.0000000000        0.0032778750        0.0000000000
        0.0000000000        0.0027171301        0.0022461951
        0.0000000000       -0.0148338351        0.0000000000
        0.0009455999        0.0000000000       -0.0012484850
        0.0000000000        0.0004191200        0.0000000000
       -0.0006871849        0.0005646201        0.0001467049
        0.0000000000        0.0000000000        0.0000000000
       -0.0005891350        0.0007565400       -0.0007877151
       -0.0013364799        0.0000000000       -0.0013665949
        0.0000000000        0.3678556601        0.0000000000
       -0.0021819302        0.0000000000       -0.0020135502
       -0.0102752250        0.0000000000        0.0000000000
       -0.0002106501        0.0000000000        0.0159735801
        0.0000000000        0.0001867400        0.0000000000
       -0.0175288351        0.0000000000        0.0003398550
        0.0000000000        0.0000000000        0.0000000000
        0.0006222898       -0.0027741351       -0.0089634202
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0010252049        0.0000000000
       -0.0017246349        0.0000000000        0.3662238097
        0.0000000000       -0.0023676199        0.0000000000
        0.0000000000       -0.0003612848        0.0115281351
        0.0000000000        0.0001197500        0.0000000000
        0.0146875701        0.0000000000        0.0010780550
        0.0000000000       -0.0182347098        0.0000000000
