   12   30
        0.3367001938        0.0102067904       -0.0003858092
        0.0266149176        0.0000000000        0.0028739805
        0.0000000000       -0.0010762484        0.0000000000
       -0.0017653180        0.0000000000        0.0488552702
       -0.0375058713        0.0000000000        0.0000000000
        0.0030440549        0.0000000000        0.0220652655
        0.0000000000        0.0008165891        0.0000000000
       -0.0012371169        0.0000000000        0.0011436850
        0.0000000000        0.0000000000        0.0000000000
        0.0014010602       -0.0645311327        0.0078395685
        0.0102067904        0.3371258282       -0.0020219089
        0.0079705528        0.0000000000       -0.0001097598
        0.0000000000        0.0008648593        0.0000000000
        0.0014314570        0.0000000000        0.0034265749
       -0.0097395989        0.0000000000        0.0000000000
        0.0022873650        0.0000000000       -0.0015826068
        0.0000000000       -0.0050592084        0.0000000000
        0.0003895006        0.0000000000       -0.0000237479
        0.0000000000        0.0000000000        0.0000000000
        0.0001050307        0.0006011916        0.0133300027
       -0.0003858092       -0.0020219089        0.5290835853
        0.0013757378        0.0000000000       -0.0008616492
        0.0000000000       -0.0008038042        0.0000000000
        0.0004023674        0.0000000000        0.0191355073
        0.0019696216        0.0000000000        0.0000000000
        0.0006402431        0.0000000000       -0.0034813753
        0.0000000000       -0.0018461506        0.0000000000
        0.0003967523        0.0000000000        0.0000231174
        0.0000000000        0.0000000000        0.0000000000
        0.0005430837       -0.0078543722        0.0148961064
        0.0266149176        0.0079705528        0.0013757378
        0.2948981032        0.0000000000        0.0063223320
        0.0000000000       -0.0012744776        0.0000000000
       -0.0019963863        0.0000000000       -0.0003847258
        0.0341656998        0.0000000000        0.0000000000
        0.0345560909        0.0000000000       -0.0049032448
        0.0000000000        0.0075376487        0.0000000000
        0.0002153709        0.0000000000        0.0003748407
        0.0000000000        0.0000000000        0.0000000000
       -0.0008937634        0.0214341800       -0.0207176889
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.2736903897        0.0000000000
        0.0057927902        0.0000000000       -0.0009802872
        0.0000000000       -0.0006778561        0.0000000000
        0.0000000000        0.0375360528        0.0329583266
        0.0000000000        0.0321738133        0.0000000000
       -0.0033878783        0.0000000000       -0.0070178012
        0.0000000000        0.0001344424        0.0000000000
        0.0008693614       -0.0010148263        0.0005461911
        0.0000000000        0.0000000000        0.0000000000
        0.0028739805       -0.0001097598       -0.0008616492
        0.0063223320        0.0000000000        0.3435405068
        0.0000000000       -0.0009849693        0.0000000000
        0.0030007669        0.0000000000        0.0011144779
        0.0002838387        0.0000000000        0.0000000000
       -0.0138312689        0.0000000000       -0.0004656221
        0.0000000000       -0.0005676910        0.0000000000
        0.0004093249        0.0000000000       -0.0007294159
        0.0000000000        0.0000000000        0.0000000000
        0.0002832338        0.0021173800       -0.0016465059
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0057927902        0.0000000000
        0.3430547704        0.0000000000       -0.0014252952
        0.0000000000        0.0031653845        0.0000000000
        0.0000000000        0.0023629799        0.0020928614
        0.0000000000       -0.0152417728        0.0000000000
        0.0011380473        0.0000000000       -0.0013495192
        0.0000000000        0.0004614155        0.0000000000
       -0.0008469907        0.0006420592        0.0002170383
        0.0000000000        0.0000000000        0.0000000000
       -0.0010762484        0.0008648593       -0.0008038042
       -0.0012744776        0.0000000000       -0.0009849693
        0.0000000000        0.3402523842        0.0000000000
       -0.0021056907        0.0000000000       -0.0022160026
       -0.0097638369        0.0000000000        0.0000000000
       -0.0001584677        0.0000000000        0.0160316506
        0.0000000000        0.0002713014        0.0000000000
       -0.0180406352        0.0000000000        0.0002337038
        0.0000000000        0.0000000000        0.0000000000
        0.0004570995       -0.0022972471       -0.0085567089
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0009802872        0.0000000000
       -0.0014252952        0.0000000000        0.3388487852
        0.0000000000       -0.0023009075        0.0000000000
        0.0000000000       -0.0000768638        0.0108881761
        0.0000000000        0.0001372342        0.0000000000
        0.0145996189        0.0000000000        0.0010088060
        0.0000000000       -0.0188004350        0.0000000000
        0.0010182421       -0.0022189671       -0.0005790304
        0.0000000000        0.0000000000        0.0000000000
       -0.0017653180        0.0014314570        0.0004023674
       -0.0019963863        0.0000000000        0.0030007669
        0.0000000000       -0.0021056907        0.0000000000
        0.3415952855        0.0000000000       -0.0024278894
        0.0125528000        0.0000000000        0.0000000000
       -0.0003945551        0.0000000000        0.0004692724
        0.0000000000        0.0169303949        0.0000000000
        0.0001142507        0.0000000000        0.0179875252
        0.0000000000        0.0000000000        0.0000000000
       -0.0001089334       -0.0020538428       -0.0027597288
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0006778561        0.0000000000
        0.0031653845        0.0000000000       -0.0023009075
        0.0000000000        0.3404376650        0.0000000000
        0.0000000000       -0.0042575311       -0.0043726139
        0.0000000000        0.0005915633        0.0000000000
        0.0007976500        0.0000000000        0.0130829149
        0.0000000000       -0.0006400208        0.0000000000
        0.0178219278       -0.0004916177       -0.0005802545
        0.0000000000        0.0000000000        0.0000000000
        0.0488552702        0.0034265749        0.0191355073
       -0.0003847258        0.0000000000        0.0011144779
        0.0000000000       -0.0022160026        0.0000000000
       -0.0024278894        0.0000000000        0.1791995444
        0.0025912567        0.0000000000        0.0000000000
        0.0012843581        0.0000000000       -0.0011089662
        0.0000000000       -0.0002596255        0.0000000000
       -0.0004662323        0.0000000000        0.0020385140
        0.0000000000        0.0000000000        0.0000000000
        0.0012422544       -0.0245564873        0.0325421928
       -0.0375058713       -0.0097395989        0.0019696216
        0.0341656998        0.0000000000        0.0002838387
        0.0000000000       -0.0097638369        0.0000000000
        0.0125528000        0.0000000000        0.0025912567
        0.2854432182        0.0000000000        0.0000000000
        0.0079424312        0.0000000000       -0.0270304108
        0.0000000000        0.0464070135        0.0000000000
       -0.0018569773        0.0000000000       -0.0046264782
        0.0000000000        0.0000000000        0.0000000000
       -0.0024582575       -0.0257532284        0.0382692704
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0375360528        0.0000000000
        0.0023629799        0.0000000000       -0.0000768638
        0.0000000000       -0.0042575311        0.0000000000
        0.0000000000        0.1631684336        0.0064171564
        0.0000000000        0.0041440373        0.0000000000
       -0.0126749391        0.0000000000       -0.0236934565
        0.0000000000       -0.0016479464        0.0000000000
       -0.0008422165       -0.0059332299       -0.0023149136
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0329583266        0.0000000000
        0.0020928614        0.0000000000        0.0108881761
        0.0000000000       -0.0043726139        0.0000000000
        0.0000000000        0.0064171564        0.2623712729
        0.0000000000        0.0036346370        0.0000000000
        0.0437675898        0.0000000000       -0.0021747086
        0.0000000000        0.0012792219        0.0000000000
        0.0047689055        0.0006376847        0.0055209607
        0.0000000000        0.0000000000        0.0000000000
        0.0030440549        0.0022873650        0.0006402431
        0.0345560909        0.0000000000       -0.0138312689
        0.0000000000       -0.0001584677        0.0000000000
       -0.0003945551        0.0000000000        0.0012843581
        0.0079424312        0.0000000000        0.0000000000
        0.1304726553        0.0000000000       -0.0008103291
        0.0000000000        0.0002918800        0.0000000000
       -0.0009123272        0.0000000000        0.0006006202
        0.0000000000        0.0000000000        0.0000000000
       -0.0010431742        0.0035427182       -0.0032034818
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0321738133        0.0000000000
       -0.0152417728        0.0000000000        0.0001372342
        0.0000000000        0.0005915633        0.0000000000
        0.0000000000        0.0041440373        0.0036346370
        0.0000000000        0.1271702601        0.0000000000
       -0.0002134634        0.0000000000       -0.0030561807
        0.0000000000       -0.0004496184        0.0000000000
        0.0010822663        0.0010409398       -0.0004825012
        0.0000000000        0.0000000000        0.0000000000
        0.0220652655       -0.0015826068       -0.0034813753
       -0.0049032448        0.0000000000       -0.0004656221
        0.0000000000        0.0160316506        0.0000000000
        0.0004692724        0.0000000000       -0.0011089662
       -0.0270304108        0.0000000000        0.0000000000
       -0.0008103291        0.0000000000        0.1474698468
        0.0000000000       -0.0034062009        0.0000000000
        0.0015567068        0.0000000000       -0.0017409010
        0.0000000000        0.0000000000        0.0000000000
        0.0003553122       -0.0084425474       -0.0305601094
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0033878783        0.0000000000
        0.0011380473        0.0000000000        0.0145996189
        0.0000000000        0.0007976500        0.0000000000
        0.0000000000       -0.0126749391        0.0437675898
        0.0000000000       -0.0002134634        0.0000000000
        0.1402034576        0.0000000000        0.0039387852
        0.0000000000        0.0008464897        0.0000000000
       -0.0003088225        0.0001543566        0.0003480508
        0.0000000000        0.0000000000        0.0000000000
        0.0008165891       -0.0050592084       -0.0018461506
        0.0075376487        0.0000000000       -0.0005676910
        0.0000000000        0.0002713014        0.0000000000
        0.0169303949        0.0000000000       -0.0002596255
        0.0464070135        0.0000000000        0.0000000000
        0.0002918800        0.0000000000       -0.0034062009
        0.0000000000        0.1542974283        0.0000000000
       -0.0005542763        0.0000000000       -0.0003710541
        0.0000000000        0.0000000000        0.0000000000
       -0.0039185606       -0.0165611395       -0.0087291330
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0070178012        0.0000000000
       -0.0013495192        0.0000000000        0.0010088060
        0.0000000000        0.0130829149        0.0000000000
        0.0000000000       -0.0236934565       -0.0021747086
        0.0000000000       -0.0030561807        0.0000000000
        0.0039387852        0.0000000000        0.1447566450
        0.0000000000       -0.0006936756        0.0000000000
       -0.0002376468        0.0017533169       -0.0049467403
        0.0000000000        0.0000000000        0.0000000000
       -0.0012371169        0.0003895006        0.0003967523
        0.0002153709        0.0000000000        0.0004093249
        0.0000000000       -0.0180406352        0.0000000000
        0.0001142507        0.0000000000       -0.0004662323
       -0.0018569773        0.0000000000        0.0000000000
       -0.0009123272        0.0000000000        0.0015567068
        0.0000000000       -0.0005542763        0.0000000000
        0.1343425237        0.0000000000       -0.0002509763
        0.0000000000        0.0000000000        0.0000000000
        0.0018773245       -0.0009094343        0.0008692174
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0001344424        0.0000000000
        0.0004614155        0.0000000000       -0.0188004350
        0.0000000000       -0.0006400208        0.0000000000
        0.0000000000       -0.0016479464        0.0012792219
        0.0000000000       -0.0004496184        0.0000000000
        0.0008464897        0.0000000000       -0.0006936756
        0.0000000000        0.1320624020        0.0000000000
       -0.0000635410        0.0020471074        0.0009290707
