   12   36
        0.5204831870       -0.0415465641        0.0251023958
       -0.1730549960       -0.0479938131        0.0350608520
       -0.0302115836       -0.0121577899        0.0100979094
       -0.2221825624        0.1117116937       -0.0715244849
       -0.0466365857        0.0004102033        0.0056564367
       -0.0482005885       -0.0078993787       -0.0026485001
       -0.0015311797       -0.0006889228       -0.0009212446
        0.0023339408       -0.0021468802        0.0003710702
        0.0001776351       -0.0001191562       -0.0007268663
       -0.0039921122        0.0023884917       -0.0015055346
        0.0006984941       -0.0009000864        0.0001964133
        0.0021163509       -0.0010577972        0.0008415533
       -0.0415467115        0.5586191479        0.0111786455
       -0.0422628069       -0.0948279827        0.0166986516
        0.0121577669        0.0111501405       -0.0032766782
        0.1083244835       -0.1137560167        0.0439675137
       -0.0003414201       -0.0468413862        0.0137932662
       -0.0053406910       -0.2753946896       -0.0907046571
       -0.0030830620        0.0000698708        0.0009925731
       -0.0322708403       -0.0386308349        0.0048156124
        0.0003470910        0.0012056551        0.0017294437
        0.0044383982       -0.0015193123        0.0011234872
       -0.0005395088        0.0001805645       -0.0003051745
        0.0001173009       -0.0002551564       -0.0000126834
        0.0251024206        0.0111785733        0.5625236801
        0.0402087140        0.0239907631       -0.0985557466
       -0.0100979279       -0.0032767206        0.0043975906
       -0.0702492295        0.0437001111       -0.0755983052
        0.0048039779        0.0139826701       -0.3088907701
       -0.0019075421       -0.0895373591       -0.0820564546
        0.0285021397        0.0155683968       -0.0094520456
       -0.0103403360       -0.0141175135        0.0043347058
       -0.0024196793       -0.0013381792        0.0028624744
       -0.0028030425        0.0006032054       -0.0001906702
        0.0002066911       -0.0001732612       -0.0001112465
       -0.0010061861       -0.0005806861        0.0007367878
       -0.1730547143       -0.0422627607        0.0402086132
        0.5012543292        0.0000000189       -0.0000000223
       -0.1730552341        0.0422626268       -0.0402086594
       -0.0220947245       -0.0144034768        0.0100351290
       -0.0011583150       -0.0005973913       -0.0019034616
        0.0032242782        0.0056734618       -0.0008144096
       -0.0505511383       -0.0000000069        0.0000000081
       -0.0643708035        0.0000001212        0.0000000622
       -0.0001648924        0.0000000196       -0.0000000002
       -0.0220947197        0.0144034300       -0.0100351200
        0.0032242502       -0.0056734354        0.0008143946
       -0.0011583158        0.0005973929        0.0019034658
       -0.0479938334       -0.0948280602        0.0239907626
        0.0000000189        0.4764981469       -0.0089612705
        0.0479936938       -0.0948277993        0.0239906933
        0.0172527622        0.0062940990       -0.0057171753
       -0.0005475217       -0.0017784421       -0.0019720153
       -0.0220130759       -0.0125108831        0.0091024965
       -0.0000000055       -0.0483028446        0.0154694109
        0.0000001424       -0.2150743109       -0.0625433808
        0.0000000045       -0.0074747067        0.0052271843
       -0.0172528098        0.0062940949       -0.0057171929
        0.0220131029       -0.0125108547        0.0091024990
        0.0005475217       -0.0017784391       -0.0019720117
        0.0350608542        0.0166986863       -0.0985557418
       -0.0000000223       -0.0089613086        0.6450735077
       -0.0350608912        0.0166986310       -0.0985557505
       -0.0101443977       -0.0052967781        0.0027147866
        0.0302334920        0.0165317890       -0.0129638850
       -0.0130203169       -0.0079573297        0.0025847185
       -0.0000000005        0.0270069928       -0.3048956379
        0.0000000196       -0.0083994692       -0.1077296459
        0.0000000461       -0.0495988843       -0.0200079697
        0.0101444060       -0.0052967605        0.0027147861
        0.0130203301       -0.0079573078        0.0025847186
       -0.0302335193        0.0165317393       -0.0129638866
       -0.0302121502        0.0121576101       -0.0100978995
       -0.1730551458        0.0479936734       -0.0350608889
        0.5204836159        0.0415466115       -0.0251024222
       -0.0039921009       -0.0023884957        0.0015055328
        0.0021163495        0.0010578011       -0.0008415532
        0.0006984917        0.0009000871       -0.0001964127
       -0.0015311877        0.0006889218        0.0009212411
        0.0023338867        0.0021469491       -0.0003710761
        0.0001776343        0.0001191538        0.0007268633
       -0.2221821980       -0.1117118708        0.0715244145
       -0.0482006087        0.0078997629        0.0026486526
       -0.0466365868       -0.0004102043       -0.0056564516
       -0.0121577162        0.0111498788       -0.0032766890
        0.0422626729       -0.0948278316        0.0166985969
        0.0415465272        0.5586195263        0.0111785874
       -0.0044384026       -0.0015193240        0.0011234895
       -0.0001172968       -0.0002551548       -0.0000126849
        0.0005395094        0.0001805663       -0.0003051748
        0.0030830627        0.0000698776        0.0009925770
        0.0322709049       -0.0386307600        0.0048156158
       -0.0003470940        0.0012056536        0.0017294437
       -0.1083246625       -0.1137563781        0.0439676340
        0.0053410758       -0.2753946679       -0.0907046512
        0.0003414192       -0.0468413863        0.0137932556
        0.0100978920       -0.0032767743        0.0043977988
       -0.0402087602        0.0239906943       -0.0985557498
       -0.0251024014        0.0111785980        0.5625234864
        0.0028030412        0.0006032095       -0.0001906699
        0.0010061871       -0.0005806845        0.0007367882
       -0.0002066907       -0.0001732614       -0.0001112468
       -0.0285021696        0.0155683492       -0.0094520546
        0.0103403618       -0.0141174917        0.0043347085
        0.0024196810       -0.0013381736        0.0028624731
        0.0702491591        0.0437002287       -0.0755983076
        0.0019076927       -0.0895373545       -0.0820564537
       -0.0048039932        0.0139826604       -0.3088907725
       -0.2221823761        0.1083244216       -0.0702492523
       -0.0220947440        0.0172527573       -0.0101443947
       -0.0039921102       -0.0044383893        0.0028030438
        0.2415069576       -0.1187241226        0.0752159184
        0.0013296934       -0.0015463340        0.0016012368
        0.0018861900       -0.0022650853        0.0010444502
        0.0010300957        0.0001679916        0.0002455432
        0.0038955500        0.0005566376        0.0001107677
       -0.0003905981        0.0000249536       -0.0001694478
       -0.0016742579        0.0007893328       -0.0005774416
        0.0003990951       -0.0000358680        0.0000923397
        0.0002865045       -0.0001062952        0.0000272366
        0.1117117660       -0.1137560519        0.0437000424
       -0.0144035644        0.0062941061       -0.0052967593
       -0.0023884785       -0.0015193271        0.0006032351
       -0.1187241292        0.1194745666       -0.0483871432
       -0.0002793732       -0.0008950818       -0.0006989322
        0.0233964486       -0.0126725257        0.0104133342
        0.0007735015        0.0003697621       -0.0003964895
        0.0009013749        0.0020624847        0.0001396906
       -0.0000578122       -0.0000733446       -0.0002059797
       -0.0007893256        0.0005919899       -0.0000474228
       -0.0001212306        0.0002235860        0.0001649159
       -0.0000191771       -0.0001001641        0.0000115087
       -0.0715245038        0.0439675555       -0.0755983218
        0.0100351331       -0.0057171538        0.0027148002
        0.0015055056        0.0011234775       -0.0001906932
        0.0752159040       -0.0483871530        0.0775819704
       -0.0257713735        0.0158809385       -0.0087376694
        0.0107101422       -0.0057893109        0.0033811701
       -0.0001676505       -0.0007828772        0.0004972183
       -0.0005149002       -0.0007767433       -0.0004327086
       -0.0002691494        0.0002822876       -0.0001865594
        0.0005774448       -0.0000474327        0.0006245210
       -0.0001534113        0.0002455847       -0.0000696820
        0.0003568590        0.0000008270        0.0004159544
       -0.0466366753       -0.0003414390        0.0048041233
       -0.0011582033       -0.0005475654        0.0302334811
        0.0021162170       -0.0001172787        0.0010061620
        0.0013297619       -0.0002793768       -0.0257714641
        0.0485180433        0.0020435596       -0.0079868665
       -0.0010680829        0.0002010612       -0.0011491347
       -0.0044958029       -0.0030459358        0.0018173503
        0.0012531803        0.0024586410       -0.0010333562
        0.0002697413       -0.0004454253       -0.0008475687
        0.0002865679        0.0000191755       -0.0003568742
       -0.0000586343        0.0000449172       -0.0000138088
       -0.0003561130        0.0000096665       -0.0007020436
        0.0004102157       -0.0468414163        0.0139826537
       -0.0005974103       -0.0017784564        0.0165317815
        0.0010578428       -0.0002551069       -0.0005806805
       -0.0015463737       -0.0008950819        0.0158809693
        0.0020435659        0.0461473185       -0.0160702841
        0.0006438605        0.0028472706       -0.0300396453
       -0.0028760698       -0.0008691264        0.0011161181
        0.0012548899        0.0017908831        0.0000137303
       -0.0004640935       -0.0003343192       -0.0004257826
        0.0001062684       -0.0001001708        0.0000008106
       -0.0000230396        0.0000019028       -0.0001176318
       -0.0000096563        0.0002863029       -0.0002920391
        0.0056563724        0.0137932480       -0.3088907927
