   14   33
        0.3642998502        0.0000000000        0.0000000000
        0.0154260999        0.0000000000        0.0000000000
        0.0101249199        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0418253698
        0.0480719399        0.0000000000        0.0000000000
       -0.0258463352        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0023419999        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.3531525303        0.0000102148
        0.0000000000        0.0176543949       -0.0000004351
        0.0000000000        0.0085209899        0.0000000098
        0.0000000000       -0.0000000151       -0.0004824203
       -0.0466817151       -0.0000002501        0.0000000000
        0.0000000000        0.0571984498       -0.0000000452
        0.0000000000        0.0103181848        0.0000001349
        0.0000000000        0.0000001548        0.0164667597
        0.0000000000       -0.0002932403       -0.0000002501
        0.0000000000       -0.0000000553       -0.0048544652
        0.0000000000        0.0000003199        0.0027188898
        0.0000000000        0.0000102148        0.3531525402
        0.0000000000       -0.0000004501        0.0176543898
        0.0000000000        0.0000000199        0.0085209800
        0.0000000000        0.0004826899       -0.0000000202
       -0.0000002503        0.0466854948        0.0000000000
        0.0000000000       -0.0000000351        0.0571984400
        0.0000000000        0.0000001199        0.0103181748
        0.0000000000       -0.0164669801        0.0000001698
        0.0000000000       -0.0000002352       -0.0002932602
        0.0000000000        0.0048540498       -0.0000000851
        0.0000000000       -0.0027188250        0.0000003300
        0.0154260999        0.0000000000        0.0000000000
        0.3637589700        0.0000000000        0.0000000000
       -0.0147167950        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0021475900
       -0.0105689450        0.0000000000        0.0000000000
        0.0017845200        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0015977550        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0176543949       -0.0000004501
        0.0000000000        0.3614722002        0.0000035649
        0.0000000000       -0.0158900951        0.0000036150
        0.0000000000        0.0000125050       -0.0002944851
       -0.0011500701       -0.0000008052        0.0000000000
        0.0000000000       -0.0158404102       -0.0000004449
        0.0000000000       -0.0011892001       -0.0000004451
        0.0000000000       -0.0000005700        0.0012765749
        0.0000000000       -0.0016559352       -0.0000004300
        0.0000000000       -0.0000005151        0.0004530249
        0.0000000000       -0.0000002501       -0.0001549850
        0.0000000000       -0.0000004351        0.0176543898
        0.0000000000        0.0000035649        0.3614721803
        0.0000000000        0.0000036299       -0.0158900801
        0.0000000000        0.0003024599        0.0000124997
       -0.0000007752        0.0011488949        0.0000000000
        0.0000000000       -0.0000004401       -0.0158404100
        0.0000000000       -0.0000004151       -0.0011892001
        0.0000000000       -0.0012774801       -0.0000005402
        0.0000000000       -0.0000004302       -0.0016559352
        0.0000000000       -0.0004539052       -0.0000004951
        0.0000000000        0.0001545249       -0.0000002201
        0.0101249199        0.0000000000        0.0000000000
       -0.0147167950        0.0000000000        0.0000000000
        0.3454358301        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0046960450
        0.0023675599        0.0000000000        0.0000000000
        0.0195389499        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0189848150        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0085209899        0.0000000199
        0.0000000000       -0.0158900951        0.0000036299
        0.0000000000        0.3436677201        0.0000062499
        0.0000000000        0.0000066450       -0.0002805102
        0.0024249499       -0.0000002650        0.0000000000
        0.0000000000       -0.0018327850        0.0000000800
        0.0000000000        0.0096010399        0.0000000898
        0.0000000000        0.0000000350       -0.0004525951
        0.0000000000       -0.0202942500        0.0000000648
        0.0000000000       -0.0000004501        0.0013147449
        0.0000000000        0.0000002849        0.0004891349
        0.0000000000        0.0000000098        0.0085209800
        0.0000000000        0.0000036150       -0.0158900801
        0.0000000000        0.0000062499        0.3436677400
        0.0000000000        0.0002852499        0.0000066299
       -0.0000002851       -0.0024250100        0.0000000000
        0.0000000000        0.0000000900       -0.0018328150
        0.0000000000        0.0000000800        0.0096010150
        0.0000000000        0.0004528600        0.0000000549
        0.0000000000        0.0000000699       -0.0202942500
        0.0000000000       -0.0013148650       -0.0000004599
        0.0000000000       -0.0004886199        0.0000002801
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3670013001        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0092911351        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0184042450        0.0000000000        0.0000000000
        0.0008025849        0.0000000000        0.0000000000
        0.0000000000       -0.0000000151        0.0004826899
        0.0000000000        0.0000125050        0.0003024599
        0.0000000000        0.0000066450        0.0002852499
        0.0000000000        0.3690771700        0.0000071749
       -0.0000001300       -0.0138557201        0.0000000000
        0.0000000000       -0.0000000151        0.0007053900
        0.0000000000        0.0000000600        0.0006765200
        0.0000000000        0.0137230700        0.0000000749
        0.0000000000       -0.0000003202       -0.0010116551
        0.0000000000       -0.0188447301        0.0000000500
        0.0000000000        0.0017416902        0.0000002800
        0.0000000000       -0.0004824203       -0.0000000202
        0.0000000000       -0.0002944851        0.0000124997
        0.0000000000       -0.0002805102        0.0000066299
        0.0000000000        0.0000071749        0.3690771803
       -0.0138557152       -0.0000001401        0.0000000000
        0.0000000000       -0.0007052301       -0.0000000351
        0.0000000000       -0.0006762501        0.0000000648
        0.0000000000        0.0000000648        0.0137230849
        0.0000000000        0.0010115998       -0.0000003402
