   14   33
        0.0355345202       -0.0000014751       -0.0000015052
       -0.0000014300       -0.0000015751       -0.0000015150
       -0.0000015150       -0.0000017801       -0.0011956901
        0.0143300700       -0.0000012651       -0.0000015001
       -0.0000018952       -0.0000012150       -0.0000012001
       -0.0000013500       -0.0577436751       -0.0000013152
       -0.0018265351       -0.0000031601       -0.0000012601
       -0.0000012302       -0.0000012851       -0.0000013550
       -0.0000013802       -0.0000014902       -0.0000013803
       -0.0003733300       -0.0000009751       -0.0000014300
        0.0131477098       -0.0000011102       -0.0000009950
       -0.0000014751        0.0590023902        0.0000000848
        0.0000001201        0.0037376648        0.0000002299
        0.0000000749       -0.0049251851        0.0000000600
        0.0000001599       -0.0103906251        0.0000001349
       -0.0208970201        0.0000004550        0.0743764498
        0.0000008050        0.0000006099        0.0000007049
        0.0000007049       -0.0154963450        0.0000009749
        0.0000002898        0.0064026499        0.0000002551
       -0.0221726302        0.0000001248        0.0000002399
       -0.0000000250       -0.0440360701        0.0000004499
        0.0000005299        0.0020398200        0.0000006550
       -0.0000015052        0.0000000848        0.0590022603
        0.0037378649        0.0000001799        0.0000003050
       -0.0049250551        0.0000000648        0.0000000699
        0.0000001349        0.0000001249       -0.0103907351
        0.0000004998        0.0208974899        0.0000008747
       -0.0743743051        0.0000004648        0.0000008598
        0.0000006749        0.0000010449        0.0154963148
       -0.0064025352        0.0000001098        0.0000002399
        0.0000000699        0.0221731597        0.0000002899
        0.0000000199        0.0000004248        0.0440373550
        0.0000005348       -0.0000000752       -0.0020391602
       -0.0000014300        0.0000001201        0.0037378649
        0.0591301000        0.0000001199        0.0000000752
        0.0011232150        0.0000000851        0.0000001100
        0.0000002851        0.0000000800        0.0023004050
        0.0000006649       -0.0788411400        0.0000011748
       -0.0357836100        0.0000010449        0.0000006649
        0.0000011001        0.0000006801       -0.0145331200
        0.0446423449        0.0000002051        0.0000001550
        0.0000002450       -0.0003056452        0.0000004449
        0.0000002402        0.0000001098       -0.0146927900
        0.0000001899        0.0000002751       -0.0113156901
       -0.0000015751        0.0037376648        0.0000001799
        0.0000001199        0.0591303802        0.0000001600
        0.0000000550        0.0011236800        0.0000000948
        0.0000001049        0.0023004500        0.0000000698
        0.0788436547        0.0000007499        0.0357843948
        0.0000011499        0.0000012400        0.0000007599
        0.0000010300        0.0145393599        0.0000006699
        0.0000004047       -0.0446413901        0.0000002599
        0.0003056849        0.0000002197        0.0000003648
        0.0000002899        0.0146928748        0.0000000000
        0.0000001499        0.0113162798        0.0000005399
       -0.0000015150        0.0000002299        0.0000003050
        0.0000000752        0.0000001600        0.0585861099
        0.0000000601        0.0000000951        0.0000001000
        0.0000001201        0.0000002400        0.0000002400
        0.0000005400        0.0000003800        0.0000012000
       -0.0000002399        0.0000007401        0.0943070100
        0.0000010100        0.0000010751        0.0000007451
        0.0000001850        0.0000000951        0.0486214252
        0.0000001850        0.0000001849        0.0069965799
        0.0000001000        0.0000004350        0.0000003800
        0.0000001499        0.0000000450        0.0000001251
       -0.0000015150        0.0000000749       -0.0049250551
        0.0011232150        0.0000000550        0.0000000601
        0.0516551100        0.0000002051        0.0000003651
        0.0000001199        0.0000003550        0.0433310900
        0.0000001299        0.0186188301        0.0000004650
       -0.0207764600        0.0000004700        0.0000001199
        0.0000005799        0.0000001999       -0.0516890398
       -0.0029168150        0.0000002100        0.0000004401
        0.0000003399       -0.0128444050        0.0000000149
        0.0000004850        0.0000003949       -0.0289091699
        0.0000015049       -0.0000001199       -0.0274337100
       -0.0000017801       -0.0049251851        0.0000000648
        0.0000000851        0.0011236800        0.0000000951
        0.0000002051        0.0516549201        0.0000005500
       -0.0000001550        0.0433309900        0.0000002699
       -0.0186182201       -0.0000000149        0.0207766448
        0.0000004650        0.0000002500        0.0000000949
        0.0000005249        0.0516900201        0.0000001650
        0.0000004650        0.0029179249        0.0000004151
        0.0128450399        0.0000002848        0.0000000549
        0.0000004900        0.0289109498        0.0000002001
        0.0000014549        0.0274342949        0.0000001249
       -0.0011956901        0.0000000600        0.0000000699
        0.0000001100        0.0000000948        0.0000001000
        0.0000003651        0.0000005500        0.0547192101
       -0.0112871150        0.0000012049        0.0000005748
       -0.0000000001        0.0000001150        0.0000003197
        0.0000003151        0.0151685549        0.0000003249
        0.0621753300        0.0000014249        0.0000005100
        0.0000005649        0.0000005450        0.0000005200
        0.0000004648        0.0000003999        0.0000000350
        0.0119772450        0.0000014499        0.0000006000
        0.0591343098       -0.0000002352        0.0000004599
        0.0143300700        0.0000001599        0.0000001349
        0.0000002851        0.0000001049        0.0000001201
        0.0000001199       -0.0000001550       -0.0112871150
        0.0791567501        0.0000000701        0.0000003499
       -0.0000000750        0.0000009899        0.0000008049
        0.0000005099       -0.0931815551        0.0000005450
        0.0002763448       -0.0000010201        0.0000009149
        0.0000005699        0.0000007500        0.0000003200
        0.0000002200        0.0000002598        0.0000001847
        0.0317836600        0.0000003999        0.0000005350
       -0.0460378401        0.0000009300        0.0000011200
       -0.0000012651       -0.0103906251        0.0000001249
        0.0000000800        0.0023004500        0.0000002400
        0.0000003550        0.0433309900        0.0000012049
        0.0000000701        0.1768029000        0.0000014350
       -0.0349857650        0.0000001701        0.0805819748
        0.0000008150        0.0000006101        0.0000006300
        0.0000008350       -0.0072844800        0.0000009351
        0.0000005649       -0.0214899150        0.0000003651
        0.0090700399        0.0000003199        0.0000000749
        0.0000008102        0.0892766400        0.0000006700
        0.0000077800        0.0384267101        0.0000003200
       -0.0000015001        0.0000001349       -0.0103907351
        0.0023004050        0.0000000698        0.0000002400
        0.0433310900        0.0000002699        0.0000005748
        0.0000003499        0.0000014350        0.1768029202
        0.0000002998        0.0349860949        0.0000007448
       -0.0805799149        0.0000004100        0.0000006148
        0.0000005950        0.0000008949        0.0072856550
        0.0214903449        0.0000002950        0.0000004550
