   12   30
        0.5014358948        0.0000141519        0.0000146372
        0.0000146510        0.0000222393        0.0000151138
        0.0092963640       -0.0000001116       -0.0000001175
       -0.0000001120       -0.0000002285        0.0000000720
        0.0000003432        0.0000015662        0.0000016500
       -0.0000263272        0.0000004580        0.0000000522
        0.0000000531        0.0000004786        0.0000005502
        0.0000007209        0.0000001401        0.0000001371
        0.0000001266       -0.0000001505        0.0000000360
        0.0000000661       -0.0000000720       -0.0000000568
        0.0000141519        0.2707341059        0.0000203747
       -0.0003911275        0.0000146204        0.0000143649
       -0.0000001384       -0.0000001829       -0.0001846027
       -0.0000001228       -0.0000001809       -0.0000004455
       -0.0000077497       -0.0000009543       -0.0000012210
       -0.0000027896        0.0339555027       -0.0000000905
        0.0003019971       -0.0000002943       -0.0000000293
       -0.0000005606       -0.0000001543       -0.0000001464
        0.0000000551        0.0000006240        0.0000002107
        0.0000002117        0.0000004883        0.0000004869
        0.0000146372        0.0000203747        0.4867951350
        0.0004750875        0.0000218537        0.0000038018
       -0.0000001623       -0.0003465469        0.0106346933
        0.0058563192       -0.0000026483       -0.0000022199
       -0.0002690402        0.0000015456        0.0000019038
        0.0000047042        0.0000007759        0.0108946378
       -0.0179003889       -0.0000010921       -0.0000023647
       -0.0000002838        0.0000266571        0.0000582530
       -0.0000005194       -0.0000014595       -0.0004481780
       -0.0004794239       -0.0001743238        0.0004130618
        0.0000146510       -0.0003911275        0.0004750875
        0.4867906520        0.0000072058        0.0000222357
       -0.0000001448       -0.0000001823       -0.0062475081
        0.0106666049        0.0000007894       -0.0000020525
        0.0000019044        0.0000054206        0.0000022833
        0.0000046688       -0.0002702376        0.0178876380
        0.0108984707       -0.0000024339        0.0000014191
       -0.0000003145        0.0000470907        0.0000229333
       -0.0000006062       -0.0000014893       -0.0004751273
       -0.0004459336        0.0004100505       -0.0001693270
        0.0000222393        0.0000146204        0.0000218537
        0.0000072058        0.4490530083       -0.0009087367
        0.0000000003       -0.0000001461       -0.0000001407
       -0.0000001330        0.0028433229        0.0048146541
       -0.0000004391        0.0275716742        0.0480207028
        0.0000046697        0.0000002868       -0.0000000577
       -0.0000000641        0.0350260308       -0.0202066123
       -0.0000005964       -0.0000005549        0.0000003341
        0.0000002287       -0.0000003728        0.0000000576
       -0.0000003230        0.0000000428       -0.0000001930
        0.0000151138        0.0000143649        0.0000038018
        0.0000222357       -0.0009087367        0.4499907939
       -0.0000001032       -0.0000001275       -0.0000000948
       -0.0000001619       -0.0059571484        0.0018522506
       -0.0000012584       -0.0493780517        0.0268838961
        0.0000042429        0.0000002892       -0.0000001991
        0.0000001225        0.0191288143        0.0347575620
       -0.0000010429       -0.0000018741       -0.0000002369
        0.0000000993       -0.0000004817       -0.0000004930
       -0.0000000944       -0.0000005012        0.0000001407
        0.0092963640       -0.0000001384       -0.0000001623
       -0.0000001448        0.0000000003       -0.0000001032
        0.3628559460        0.0000126481        0.0000126349
        0.0000126438        0.0000186381        0.0000126703
       -0.0000002146       -0.0000001805       -0.0000001656
       -0.0000198079        0.0000024542       -0.0000009642
       -0.0000009631       -0.0000009055       -0.0000010354
        0.0000017448       -0.0000000009        0.0000000033
       -0.0000005541       -0.0000012375       -0.0000000311
       -0.0000000172       -0.0000000614       -0.0000000519
       -0.0000001116       -0.0000001829       -0.0003465469
       -0.0000001823       -0.0000001461       -0.0000001275
        0.0000126481        0.3596421345        0.0000186564
       -0.0001527926        0.0000127216        0.0000127385
       -0.0335196238       -0.0000001374       -0.0000001361
        0.0000050743        0.0000008816       -0.0002884181
       -0.0000009319       -0.0000009373       -0.0000009480
        0.0000017413       -0.0000000423        0.0000000996
       -0.0000005865       -0.0000011370       -0.0000000284
       -0.0000000236        0.0000000361        0.0000000331
       -0.0000001175       -0.0001846027        0.0106346933
       -0.0062475081       -0.0000001407       -0.0000000948
        0.0000126349        0.0000186564        0.3613319481
        0.0004720364        0.0000190057        0.0000063862
       -0.0000001774       -0.0000001729       -0.0000002046
        0.0000032283       -0.0002951654       -0.0001582599
       -0.0001868331       -0.0000008022        0.0000003743
        0.0000017346       -0.0002503806       -0.0001819494
       -0.0000005680       -0.0000012093       -0.0000000053
       -0.0000000533       -0.0000000517        0.0000000098
       -0.0000001120       -0.0000001228        0.0058563192
        0.0106666049       -0.0000001330       -0.0000001619
        0.0000126438       -0.0001527926        0.0004720364
        0.3613319296        0.0000063589        0.0000189624
        0.0002796827       -0.0000001856       -0.0000001494
        0.0000033693        0.0000025518        0.0001876678
       -0.0001520101        0.0000002299       -0.0000009535
        0.0000017383       -0.0001694765       -0.0002430100
       -0.0000005595       -0.0000011941       -0.0000000659
        0.0000000043        0.0000000206       -0.0000000324
       -0.0000002285       -0.0000001809       -0.0000026483
        0.0000007894        0.0028433229       -0.0059571484
        0.0000186381        0.0000127216        0.0000190057
        0.0000063589        0.3600345926       -0.0009159530
       -0.0000001771       -0.0221305329       -0.0001999240
        0.0000036722        0.0000024653       -0.0000009412
        0.0000011421       -0.0007513196        0.0032841717
        0.0000011170       -0.0000009369       -0.0000000932
       -0.0000005890       -0.0000011605       -0.0000000436
       -0.0000000377        0.0000000125        0.0000000109
        0.0000000720       -0.0000004455       -0.0000022199
       -0.0000020525        0.0048146541        0.0018522506
        0.0000126703        0.0000127385        0.0000063862
        0.0000189624       -0.0009159530        0.3609745895
       -0.0000009918       -0.0000546626       -0.0226005058
        0.0000013779        0.0000024528       -0.0000012353
       -0.0000017951       -0.0037951459       -0.0009325375
        0.0000006837       -0.0000016648       -0.0000010144
       -0.0000007179       -0.0000012672       -0.0000020462
       -0.0000009263       -0.0000034198       -0.0000021187
        0.0000003432       -0.0000077497       -0.0002690402
        0.0000019044       -0.0000004391       -0.0000012584
       -0.0000002146       -0.0335196238       -0.0000001774
        0.0002796827       -0.0000001771       -0.0000009918
        0.2940252324        0.0000022004        0.0000013773
       -0.0000051705       -0.0000019214       -0.0004661585
       -0.0000002112       -0.0000012106       -0.0000003926
       -0.0000000442        0.0000001660        0.0000003060
       -0.0000012562       -0.0000009652       -0.0000002433
       -0.0000002247        0.0000003713        0.0000003793
        0.0000015662       -0.0000009543        0.0000015456
        0.0000054206        0.0275716742       -0.0493780517
       -0.0000001805       -0.0000001374       -0.0000001729
       -0.0000001856       -0.0221305329       -0.0000546626
        0.0000022004        0.2921702810       -0.0009177096
        0.0000053026       -0.0000000072       -0.0000003183
       -0.0000003881       -0.0007180392       -0.0339316946
        0.0000000482       -0.0000001856        0.0000012257
       -0.0000005384       -0.0000009105       -0.0000003159
       -0.0000000081        0.0000004391        0.0000000094
        0.0000016500       -0.0000012210        0.0000019038
        0.0000022833        0.0480207028        0.0268838961
       -0.0000001656       -0.0000001361       -0.0000002046
       -0.0000001494       -0.0001999240       -0.0226005058
        0.0000013773       -0.0009177096        0.2931069389
        0.0000050140       -0.0000000172       -0.0000003512
       -0.0000003990        0.0334623252       -0.0007532056
       -0.0000003968       -0.0000007439       -0.0000001280
       -0.0000006838       -0.0000010462       -0.0000003054
       -0.0000004113       -0.0000001782        0.0000002441
       -0.0000263272       -0.0000027896        0.0000047042
        0.0000046688        0.0000046697        0.0000042429
       -0.0000198079        0.0000050743        0.0000032283
        0.0000033693        0.0000036722        0.0000013779
       -0.0000051705        0.0000053026        0.0000050140
        0.1192535152        0.0000031581        0.0000016709
        0.0000016681       -0.0000047589        0.0000020661
       -0.0000270050        0.0000046050        0.0000046622
        0.0000019408        0.0000015457        0.0000057069
        0.0000057290        0.0000057986        0.0000058090
        0.0000004580        0.0339555027        0.0000007759
       -0.0002702376        0.0000002868        0.0000002892
        0.0000024542        0.0000008816       -0.0002951654
        0.0000025518        0.0000024653        0.0000024528
       -0.0000019214       -0.0000000072       -0.0000000172
        0.0000031581        0.1122831262       -0.0000009200
        0.0002491871       -0.0000000969       -0.0000000927
        0.0000000493       -0.0000008694       -0.0000008821
       -0.0000001967       -0.0000012773        0.0000003133
        0.0000003226       -0.0000000490       -0.0000000399
        0.0000000522       -0.0000000905        0.0108946378
        0.0178876380       -0.0000000577       -0.0000001991
       -0.0000009642       -0.0002884181       -0.0001582599
        0.0001876678       -0.0000009412       -0.0000012353
       -0.0004661585       -0.0000003183       -0.0000003512
        0.0000016709       -0.0000009200        0.1267020738
        0.0004685704       -0.0000031299       -0.0000010985
       -0.0000011207        0.0002721447       -0.0000656804
       -0.0000005565       -0.0000011913        0.0000002588
       -0.0000002714        0.0000003639       -0.0000004931
        0.0000000531        0.0003019971       -0.0179003889
        0.0108984707       -0.0000000641        0.0000001225
       -0.0000009631       -0.0000009319       -0.0001868331
       -0.0001520101        0.0000011421       -0.0000017951
       -0.0000002112       -0.0000003881       -0.0000003990
        0.0000016681        0.0002491871        0.0004685704
        0.1267022029       -0.0000004248       -0.0000012965
        0.0000001860       -0.0000755422        0.0002890583
       -0.0000005616       -0.0000012056       -0.0000002784
        0.0000002559       -0.0000005039        0.0000003736
        0.0000004786       -0.0000002943       -0.0000010921
       -0.0000024339        0.0350260308        0.0191288143
       -0.0000009055       -0.0000009373       -0.0000008022
        0.0000002299       -0.0007513196       -0.0037951459
       -0.0000012106       -0.0007180392        0.0334623252
       -0.0000047589       -0.0000000969       -0.0000031299
       -0.0000004248        0.1228268781       -0.0009223679
       -0.0000016031       -0.0000020979       -0.0000024508
       -0.0000006322       -0.0000015109       -0.0000018066
        0.0000002980       -0.0000032195        0.0000000388
        0.0000005502       -0.0000000293       -0.0000023647
        0.0000014191       -0.0202066123        0.0347575620
       -0.0000010354       -0.0000009480        0.0000003743
       -0.0000009535        0.0032841717       -0.0009325375
       -0.0000003926       -0.0339316946       -0.0007532056
        0.0000020661       -0.0000000927       -0.0000010985
       -0.0000012965       -0.0009223679        0.1218882778
        0.0000001079       -0.0000018099       -0.0000009572
       -0.0000005059       -0.0000013927       -0.0000003671
        0.0000003749       -0.0000004850        0.0000000583
        0.0000007209       -0.0000005606       -0.0000002838
       -0.0000003145       -0.0000005964       -0.0000010429
        0.0000017448        0.0000017413        0.0000017346
        0.0000017383        0.0000011170        0.0000006837
       -0.0000000442        0.0000000482       -0.0000003968
       -0.0000270050        0.0000000493       -0.0000011207
        0.0000001860       -0.0000016031        0.0000001079
        0.0952347884        0.0000001033        0.0000001526
       -0.0000010006       -0.0925089535       -0.0000000790
        0.0001020881       -0.0000002348       -0.0000002127
        0.0000001401       -0.0000001543        0.0000266571
        0.0000470907       -0.0000005549       -0.0000018741
       -0.0000000009       -0.0000000423       -0.0002503806
       -0.0001694765       -0.0000009369       -0.0000016648
        0.0000001660       -0.0000001856       -0.0000007439
        0.0000046050       -0.0000008694        0.0002721447
       -0.0000755422       -0.0000020979       -0.0000018099
        0.0000001033        0.0765412929        0.0004685674
       -0.0000008038       -0.0000014730        0.0002884383
       -0.0000841156       -0.0313555681        0.0544246987
        0.0000001371       -0.0000001464        0.0000582530
        0.0000229333        0.0000003341       -0.0000002369
        0.0000000033        0.0000000996       -0.0001819494
       -0.0002430100       -0.0000000932       -0.0000010144
        0.0000003060        0.0000012257       -0.0000001280
        0.0000046622       -0.0000008821       -0.0000656804
        0.0002890583       -0.0000024508       -0.0000009572
        0.0000001526        0.0004685674        0.0765401035
       -0.0003646664       -0.0000014148       -0.0000742300
        0.0003045203       -0.0540278205       -0.0313556964
        0.0000001266        0.0000000551       -0.0000005194
       -0.0000006062        0.0000002287        0.0000000993
       -0.0000005541       -0.0000005865       -0.0000005680
       -0.0000005595       -0.0000005890       -0.0000007179
       -0.0000012562       -0.0000005384       -0.0000006838
        0.0000019408       -0.0000001967       -0.0000005565
       -0.0000005616       -0.0000006322       -0.0000005059
       -0.0000010006       -0.0000008038       -0.0003646664
        0.0715508961       -0.0000015858       -0.0000005035
       -0.0000005015       -0.0000004943        0.0003786644
       -0.0000001505        0.0000006240       -0.0000014595
       -0.0000014893       -0.0000003728       -0.0000004817
       -0.0000012375       -0.0000011370       -0.0000012093
       -0.0000011941       -0.0000011605       -0.0000012672
       -0.0000009652       -0.0000009105       -0.0000010462
        0.0000015457       -0.0000012773       -0.0000011913
       -0.0000012056       -0.0000015109       -0.0000013927
       -0.0925089535       -0.0000014730       -0.0000014148
       -0.0000015858        0.1475609321       -0.0000014130
       -0.0003531241       -0.0000003733       -0.0000003773
        0.0000000360        0.0000002107       -0.0004481780
       -0.0004751273        0.0000000576       -0.0000004930
       -0.0000000311       -0.0000000284       -0.0000000053
       -0.0000000659       -0.0000000436       -0.0000020462
       -0.0000002433       -0.0000003159       -0.0000003054
        0.0000057069        0.0000003133        0.0000002588
       -0.0000002784       -0.0000018066       -0.0000003671
       -0.0000000790        0.0002884383       -0.0000742300
       -0.0000005035       -0.0000014130        0.0954850887
        0.0004698359        0.0000003594        0.0000000024
        0.0000000661        0.0000002117       -0.0004794239
       -0.0004459336       -0.0000003230       -0.0000000944
       -0.0000000172       -0.0000000236       -0.0000000533
        0.0000000043       -0.0000000377       -0.0000009263
       -0.0000002247       -0.0000000081       -0.0000004113
        0.0000057290        0.0000003226       -0.0000002714
        0.0000002559        0.0000002980        0.0000003749
        0.0001020881       -0.0000841156        0.0003045203
       -0.0000005015       -0.0003531241        0.0004698359
        0.0954853169        0.0000000226        0.0000003831
       -0.0000000720        0.0000004883       -0.0001743238
        0.0004100505        0.0000000428       -0.0000005012
       -0.0000000614        0.0000000361       -0.0000000517
        0.0000000206        0.0000000125       -0.0000034198
        0.0000003713        0.0000004391       -0.0000001782
        0.0000057986       -0.0000000490        0.0000003639
       -0.0000005039       -0.0000032195       -0.0000004850
       -0.0000002348       -0.0313555681       -0.0540278205
       -0.0000004943       -0.0000003733        0.0000003594
        0.0000000226        0.1179063170        0.0004702322
       -0.0000000568        0.0000004869        0.0004130618
       -0.0001693270       -0.0000001930        0.0000001407
       -0.0000000519        0.0000000331        0.0000000098
       -0.0000000324        0.0000000109       -0.0000021187
        0.0000003793        0.0000000094        0.0000002441
        0.0000058090       -0.0000000399       -0.0000004931
        0.0000003736        0.0000000388        0.0000000583
       -0.0000002127        0.0544246987       -0.0313556964
        0.0003786644       -0.0000003773        0.0000000024
        0.0000003831        0.0004702322        0.1179064722
