   12   30
        0.0096486951        0.0000000556        0.0000000475
       -0.0000000324        0.0002940804        0.0000000698
        0.0000000162        0.0000001090        0.0000000512
        0.0000000536        0.0000000446        0.0000000237
        0.0000000685        0.0000068034       -0.0000000560
        0.0000000686        0.0000000423        0.0000000323
        0.0043248988        0.0000000610        0.0000000766
        0.0000000411        0.0000000408       -0.0000000237
        0.0000000477        0.0000001008        0.0000001047
        0.0000000639        0.0000002265        0.0000002288
        0.0000000556        0.0098550012        0.0004598459
        0.0000000296        0.0000000709        0.0000827151
        0.0000001019        0.0000002174        0.0000001162
        0.0000000725        0.0000000527        0.0000245073
        0.0000001327        0.0000140399        0.0000000337
        0.0000000689        0.0000000496        0.0000000419
        0.0000000450        0.0015939132       -0.0002468353
        0.0000000387        0.0000000422       -0.0000000804
        0.0000000858        0.0000001684        0.0000001813
        0.0000000948        0.0000002309        0.0000000084
        0.0000000475        0.0004598459        0.0098551075
        0.0000000512        0.0000000612       -0.0000867327
        0.0000001457        0.0000002150        0.0000000568
        0.0000001391        0.0000000553        0.0000000912
        0.0000001350        0.0000140705       -0.0000001330
        0.0000001624        0.0000000259        0.0000000782
        0.0000000523       -0.0002608071       -0.0015938926
        0.0000000482        0.0000000632        0.0000000665
        0.0000001000        0.0000001715        0.0000001145
        0.0000001451        0.0000000047        0.0000002365
       -0.0000000324        0.0000000296        0.0000000512
        0.0119356315        0.0004590807       -0.0000827093
        0.0000002547        0.0000001518        0.0000001558
        0.0000000129        0.0000000196        0.0000000600
        0.0000000776        0.0000140625       -0.0000001000
        0.0000002791       -0.0000000222        0.0000001080
        0.0000000021        0.0000000111        0.0000000723
       -0.0000000234        0.0000001653        0.0000001006
        0.0000000445        0.0000001734        0.0000002328
        0.0000000364        0.0000000125        0.0000001502
        0.0002940804        0.0000000709        0.0000000612
        0.0004590807        0.0119356372        0.0000789042
        0.0000000773        0.0000001783        0.0000000379
        0.0000001802        0.0000000428        0.0000000927
        0.0000000898        0.0000140197        0.0000001648
        0.0000000668        0.0000001073       -0.0000000017
        0.0000539845        0.0000000681        0.0000000419
       -0.0000000088        0.0000001955        0.0000000122
        0.0000000804        0.0000001991        0.0000002071
        0.0000001231        0.0000001697        0.0000000411
        0.0000000698        0.0000827151       -0.0000867327
       -0.0000827093        0.0000789042        0.2582767371
       -0.0000859553        0.0000005647       -0.0003251141
        0.0002659185        0.0000050183        0.0000001347
        0.0000055344        0.0000556952       -0.0117405590
       -0.0000082059        0.0001582912       -0.0004188126
        0.0000000871       -0.0003126306        0.0002559857
        0.0000009273        0.0000009251       -0.0053359544
       -0.0000034477        0.0000119114       -0.1219473462
        0.0000067172        0.0000079579       -0.0002788578
        0.0000000162        0.0000001019        0.0000001457
        0.0000002547        0.0000000773       -0.0000859553
        0.2582937887        0.0000009138        0.0000018179
        0.0000032470        0.0000049174        0.0000002785
        0.0000036042        0.0000130282       -0.0000449522
        0.0117570919        0.0000010236        0.0000025769
        0.0000001934        0.0000003426        0.0000004547
