   14   36
        0.0379883340        0.0000017182       -0.0000013195
        0.0000005078        0.0000028298        0.0000018464
        0.0000002026        0.0000021703       -0.0025369671
        0.0000012520        0.0000002780        0.0077926538
        0.0000003124        0.0000001623        0.0369949646
        0.0000006871        0.0000004449        0.0000094114
        0.0000008457        0.0000004084       -0.0015280328
        0.0000012021        0.0000010370       -0.0498569598
        0.0000010391        0.0000001198        0.0000010026
        0.0000030739       -0.0000010277        0.0000002034
       -0.0091657139       -0.0000003064        0.0000017600
        0.0169626492       -0.0000002288        0.0000009990
        0.0000017182        0.0383992634       -0.0003752351
       -0.0000338034       -0.0016611324        0.0000025381
        0.0055599391       -0.0000141196        0.0000002424
       -0.0002346493       -0.0057587729        0.0000017809
        0.0000999425        0.0387409059        0.0000005859
        0.0000971325        0.0163812113        0.0000084083
        0.0254034113       -0.0001256394       -0.0000011771
       -0.0001265236        0.0124809154        0.0000009473
        0.0000028255       -0.0050940483        0.0001138767
        0.0000025119        0.0077186296       -0.0001381923
       -0.0000013188       -0.0351074809       -0.0002018987
       -0.0000014096       -0.0119716181       -0.0001737550
       -0.0000013195       -0.0003752351        0.0381982363
       -0.0015637281       -0.0001610049        0.0000053336
       -0.0001528667       -0.0054564350       -0.0000026134
        0.0058624097        0.0000153220       -0.0000001182
        0.0388251540       -0.0001503373       -0.0000006975
       -0.0162820974        0.0000018316        0.0000050842
        0.0001122461        0.0255112151       -0.0000024869
       -0.0123812552       -0.0002238573       -0.0000006682
        0.0000003078       -0.0001150885       -0.0049969059
        0.0000023451       -0.0002313257        0.0078147805
       -0.0000011431       -0.0000777693       -0.0350066067
       -0.0000024482       -0.0000690376        0.0120713018
        0.0000005078       -0.0000338034       -0.0015637281
        0.0497980855       -0.0003820527        0.0000029917
       -0.0001207637       -0.0011295889        0.0000007887
       -0.0019847892       -0.0002004367        0.0000017961
        0.0143131089       -0.0001207468        0.0000000999
        0.0751065870       -0.0002399319        0.0000115503
       -0.0003635543        0.0196763567        0.0000000104
       -0.0026918002       -0.0002060345        0.0000016607
        0.0000033704       -0.0003010406       -0.0422147400
        0.0000043086       -0.0001973753        0.0017451725
       -0.0000011768        0.0001024911       -0.0002589061
        0.0000007719       -0.0001399668        0.0020141630
        0.0000028298       -0.0016611324       -0.0001610049
       -0.0003820527        0.0499899610        0.0000060770
        0.0012307514       -0.0000156054        0.0000013058
       -0.0002929697        0.0020700877        0.0000044157
        0.0000425310        0.0142146567        0.0000030514
       -0.0001256807       -0.0750055106        0.0000103178
        0.0195770880       -0.0003793440        0.0000019122
       -0.0001056955        0.0027907979        0.0000019067
        0.0000009219       -0.0423111872       -0.0002070117
        0.0000048399        0.0016501991       -0.0000968575
        0.0000026007       -0.0003540198       -0.0000936316
       -0.0000005812       -0.0019162967       -0.0002417224
        0.0000018464        0.0000025381        0.0000053336
        0.0000029917        0.0000060770        0.0486823993
        0.0000014411        0.0000060014       -0.0000003810
        0.0000061335        0.0000041206       -0.0000037281
        0.0000072995       -0.0000005726        0.0000011882
        0.0000036931        0.0000031362       -0.0799469169
       -0.0000040620        0.0000134769        0.0000012005
        0.0000045463        0.0000042941       -0.0000012501
        0.0316954299        0.0000024308        0.0000032550
        0.0357030582        0.0000017830        0.0000026562
        0.0000006258        0.0000054290        0.0000054997
        0.0000023421        0.0000039284        0.0000054095
        0.0000002026        0.0055599391       -0.0001528667
       -0.0001207637        0.0012307514        0.0000014411
        0.0490725918       -0.0003809269        0.0000007971
       -0.0001049146        0.0140038003        0.0000008599
       -0.0001927883        0.0001552991       -0.0000000125
       -0.0003016407       -0.0090093970        0.0000067183
       -0.0421347130        0.0000324101        0.0000006543
       -0.0000972393        0.0480446086       -0.0000002332
        0.0000010196       -0.0039217562        0.0000433923
        0.0000025270        0.0004597266       -0.0000994559
        0.0000002980       -0.0321411653       -0.0001401609
        0.0000000071       -0.0211561989       -0.0002459338
        0.0000021703       -0.0000141196       -0.0054564350
       -0.0011295889       -0.0000156054        0.0000060014
       -0.0003809269        0.0488716509        0.0000044609
        0.0141060438        0.0001214865        0.0000051971
       -0.0000475897       -0.0002917515        0.0000031611
       -0.0089086312       -0.0001991889        0.0000121557
       -0.0001258910        0.0422450331        0.0000029917
        0.0481438609        0.0000951579        0.0000028201
        0.0000046875       -0.0002062825        0.0039650885
        0.0000081390        0.0000982496       -0.0003578036
        0.0000020948       -0.0003404510        0.0322447171
        0.0000038337       -0.0001336389       -0.0210542632
       -0.0025369671        0.0000002424       -0.0000026134
        0.0000007887        0.0000013058       -0.0000003810
        0.0000007971        0.0000044609        0.0494703272
        0.0000009132        0.0000012027       -0.0111590502
        0.0000010439        0.0000003870        0.0105886873
        0.0000032597        0.0000019784        0.0000085399
        0.0000027026        0.0000031989        0.0587568128
        0.0000019310        0.0000008710       -0.0027971441
       -0.0000061057       -0.0000005835        0.0000009781
        0.0000042301        0.0000014238        0.0000014340
       -0.0079183221        0.0000005906        0.0000031616
       -0.0478787338        0.0000017873        0.0000022075
        0.0000012520       -0.0002346493        0.0058624097
       -0.0019847892       -0.0002929697        0.0000061335
       -0.0001049146        0.0141060438        0.0000009132
        0.0524178472       -0.0003790777        0.0000008257
        0.0253763417       -0.0002676083        0.0000004857
       -0.0199663862       -0.0001863228        0.0000071749
        0.0000442178        0.0727733899       -0.0000022425
       -0.0238254634       -0.0002813557        0.0000008437
        0.0000006239       -0.0002871526        0.0033214677
        0.0000034805       -0.0002795797        0.0165366177
       -0.0000016361       -0.0001473950        0.0184122386
       -0.0000014388       -0.0000422719       -0.0193193533
        0.0000002780       -0.0057587729        0.0000153220
       -0.0002004367        0.0020700877        0.0000041206
        0.0140038003        0.0001214865        0.0000012027
       -0.0003790777        0.0526166588        0.0000017303
       -0.0000236676       -0.0252786572       -0.0000008134
       -0.0000864966       -0.0200636474        0.0000103191
       -0.0726658298       -0.0001099217       -0.0000007478
       -0.0001854038       -0.0239262455       -0.0000003421
        0.0000006357       -0.0032260220       -0.0000487557
        0.0000026948       -0.0164392689       -0.0001811109
       -0.0000018295       -0.0183118338       -0.0002552962
       -0.0000006978       -0.0194203332       -0.0001454762
        0.0077926538        0.0000017809       -0.0000001182
        0.0000017961        0.0000044157       -0.0000037281
        0.0000008599        0.0000051971       -0.0111590502
        0.0000008257        0.0000017303        0.1133027794
        0.0000031896        0.0000029156       -0.1059800707
        0.0000031866        0.0000047793        0.0000103140
        0.0000049215        0.0000027487        0.0066364396
        0.0000041469        0.0000049133       -0.0511934711
        0.0000013486        0.0000018485        0.0000016628
        0.0000049553        0.0000007671       -0.0000005255
       -0.0491234202        0.0000045017        0.0000053767
        0.0291117986        0.0000000739        0.0000016341
        0.0000003124        0.0000999425        0.0388251540
        0.0143131089        0.0000425310        0.0000072995
       -0.0001927883       -0.0000475897        0.0000010439
        0.0253763417       -0.0000236676        0.0000031896
        0.1254384281       -0.0003733480        0.0000028223
        0.0040588689       -0.0001555439        0.0000053730
       -0.0000705104        0.1044429023        0.0000025383
       -0.0347063971       -0.0001921680        0.0000023172
       -0.0000499270       -0.0001673581       -0.0354388389
       -0.0000467845       -0.0001929617        0.0033705545
        0.0000017650        0.0000494215       -0.0538076034
       -0.0000005288        0.0000927567        0.0111539329
        0.0000001623        0.0387409059       -0.0001503373
       -0.0001207468        0.0142146567       -0.0000005726
        0.0001552991       -0.0002917515        0.0000003870
       -0.0002676083       -0.0252786572        0.0000029156
       -0.0003733480        0.1256399622        0.0000026073
       -0.0002637164       -0.0039532250        0.0000109195
        0.1043323643        0.0000381182        0.0000030209
       -0.0002955881        0.0348133850        0.0000006649
       -0.0000287203       -0.0355417056       -0.0002706915
       -0.0000222046        0.0032710911       -0.0002992188
        0.0000007741       -0.0539060366       -0.0000514088
       -0.0000008508       -0.0110544246       -0.0000081506
        0.0369949646        0.0000005859       -0.0000006975
        0.0000000999        0.0000030514        0.0000011882
       -0.0000000125        0.0000031611        0.0105886873
        0.0000004857       -0.0000008134       -0.1059800707
        0.0000028223        0.0000026073        0.2708941889
        0.0000019782        0.0000040154        0.0000066143
        0.0000032541        0.0000048387       -0.0022786305
        0.0000036810        0.0000063676       -0.0329952957
       -0.0000111798        0.0000008872        0.0000023907
       -0.0000073956        0.0000007721        0.0000005232
        0.0257796711        0.0000016222        0.0000013394
        0.0120550902        0.0000000085        0.0000009685
        0.0000006871        0.0000971325       -0.0162820974
        0.0751065870       -0.0001256807        0.0000036931
       -0.0003016407       -0.0089086312        0.0000032597
       -0.0199663862       -0.0000864966        0.0000031866
