   14   42
        0.0570915117        0.0000001084        0.0000010413
       -0.0475164469       -0.0000007245       -0.0000009039
       -0.0000905153        0.0000001640       -0.0000002536
       -0.0027560944       -0.0015393276       -0.0298000619
       -0.0027563490        0.0015387779        0.0298006006
        0.0006808597        0.0000000962       -0.0000006243
        0.0001320776       -0.0002034885       -0.0003821446
        0.0001328393        0.0002039446        0.0003825284
       -0.0045441585       -0.0030162172       -0.0021389391
        0.0011003968        0.0002217229        0.0007665231
        0.0009847126        0.0008290649        0.0003845017
       -0.0045443186        0.0030165355        0.0021390831
        0.0009852044       -0.0008290480       -0.0003846742
        0.0011002807       -0.0002216087       -0.0007666767
        0.0000001084        0.0570915119        0.0000004300
        0.0000004239       -0.0475178393       -0.0000005026
        0.0000001420       -0.0036442248        0.0344110937
       -0.0015386514       -0.0009789909       -0.0172034233
        0.0015385435       -0.0009791356       -0.0172059141
        0.0000001039       -0.0062858281        0.0024688436
        0.0003362601        0.0013462225       -0.0006647042
       -0.0003365634        0.0013462921       -0.0006645302
       -0.0030164063       -0.0010609932       -0.0012354990
        0.0007623460        0.0003781982        0.0000001608
        0.0002884442        0.0004936425        0.0006636190
        0.0030168411       -0.0010613135       -0.0012339939
       -0.0002888953        0.0004936128        0.0006633204
       -0.0007626968        0.0003788454        0.0000010999
        0.0000010413        0.0000004300        0.3206333864
        0.0000055691        0.0000017464       -0.2936108906
        0.0000017917        0.0013752002       -0.0111387440
       -0.0012013613       -0.0006903013       -0.0111422161
        0.0011973995       -0.0006815896       -0.0111402705
       -0.0000011181        0.0022365664        0.0010409475
       -0.0004994067        0.0002994642        0.0005462759
        0.0004994327        0.0003017762        0.0005456915
       -0.0019401785       -0.0011191576        0.0010407131
       -0.0000122926       -0.0005854804        0.0005445427
       -0.0005109516        0.0002848766        0.0005465002
        0.0019390382       -0.0011210980        0.0010403766
        0.0005106187        0.0002849857        0.0005463027
        0.0000104177       -0.0005874189        0.0005473845
       -0.0475164469        0.0000004239        0.0000055691
        0.4698390736        0.0000046915        0.0000034130
       -0.0772660870        0.0000045891       -0.0000002027
       -0.1472295713       -0.0403965451       -0.0290970760
       -0.1472226278        0.0403901644        0.0290943503
       -0.0010663440       -0.0000005651       -0.0000031696
       -0.0005409748        0.0260600355       -0.0098064595
       -0.0005370128       -0.0260574163        0.0098089808
       -0.0020009010       -0.0005398102       -0.0007972444
       -0.0003343614        0.0012787793        0.0001114001
       -0.0218967455       -0.0134912321       -0.0096960215
       -0.0020024458        0.0005378627        0.0007859060
       -0.0218891003        0.0134983541        0.0096996318
       -0.0003364549       -0.0012893318       -0.0001090774
       -0.0000007245       -0.0475178393        0.0000017464
        0.0000046915        0.4698338275       -0.0000008967
       -0.0000000455       -0.1705450736        0.0335930126
       -0.0403939554       -0.1005886081       -0.0167916921
        0.0403919065       -0.1005845843       -0.0167959812
        0.0000008550       -0.0023085726        0.0009088521
       -0.0011688861       -0.0146369580        0.0055371480
        0.0011688807       -0.0146385083        0.0055366050
       -0.0005388012       -0.0013772910       -0.0004603737
       -0.0259397838       -0.0148449971       -0.0112616550
        0.0137275801        0.0067157030        0.0057258931
        0.0005371607       -0.0013771845       -0.0004569032
       -0.0137289008        0.0067156405        0.0057264397
        0.0259400228       -0.0148455540       -0.0112621951
       -0.0000009039       -0.0000005026       -0.2936108906
        0.0000034130       -0.0000008967        0.5863003204
       -0.0000001504        0.0316046071       -0.0913668959
       -0.0273702021       -0.0158026342       -0.0913730766
        0.0273711640       -0.0158033816       -0.0913644547
       -0.0000000322        0.0336618099       -0.0121643188
       -0.0006126476       -0.0124074665        0.0029849539
        0.0006121275       -0.0124082857        0.0029835822
       -0.0291527215       -0.0168314528       -0.0121629474
        0.0110527546        0.0056743104        0.0029870580
        0.0104385567        0.0067344371        0.0029841683
        0.0291518089       -0.0168294389       -0.0121629736
       -0.0104416135        0.0067333631        0.0029828240
       -0.0110515534        0.0056755314        0.0029826508
       -0.0000905153        0.0000001420        0.0000017917
