   14   36
        0.3319334004        0.0117692647        0.0000000000
        0.0000000000        0.0010989898        0.0000000000
        0.0000000000       -0.0026431002        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0211834953        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0035441403        0.0000000000        0.0000000000
       -0.0010519304        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0089193196        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0117692647        0.3252452001        0.0000000000
        0.0000000000        0.0090714400        0.0000000000
        0.0000000000        0.0018706901        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0336237599        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0388993452        0.0000000000        0.0000000000
        0.0005887499        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0070283801        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.2939812902
        0.0000049499        0.0000000000        0.0080637949
       -0.0000007751        0.0000000000        0.0003332950
       -0.0000001153        0.0000000000       -0.0000001201
       -0.0010183601        0.0000000000       -0.0445455701
       -0.0000038651        0.0360071950       -0.0000037201
        0.0000000000       -0.0367631750        0.0000000300
        0.0000000000       -0.0004035351       -0.0000022401
        0.0000000000       -0.0000024302        0.0010969251
        0.0000000000        0.0057036199       -0.0000022501
        0.0000000000       -0.0000022250        0.0117752948
        0.0000000000       -0.0000010051        0.0002653350
        0.0000000000        0.0000000000        0.0000049499
        0.2939822602        0.0000000000       -0.0000007802
        0.0080637949        0.0000000000       -0.0000001000
        0.0003332899        0.0000000000        0.0010192097
        0.0000000550        0.0000000000       -0.0000042401
        0.0445412749       -0.0000036900        0.0360071398
        0.0000000000        0.0000000200       -0.0367629950
        0.0000000000       -0.0000022401       -0.0004035051
        0.0000000000       -0.0011018203       -0.0000024150
        0.0000000000       -0.0000023000        0.0057034349
        0.0000000000       -0.0117795301       -0.0000018552
        0.0000000000       -0.0002764952       -0.0000009551
        0.0010989898        0.0090714400        0.0000000000
        0.0000000000        0.3517411702        0.0000000000
        0.0000000000       -0.0017437600        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0013710250        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0147616149        0.0000000000        0.0000000000
       -0.0000283052        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0007299602        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0080637949
       -0.0000007802        0.0000000000        0.3496443003
        0.0000048350        0.0000000000       -0.0019351751
        0.0000024198        0.0000000000        0.0000117198
       -0.0003731250        0.0000000000       -0.0006220002
       -0.0000006101        0.0035207700       -0.0000007752
        0.0000000000        0.0177211649       -0.0000007149
        0.0000000000       -0.0002659802       -0.0000007351
        0.0000000000       -0.0000007502        0.0001294798
        0.0000000000        0.0008370847       -0.0000008052
        0.0000000000       -0.0000009501        0.0018814798
        0.0000000000       -0.0000008602        0.0000400247
        0.0000000000        0.0000000000       -0.0000007751
        0.0080637949        0.0000000000        0.0000048350
        0.3496455201        0.0000000000        0.0000024899
       -0.0019361403        0.0000000000        0.0003809450
        0.0000107751        0.0000000000       -0.0000009901
        0.0006204000       -0.0000007500        0.0035207700
        0.0000000000       -0.0000007050        0.0177211651
        0.0000000000       -0.0000006901       -0.0002659600
        0.0000000000       -0.0001309452       -0.0000006250
        0.0000000000       -0.0000007601        0.0008370948
        0.0000000000       -0.0018830600       -0.0000008052
        0.0000000000       -0.0000417151       -0.0000008552
       -0.0026431002        0.0018706901        0.0000000000
        0.0000000000       -0.0017437600        0.0000000000
        0.0000000000        0.3392829100        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0176916299        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0007288151        0.0000000000        0.0000000000
       -0.0188551850        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0177732899        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0003332950
       -0.0000001000        0.0000000000       -0.0019351751
        0.0000024899        0.0000000000        0.3363458302
        0.0000066747        0.0000000000        0.0000058600
        0.0001822499        0.0000000000        0.0033888949
       -0.0000004451        0.0057955199       -0.0000001951
        0.0000000000        0.0002857300        0.0000000149
        0.0000000000       -0.0202038251       -0.0000001602
        0.0000000000       -0.0000005102       -0.0007742001
        0.0000000000        0.0138598398       -0.0000001602
        0.0000000000       -0.0000000850       -0.0008027851
        0.0000000000       -0.0000007901        0.0007490100
        0.0000000000        0.0000000000       -0.0000001153
        0.0003332899        0.0000000000        0.0000024198
       -0.0019361403        0.0000000000        0.0000066747
        0.3363464404        0.0000000000       -0.0001783003
        0.0000065998        0.0000000000       -0.0000003902
       -0.0033889802       -0.0000002102        0.0057955148
        0.0000000000       -0.0000000200        0.0002857250
        0.0000000000       -0.0000002102       -0.0202038801
        0.0000000000        0.0007737397       -0.0000005701
        0.0000000000       -0.0000001653        0.0138598197
        0.0000000000        0.0008026699       -0.0000002203
        0.0000000000       -0.0007503952       -0.0000007952
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.3381709001        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0194397201        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0110510400        0.0000000000        0.0000000000
       -0.0003320851        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0000001201
        0.0010192097        0.0000000000        0.0000117198
        0.0003809450        0.0000000000        0.0000058600
       -0.0001783003        0.0000000000        0.3408287103
        0.0000067500        0.0000000000       -0.0000000001
       -0.0155043601        0.0000000848       -0.0009871802
        0.0000000000       -0.0000000351       -0.0005795000
        0.0000000000       -0.0000003651       -0.0008305301
        0.0000000000        0.0195034899        0.0000000450
        0.0000000000        0.0000000898        0.0011336449
        0.0000000000        0.0158521499        0.0000000348
        0.0000000000        0.0005331648       -0.0000007951
        0.0000000000        0.0000000000       -0.0010183601
        0.0000000550        0.0000000000       -0.0003731250
        0.0000107751        0.0000000000        0.0001822499
        0.0000065998        0.0000000000        0.0000067500
        0.3408306401        0.0000000000       -0.0155042500
