   14   36
        0.2866506662        0.0000204764        0.0128161098
        0.0095313796        0.0000001607       -0.0000002906
       -0.0000026775        0.0098686537       -0.0000021500
       -0.0003612301       -0.0000012204       -0.0000015078
       -0.0000038926        0.0342385002        0.0000022324
       -0.0139007604        0.0000001161        0.0000002915
        0.0000025761       -0.0000013914        0.0381470716
       -0.0000012743       -0.0000002692        0.0388812748
       -0.0000019371        0.0009490358       -0.0000005465
        0.0000023370       -0.0000021991       -0.0002580570
       -0.0000029877       -0.0000022737       -0.0000023866
       -0.0000046981       -0.0000000892       -0.0000045812
        0.0000204764        0.2852821117       -0.0000005048
        0.0000025118        0.0074899843       -0.0000005743
       -0.0000055795       -0.0000023391        0.0101907321
       -0.0000002036       -0.0011641168       -0.0000022023
       -0.0000057437        0.0000001369        0.0136150389
       -0.0000005309       -0.0150151907        0.0000007741
        0.0000001684        0.0313736602        0.0000029991
       -0.0000030062        0.0000017891       -0.0000002686
        0.0380013677        0.0000010840       -0.0028768753
       -0.0000010853        0.0000006241       -0.0000009354
       -0.0003978015        0.0000015261       -0.0000015810
       -0.0000005775       -0.0000009140       -0.0000036816
        0.0128161098       -0.0000005048        0.2827194479
        0.0125997084        0.0000016779       -0.0000016611
       -0.0000030963        0.0003949555       -0.0000011291
       -0.0012474985       -0.0000006557        0.0000001755
       -0.0000041356        0.0330546823        0.0000064988
       -0.0212006323        0.0000017613        0.0000046927
       -0.0000000155       -0.0000006703       -0.0494713210
       -0.0000028818        0.0000037214       -0.0003011205
       -0.0000005267        0.0098469324       -0.0000010641
        0.0000029647       -0.0000010388       -0.0012742922
       -0.0000004478       -0.0000021583        0.0000015542
       -0.0000014282       -0.0000013245       -0.0000058880
        0.0095313796        0.0000025118        0.0125997084
        0.3332747033        0.0000217078        0.0000192945
        0.0000163837        0.0007764979       -0.0000002690
        0.0004453862       -0.0000007275       -0.0000003622
       -0.0000035632       -0.0199917382        0.0000007566
        0.0142534753        0.0000021620        0.0000018353
        0.0000008077        0.0000010527       -0.0033163685
       -0.0000010370        0.0000018396        0.0034668803
        0.0000015295       -0.0033422556       -0.0000028081
        0.0000026293        0.0000014175        0.0004876065
       -0.0000007746        0.0000016252        0.0000020762
       -0.0000011552        0.0000005436       -0.0000036736
        0.0000001607        0.0074899843        0.0000016779
        0.0000217078        0.3335066853        0.0000182335
        0.0000165167        0.0000004299       -0.0000610746
        0.0000030379        0.0014607852        0.0000005836
       -0.0000021753        0.0000006946       -0.0100309983
        0.0000018294        0.0170250243        0.0000014703
        0.0000045642        0.0030363556        0.0000039174
        0.0000013925        0.0000045547        0.0000025543
        0.0009135746        0.0000038423       -0.0023481313
        0.0000033721        0.0000043579        0.0000016149
        0.0001569529        0.0000027168        0.0000013316
       -0.0000015618        0.0000013704       -0.0000042279
       -0.0000002906       -0.0000005743       -0.0000016611
        0.0000192945        0.0000182335        0.3278094218
        0.0000158161       -0.0000024437       -0.0000007033
        0.0000005136       -0.0000030407       -0.0022217654
       -0.0000031268       -0.0000009662       -0.0000014815
       -0.0000029786        0.0000000794        0.0141482417
        0.0000013935       -0.0000025129       -0.0000007816
       -0.0000027948        0.0028668219       -0.0000005871
       -0.0000016411        0.0000002963       -0.0000014838
        0.0046254706        0.0000002120        0.0000002450
        0.0000014859        0.0015751895       -0.0000001815
        0.0005768179        0.0003194717       -0.0000064961
       -0.0000026775       -0.0000055795       -0.0000030963
        0.0000163837        0.0000165167        0.0000158161
        0.3248419077       -0.0000030870       -0.0000044608
       -0.0000051168       -0.0000013293       -0.0000025790
       -0.0009702680       -0.0000035732       -0.0000016831
       -0.0000027757       -0.0000010613       -0.0000022570
        0.0273388423       -0.0000037944       -0.0000019224
       -0.0036935432        0.0000009548       -0.0000020273
       -0.0000006378       -0.0000005517       -0.0000049786
        0.0000000870        0.0070711131       -0.0000013452
       -0.0000022541       -0.0000025030        0.0000277139
       -0.0000019544       -0.0000024441       -0.0006801162
        0.0098686537       -0.0000023391        0.0003949555
        0.0007764979        0.0000004299       -0.0000024437
       -0.0000030870        0.3448503614        0.0000095174
        0.0013647890        0.0000095942        0.0000095930
        0.0000059053        0.0009492372       -0.0000006058
       -0.0015021604       -0.0000008976        0.0000008602
       -0.0000000003       -0.0000013240        0.0017331604
       -0.0000039394       -0.0000008239       -0.0159143720
       -0.0000022530        0.0003265153       -0.0000040259
        0.0000012315       -0.0000019834        0.0004883738
       -0.0000002112       -0.0000026915       -0.0000018711
       -0.0000037015       -0.0000046589       -0.0000045848
       -0.0000021500        0.0101907321       -0.0000011291
       -0.0000002690       -0.0000610746       -0.0000007033
       -0.0000044608        0.0000095174        0.3446247669
        0.0000121385        0.0010222780        0.0000131450
        0.0000073331       -0.0000005970       -0.0014464531
       -0.0000014872       -0.0009962208        0.0000027039
       -0.0000010303        0.0031506302        0.0000010388
        0.0000011974        0.0000023365       -0.0000000814
       -0.0159496908        0.0000004292       -0.0010520795
        0.0000003580       -0.0000030724       -0.0000019230
        0.0006987079        0.0000000290       -0.0000005215
       -0.0000028211       -0.0000012380       -0.0000060392
       -0.0003612301       -0.0000002036       -0.0012474985
        0.0004453862        0.0000030379        0.0000005136
       -0.0000051168        0.0013647890        0.0000121385
        0.3372487117        0.0000185938        0.0000073939
        0.0000035065        0.0108165482        0.0000012299
        0.0009797833        0.0000009588        0.0000017815
        0.0000048347        0.0000001477       -0.0011613857
        0.0000023320        0.0000023920        0.0004794343
       -0.0000005736        0.0138498486       -0.0000027265
        0.0000011832        0.0000002856       -0.0190709281
       -0.0000010705       -0.0000004528        0.0000006615
        0.0000025304       -0.0000003025       -0.0000056403
       -0.0000012204       -0.0011641168       -0.0000006557
       -0.0000007275        0.0014607852       -0.0000030407
       -0.0000013293        0.0000095942        0.0010222780
        0.0000185938        0.3373454970        0.0000060830
       -0.0000007213       -0.0000021539        0.0068737116
       -0.0000017549        0.0003390751        0.0000016227
       -0.0000004094       -0.0039936566        0.0000008248
       -0.0000021383       -0.0000016689       -0.0000007155
       -0.0003341874        0.0000008166        0.0136938789
        0.0000004320       -0.0000023769       -0.0000009426
       -0.0192710793       -0.0000031095       -0.0000005629
       -0.0000053397       -0.0000021348       -0.0000083575
       -0.0000015078       -0.0000022023        0.0000001755
       -0.0000003622        0.0000005836       -0.0022217654
       -0.0000025790        0.0000095930        0.0000131450
        0.0000073939        0.0000060830        0.3356618498
        0.0000133049       -0.0000013262       -0.0000009022
