   10   21
        0.4015417400        0.0484607399        0.0000004449
       -0.0038737201       -0.0000006901       -0.0014477399
       -0.0000000450        0.0035298751       -0.0000001302
        0.0667863050       -0.0000004300       -0.0000000949
        0.0001016151       -0.0000000200       -0.0183507251
       -0.0000001249        0.0000001150       -0.0000006300
       -0.0000010800        0.0000003502        0.0000012000
        0.0484607399        0.5595685300        0.0000545799
        0.0413320748        0.0000000098        0.0000564100
       -0.0000000901        0.0017132349       -0.0000000750
       -0.0670169301       -0.0000010600       -0.0000001299
       -0.0091486548        0.0000000000        0.0156146498
       -0.0000003099        0.0000001600        0.0000000399
       -0.0000001751        0.0000005100        0.0000004299
        0.0000004449        0.0000545799        0.5844548002
        0.0000001199        0.0220472799       -0.0000000550
        0.0042652199       -0.0000000351        0.0015215149
       -0.0000000901        0.0452564150       -0.0032576801
        0.0000002349        0.0098137498       -0.0000001252
       -0.0000000701       -0.0000004952        0.0000001899
        0.0000003149       -0.0000001550       -0.0000004253
       -0.0038737201        0.0413320748        0.0000001199
        0.4297952600        0.0000484499        0.0036376801
       -0.0000001199       -0.0042798999       -0.0000000202
        0.0443700200        0.0000020501        0.0000009851
        0.0285997302       -0.0000001549       -0.0013557550
        0.0000004451        0.0000002700        0.0000004351
        0.0000008249       -0.0000001700       -0.0000001951
       -0.0000006901        0.0000000098        0.0220472799
        0.0000484499        0.3844268201       -0.0000001650
        0.0087176399       -0.0000000199        0.0027835098
        0.0000000399       -0.0931210350        0.0399440650
        0.0000004351        0.0030890351       -0.0000004002
       -0.0000000600       -0.0000000202        0.0000003800
       -0.0000004749       -0.0000005701       -0.0000004701
       -0.0014477399        0.0000564100       -0.0000000550
        0.0036376801       -0.0000001650        0.4115908499
        0.0000403351        0.0005858151        0.0000000250
        0.0140220651       -0.0000002449       -0.0000002399
        0.0016061202        0.0000000151       -0.0005792950
       -0.0000000300       -0.0000000500        0.0000001151
        0.0000002350        0.0000000301        0.0000000399
       -0.0000000450       -0.0000000901        0.0042652199
       -0.0000001199        0.0087176399        0.0000403351
        0.4115298100        0.0000000200        0.0003640800
       -0.0000003749        0.0128815350        0.0003198902
       -0.0000003699        0.0007345400       -0.0000000051
       -0.0000000350       -0.0000000750        0.0000000900
        0.0000001749        0.0000000250        0.0000000449
        0.0035298751        0.0017132349       -0.0000000351
       -0.0042798999       -0.0000000199        0.0005858151
        0.0000000200        0.4078372899        0.0000400800
       -0.0077052650       -0.0000004299        0.0000000202
       -0.0004536548       -0.0000003250        0.0024478300
       -0.0000000799       -0.0000000200        0.0000000500
        0.0000000200        0.0000001002        0.0000002750
       -0.0000001302       -0.0000000750        0.0015215149
       -0.0000000202        0.0027835098        0.0000000250
        0.0003640800        0.0000400800        0.4072936102
       -0.0000001901       -0.0222477601        0.0007590199
        0.0000000101        0.0014709299       -0.0000004252
       -0.0000000701       -0.0000000152        0.0000000449
        0.0000000250        0.0000000848        0.0000002548
        0.0667863050       -0.0670169301       -0.0000000901
        0.0443700200        0.0000000399        0.0140220651
       -0.0000003749       -0.0077052650       -0.0000001901
        0.4257852800        0.0000026901        0.0000009202
        0.0288703701        0.0000001950       -0.0235244751
        0.0000008650        0.0000006949       -0.0000000900
       -0.0000003600        0.0000002301       -0.0000001302
       -0.0000004300       -0.0000010600        0.0452564150
        0.0000020501       -0.0931210350       -0.0000002449
        0.0128815350       -0.0000004299       -0.0222477601
        0.0000026901        0.3846210399       -0.0050031798
        0.0000002552        0.0052227651        0.0000000850
        0.0000012002        0.0000010850       -0.0000000398
       -0.0000004150        0.0000000450        0.0000005099
       -0.0000000949       -0.0000001299       -0.0032576801
        0.0000009851        0.0399440650       -0.0000002399
        0.0003198902        0.0000000202        0.0007590199
        0.0000009202       -0.0050031798        0.1130166999
        0.0000008703       -0.0011930199       -0.0000000900
       -0.0000001998       -0.0000001448        0.0000027352
        0.0000026949       -0.0000000298       -0.0000000450
        0.0001016151       -0.0091486548        0.0000002349
        0.0285997302        0.0000004351        0.0016061202
       -0.0000003699       -0.0004536548        0.0000000101
        0.0288703701        0.0000002552        0.0000008703
        0.1198564297       -0.0000000898        0.0049656001
       -0.0000002848       -0.0000003548        0.0000026502
        0.0000025452       -0.0000001198       -0.0000001599
       -0.0000000200        0.0000000000        0.0098137498
       -0.0000001549        0.0030890351        0.0000000151
        0.0007345400       -0.0000003250        0.0014709299
        0.0000001950        0.0052227651       -0.0011930199
       -0.0000000898        0.1028135699        0.0000002599
       -0.0000002500       -0.0000001150       -0.0000001049
       -0.0000000350        0.0000023451        0.0000024249
       -0.0183507251        0.0156146498       -0.0000001252
       -0.0013557550       -0.0000004002       -0.0005792950
       -0.0000000051        0.0024478300       -0.0000004252
       -0.0235244751        0.0000000850       -0.0000000900
        0.0049656001        0.0000002599        0.0971901102
       -0.0000003901       -0.0000002100       -0.0000001852
       -0.0000001302        0.0000022798        0.0000021697
       -0.0000001249       -0.0000003099       -0.0000000701
        0.0000004451       -0.0000000600       -0.0000000300
       -0.0000000350       -0.0000000799       -0.0000000701
        0.0000008650        0.0000012002       -0.0000001998
       -0.0000002848       -0.0000002500       -0.0000003901
        0.1251347999        0.0000003949       -0.0000004800
        0.0409940552       -0.0000006099       -0.0674090802
        0.0000001150        0.0000001600       -0.0000004952
        0.0000002700       -0.0000000202       -0.0000000500
       -0.0000000750       -0.0000000200       -0.0000000152
        0.0000006949        0.0000010850       -0.0000001448
       -0.0000003548       -0.0000001150       -0.0000002100
        0.0000003949        0.1018704100        0.0493822951
       -0.0000005998       -0.0264948351       -0.0000003853
       -0.0000006300        0.0000000399        0.0000001899
        0.0000004351        0.0000003800        0.0000001151
        0.0000000900        0.0000000500        0.0000000449
       -0.0000000900       -0.0000000398        0.0000027352
        0.0000026502       -0.0000001049       -0.0000001852
       -0.0000004800        0.0493822951        0.0903761600
        0.0000007950       -0.0065340399        0.0000001998
       -0.0000010800       -0.0000001751        0.0000003149
        0.0000008249       -0.0000004749        0.0000002350
        0.0000001749        0.0000000200        0.0000000250
       -0.0000003600       -0.0000004150        0.0000026949
        0.0000025452       -0.0000000350       -0.0000001302
        0.0409940552       -0.0000005998        0.0000007950
        0.0743135899        0.0000001101       -0.0145392451
        0.0000003502        0.0000005100       -0.0000001550
       -0.0000001700       -0.0000005701        0.0000000301
        0.0000000250        0.0000001002        0.0000000848
        0.0000002301        0.0000000450       -0.0000000298
       -0.0000001198        0.0000023451        0.0000022798
       -0.0000006099       -0.0264948351       -0.0065340399
        0.0000001101        0.0863330399       -0.0000002001
        0.0000012000        0.0000004299       -0.0000004253
       -0.0000001951       -0.0000004701        0.0000000399
        0.0000000449        0.0000002750        0.0000002548
       -0.0000001302        0.0000005099       -0.0000000450
       -0.0000001599        0.0000024249        0.0000021697
       -0.0674090802       -0.0000003853        0.0000001998
       -0.0145392451       -0.0000002001        0.0976112602
