   11   24
        0.3249330263       -0.0683764252        0.0000088980
        0.0000036923        0.0000052611        0.0068400421
        0.0000030599       -0.0182700784        0.0000047916
       -0.0005509655        0.0000022807        0.0000031483
        0.0000006663        0.0169423129        0.0000020690
        0.0175656950        0.0000047991        0.0000021831
        0.0000031449        0.0000070338        0.0000058218
        0.0294073564       -0.0761303599        0.0000052498
       -0.0683764252        0.3214782851        0.0000133626
        0.0000162345        0.0000135525       -0.0032417516
        0.0000043332        0.0205889651        0.0000022983
        0.0044640070        0.0000027178        0.0000028272
        0.0000006749       -0.0291072482        0.0000022517
       -0.0092136987        0.0000039458        0.0000010002
       -0.0000000432        0.0000022953       -0.0000007404
       -0.0438475573        0.0234394446        0.0000028753
        0.0000088980        0.0000133626        0.3172410399
        0.0000133984        0.0000148285        0.0000028599
        0.0120052044        0.0000010353        0.0000024038
        0.0000002026        0.0000010981        0.0000019870
        0.0000009675        0.0000046320        0.0000016567
        0.0000010733        0.0000013992        0.0457884279
        0.0000013159        0.0076559006       -0.0000009547
        0.0000004997        0.0000010131       -0.0707995328
        0.0000036923        0.0000162345        0.0000133984
        0.2839153029        0.0000148044        0.0000037964
        0.0000039655        0.0000041477        0.0125460001
       -0.0000008295        0.0027379008        0.0168780679
        0.0000001309        0.0000045446       -0.0278197231
        0.0000032493        0.0147302460        0.0000018619
        0.0000019116        0.0000029993        0.0000009625
        0.0000012190        0.0000027801        0.0000030525
        0.0000052611        0.0000135525        0.0000148285
        0.0000148044        0.2555506458        0.0000065819
        0.0000020387        0.0000031984        0.0000019261
        0.0000011062        0.0000025547        0.0000015235
        0.0335760389        0.0000032480        0.0000008902
        0.0000028547        0.0000000495        0.0000012808
        0.0628261724        0.0000006798        0.0192687591
       -0.0000046492       -0.0000004344        0.0000013593
        0.0068400421       -0.0032417516        0.0000028599
        0.0000037964        0.0000065819        0.3755465187
        0.0000445215       -0.0003256525        0.0000046911
       -0.0012580827        0.0000037356        0.0000020223
        0.0000021384        0.0004085294        0.0000024868
       -0.0001883512        0.0000016804        0.0000032364
        0.0000018896        0.0000037650        0.0000023776
        0.0141327854        0.0013916788        0.0000050586
        0.0000030599        0.0000043332        0.0120052044
        0.0000039655        0.0000020387        0.0000445215
