   11   24
        0.0094345896       -0.0000003382       -0.0000002881
        0.0000009723        0.0000031960       -0.0113942036
       -0.0000012818        0.0000021009        0.0000030558
       -0.0000007856        0.0000017207        0.0000006369
       -0.0027069441        0.0119607269       -0.0000014282
        0.0000033371        0.0000009524       -0.0000041982
       -0.0106529768       -0.0000001404        0.0000033317
       -0.0000000630       -0.0000017739        0.0000007498
       -0.0000003382        0.0241227778       -0.0000000584
       -0.0000003078       -0.0092156201        0.0000052441
        0.0000042428       -0.0198505805        0.0000041005
        0.0000009568        0.0000053383       -0.0014063308
       -0.0000014867        0.0000016969       -0.0000007083
       -0.0281105672        0.0000014222       -0.0000013524
        0.0000040740        0.0000010860        0.0014615608
        0.0000018412        0.0182459270        0.0000039786
       -0.0000002881       -0.0000000584        0.0167688719
       -0.0000007452        0.0000019634        0.0000036776
        0.0000035406        0.0000016168        0.0332473154
        0.0000026324        0.0000004675        0.0000029182
       -0.0000008727        0.0000017899       -0.0000007591
        0.0000028615        0.0267571214        0.0193605412
        0.0000018117       -0.0000016122        0.0000034868
       -0.0000019783       -0.0000001454        0.0000011045
        0.0000009723       -0.0000003078       -0.0000007452
        0.0379619613        0.0000016547        0.0000033523
       -0.0119258452        0.0000010448        0.0000032740
        0.0350702602       -0.0032792758        0.0000011589
        0.0000006381        0.0000020658        0.0344874323
        0.0000005811        0.0000011008       -0.0000024487
        0.0000008049        0.0227737874        0.0000025275
        0.0234163402        0.0000016121        0.0107765436
        0.0000031960       -0.0092156201        0.0000019634
        0.0000016547        0.0382574683        0.0000056342
        0.0000028592       -0.0107406322        0.0000068384
        0.0000033702        0.0000024627        0.0209136253
        0.0000013674        0.0000029473        0.0000015382
        0.0557291558        0.0000018440        0.0000012554
        0.0000021748       -0.0000000483        0.0035762355
        0.0000012160        0.0058154841        0.0000036012
       -0.0113942036        0.0000052441        0.0000036776
        0.0000033523        0.0000056342        0.0562087010
        0.0000070766        0.0000052674        0.0000089821
        0.0000067040        0.0000034203        0.0000043647
        0.0359940562       -0.0502138181        0.0000035517
        0.0000074448        0.0000075529        0.0000034981
        0.0688746491        0.0000027187        0.0000048490
        0.0000021113        0.0000042294        0.0000049435
       -0.0000012818        0.0000042428        0.0000035406
       -0.0119258452        0.0000028592        0.0000070766
        0.0603471483        0.0000048800        0.0000072423
        0.0087298849       -0.0485261012        0.0000031378
        0.0000024497        0.0000031255       -0.0659982634
        0.0000053407        0.0000044707       -0.0000004802
        0.0000033053        0.0282081541        0.0000039854
        0.0074709266        0.0000017364       -0.0196814345
        0.0000021009       -0.0198505805        0.0000016168
        0.0000010448       -0.0107406322        0.0000052674
        0.0000048800        0.1878349241        0.0000060719
        0.0000047665        0.0000090589       -0.0787708203
        0.0000035278        0.0000031542        0.0000028862
        0.0046617811        0.0000018028        0.0000027688
        0.0000027684        0.0000054688       -0.0400817260
        0.0000022476       -0.0044920392        0.0000030909
        0.0000030558        0.0000041005        0.0332473154
        0.0000032740        0.0000068384        0.0000089821
        0.0000072423        0.0000060719        0.1289991690
        0.0000044787        0.0000060378        0.0000051763
        0.0000053635        0.0000064620        0.0000098721
        0.0000133005        0.1009829258        0.1107723614
        0.0000125023        0.0000034679        0.0000070231
        0.0000056230        0.0000040974        0.0000030769
       -0.0000007856        0.0000009568        0.0000026324
        0.0350702602        0.0000033702        0.0000067040
        0.0087298849        0.0000047665        0.0000044787
        0.3807903761       -0.0215040647        0.0000054177
        0.0000012578        0.0000029381       -0.0146089579
        0.0000023135        0.0000032504        0.0000009339
        0.0000054112        0.0041320824        0.0000049492
       -0.0837036509        0.0000021937        0.0993318488
        0.0000017207        0.0000053383        0.0000004675
       -0.0032792758        0.0000024627        0.0000034203
       -0.0485261012        0.0000090589        0.0000060378
       -0.0215040647        0.2515132559        0.0000060844
        0.0000032101        0.0000046131       -0.0310165973
        0.0000036486        0.0000046407        0.0000005114
        0.0000059566        0.0428678968        0.0000075983
       -0.0446047589        0.0000050362        0.0869110865
        0.0000006369       -0.0014063308        0.0000029182
        0.0000011589        0.0209136253        0.0000043647
        0.0000031378       -0.0787708203        0.0000051763
        0.0000054177        0.0000060844        0.2121498650
        0.0000023789        0.0000025328        0.0000020891
       -0.0271741145        0.0000022568       -0.0000002247
        0.0000036961        0.0000070695        0.0740622799
        0.0000035297       -0.0545088945        0.0000028648
       -0.0027069441       -0.0000014867       -0.0000008727
        0.0000006381        0.0000013674        0.0359940562
        0.0000024497        0.0000035278        0.0000053635
        0.0000012578        0.0000032101        0.0000023789
        0.0521761123       -0.0297666580        0.0000007196
        0.0000037500        0.0000038861       -0.0000002991
        0.0636871047       -0.0000005623        0.0000005276
        0.0000000536        0.0000010944        0.0000009041
        0.0119607269        0.0000016969        0.0000017899
        0.0000020658        0.0000029473       -0.0502138181
        0.0000031255        0.0000031542        0.0000064620
        0.0000029381        0.0000046131        0.0000025328
       -0.0297666580        0.0798055606        0.0000022214
        0.0000034572        0.0000047559        0.0000027588
       -0.1164875502        0.0000002413        0.0000035550
        0.0000038519       -0.0000013389        0.0000014347
       -0.0000014282       -0.0000007083       -0.0000007591
        0.0344874323        0.0000015382        0.0000035517
       -0.0659982634        0.0000028862        0.0000098721
       -0.0146089579       -0.0310165973        0.0000020891
        0.0000007196        0.0000022214        0.3023225577
        0.0000117571        0.0000055634        0.0000037359
        0.0000098299       -0.0076159880        0.0000028912
       -0.0377466284        0.0000006489       -0.0367114616
        0.0000033371       -0.0281105672        0.0000028615
        0.0000005811        0.0557291558        0.0000074448
        0.0000053407        0.0046617811        0.0000133005
        0.0000023135        0.0000036486       -0.0271741145
        0.0000037500        0.0000034572        0.0000117571
        0.3043716120        0.0000065164        0.0000049440
        0.0000134565        0.0000022052        0.0409196457
        0.0000010988        0.0437982288        0.0000034238
        0.0000009524        0.0000014222        0.0267571214
        0.0000011008        0.0000018440        0.0000075529
        0.0000044707        0.0000018028        0.1009829258
        0.0000032504        0.0000046407        0.0000022568
        0.0000038861        0.0000047559        0.0000055634
        0.0000065164        0.1079198341        0.0866068261
        0.0000078099        0.0000014502        0.0000049795
        0.0000026036        0.0000011769        0.0000030977
       -0.0000041982       -0.0000013524        0.0193605412
       -0.0000024487        0.0000012554        0.0000034981
       -0.0000004802        0.0000027688        0.1107723614
        0.0000009339        0.0000005114       -0.0000002247
       -0.0000002991        0.0000027588        0.0000037359
        0.0000049440        0.0866068261        0.1490449861
        0.0000047066       -0.0000003267        0.0000012618
       -0.0000002355       -0.0000012375       -0.0000001754
       -0.0106529768        0.0000040740        0.0000018117
        0.0000008049        0.0000021748        0.0688746491
