   12   30
        0.0436631396        0.0000002301        0.0000002504
        0.0000002251        0.0000002152        0.0000003202
        0.0000003152        0.0000002153        0.0049010001
        0.0000002854        0.0000002753        0.0000007154
        0.0000002801        0.0000003502        0.0000003352
        0.0496404203       -0.0116818747        0.0000008652
        0.0000006253        0.0000006001        0.0000003452
        0.0000008201        0.0000007952        0.0000003200
       -0.0547057847        0.0000003303        0.0000003551
        0.0000003702        0.0000003403        0.0195876751
        0.0000002301        0.0327832799        0.0000000801
        0.0000000401        0.0000000250        0.0000000500
        0.0028738998        0.0000002201        0.0000001648
        0.0000000500       -0.0136300250       -0.0000001049
        0.0000000399        0.0000001600       -0.0019076349
        0.0000001451        0.0000002900        0.0000000399
        0.0000001252       -0.0419707899        0.0000000649
       -0.0055017752        0.0000000401        0.0000000850
        0.0000000601        0.0000008801        0.0000000699
        0.0261662652        0.0000000250        0.0000006300
        0.0000002504        0.0000000801        0.0327832396
        0.0000000652        0.0000000452       -0.0028737799
        0.0000000702        0.0000002403        0.0000001850
        0.0136301404        0.0000000601       -0.0000000796
        0.0000000750        0.0019076901        0.0000001802
        0.0000001552        0.0000003052        0.0000000450
       -0.0419707496        0.0000000901        0.0000000752
        0.0000000651        0.0055021201        0.0000001050
        0.0000000902        0.0000009004       -0.0261644549
        0.0000000952        0.0000000502        0.0000006452
        0.0000002251        0.0000000401        0.0000000652
        0.0144261898        0.0000000200        0.0000000350
        0.0000000199        0.0000000051        0.0000000399
        0.0000000452        0.0000000301       -0.0000001798
        0.0000000300        0.0000000101        0.0000000051
        0.0000000901        0.0000000601        0.0000000050
        0.0000000252       -0.0000000099       -0.0000000199
        0.0000000750        0.0000000502       -0.0029552000
        0.0000000402       -0.0000000549        0.0000000401
        0.0000000502        0.0000000401        0.0000000651
        0.0000002152        0.0000000250        0.0000000452
        0.0000000200        0.0374289797        0.0000000449
        0.0000000399       -0.0000000348        0.0000001100
        0.0000000902        0.0000000951       -0.0174183748
        0.0000000001        0.0000000601        0.0000000502
        0.0000002952        0.0000004002        0.0545523700
        0.0000003952        0.0000003801       -0.0327107999
        0.0000002599        0.0000002551        0.0000001550
        0.0000001702       -0.0000000847        0.0000001651
        0.0000001651       -0.0099803998        0.0000002251
        0.0000003202        0.0000000500       -0.0028737799
        0.0000000350        0.0000000449        0.0488247400
        0.0000001799        0.0000000149        0.0000000750
        0.0169670201        0.0000000551        0.0000007951
