    7   15
        0.0031803800        0.0000000200        0.0000000399
        0.0000001800        0.0000002350       -0.0000003251
        0.0000000350        0.0000005449        0.0000002100
       -0.0040776650       -0.0000000151        0.0000000200
        0.0000000050        0.0000000400       -0.0000006750
        0.0000000200        0.0134283201        0.0000002998
        0.0000001450        0.0000000900        0.0000028949
        0.0397677300        0.0000001199       -0.0000026300
        0.0000001599        0.0000006700        0.0317147199
        0.0000002400       -0.0000005200        0.0000001200
        0.0000000399        0.0000002998        0.0131021201
        0.0000002650       -0.0000005600        0.0156733400
        0.0000005299        0.0000002049       -0.0152913999
        0.0000002400        0.0000005399       -0.0000003801
        0.0000000750        0.0117425300        0.0000000949
        0.0000001800        0.0000001450        0.0000002650
        0.1055464600        0.0209411800        0.0000014450
        0.0000011151        0.0267955150        0.0000002801
        0.0000009450       -0.0809345350        0.0000025900
        0.0024567950        0.0000019101        0.0320431700
        0.0000002350        0.0000000900       -0.0000005600
        0.0209411800        0.4167022300        0.0000009400
        0.0000005401       -0.0760479151        0.0000076250
       -0.0000013100        0.0141528700        0.0000007400
       -0.0453694300        0.0000011300        0.0506503901
       -0.0000003251        0.0000028949        0.0156733400
        0.0000014450        0.0000009400        0.1476700001
        0.0000037850        0.0000039599       -0.1147306200
        0.0000001149        0.0000003050       -0.0000040600
        0.0000050949       -0.0214925200       -0.0000001700
        0.0000000350        0.0397677300        0.0000005299
        0.0000011151        0.0000005401        0.0000037850
        0.1574266599        0.0000005500       -0.0000032699
        0.0000011250        0.0000105500        0.1586916800
        0.0000013800       -0.0000007199       -0.0000002800
        0.0000005449        0.0000001199        0.0000002049
        0.0267955150       -0.0760479151        0.0000039599
        0.0000005500        0.1855702101        0.0000047000
        0.0000023149        0.0572292449        0.0000010699
       -0.0712387050        0.0000016200        0.0668095650
        0.0000002100       -0.0000026300       -0.0152913999
        0.0000002801        0.0000076250       -0.1147306200
       -0.0000032699        0.0000047000        0.2825483199
        0.0000001400        0.0000007901        0.0000033100
        0.0000107300        0.1208803201       -0.0000011649
       -0.0040776650        0.0000001599        0.0000002400
        0.0000009450       -0.0000013100        0.0000001149
        0.0000011250        0.0000023149        0.0000001400
        0.0322026101        0.0000008749        0.0000010899
       -0.0000020400        0.0000001751        0.0000001700
       -0.0000000151        0.0000006700        0.0000005399
       -0.0809345350        0.0141528700        0.0000003050
        0.0000105500        0.0572292449        0.0000007901
        0.0000008749        0.3292617501        0.0000173250
        0.0205422950        0.0000005500        0.0532982200
        0.0000000200        0.0317147199       -0.0000003801
        0.0000025900        0.0000007400       -0.0000040600
        0.1586916800        0.0000010699        0.0000033100
        0.0000010899        0.0000173250        0.2431009401
        0.0000023049        0.0000009000       -0.0000004751
        0.0000000050        0.0000002400        0.0000000750
        0.0024567950       -0.0453694300        0.0000050949
        0.0000013800       -0.0712387050        0.0000107300
       -0.0000020400        0.0205422950        0.0000023049
        0.3951134600        0.0000052050       -0.0287474450
        0.0000000400       -0.0000005200        0.0117425300
        0.0000019101        0.0000011300       -0.0214925200
       -0.0000007199        0.0000016200        0.1208803201
        0.0000001751        0.0000005500        0.0000009000
        0.0000052050        0.1894901999       -0.0000000099
       -0.0000006750        0.0000001200        0.0000000949
        0.0320431700        0.0506503901       -0.0000001700
       -0.0000002800        0.0668095650       -0.0000011649
        0.0000001700        0.0532982200       -0.0000004751
       -0.0287474450       -0.0000000099        0.1493735000
