   13   33
        0.6236843313       -0.0000026860        0.0000001524
       -0.2625876833        0.0000012560        0.0597581274
       -0.2625890582        0.0000010579       -0.0597573906
        0.0347953023        0.0000000075        0.0864348108
        0.0347945292       -0.0000002969       -0.0864353055
       -0.0741419310        0.0000002890        0.0000002882
       -0.0449113410        0.0000000456       -0.0000008582
       -0.0256616408        0.0000001520        0.0120588597
       -0.0256616442        0.0000001022       -0.0120586332
        0.0011395666        0.0000000339       -0.0004418761
        0.0011395689        0.0000000388        0.0004418250
       -0.0000026860        0.1234789985        0.0000009516
        0.0000013895       -0.0495721615       -0.0000004937
        0.0000009030       -0.0495824617        0.0000001170
       -0.0000001211        0.0014782966       -0.0000005472
       -0.0000001954        0.0014857465        0.0000004081
        0.0000003164       -0.0069093147        0.0000000321
        0.0000000454       -0.0373567134       -0.0000004425
        0.0000001155        0.0005121641       -0.0000000534
        0.0000001568        0.0005082451        0.0000000765
        0.0000000389        0.0079756219       -0.0000000147
        0.0000000370        0.0079815786       -0.0000000338
        0.0000001524        0.0000009516        0.6670295159
        0.1371452030       -0.0000009198       -0.1567598495
       -0.1371444651        0.0000005444       -0.1567584748
        0.0244376273       -0.0000001771       -0.0361749549
       -0.0244381232        0.0000000370       -0.0361741807
        0.0000002879        0.0000000329        0.0083178799
       -0.0000008580       -0.0000004433       -0.2905975036
       -0.0114773836        0.0000000740        0.0067244214
        0.0114776099       -0.0000000501        0.0067244251
        0.0001450536       -0.0000000311       -0.0061656384
       -0.0001451044       -0.0000000185       -0.0061656403
       -0.2625876833        0.0000013895        0.1371452030
        0.6624016831       -0.0000028659        0.0177248433
       -0.0651163978        0.0000002848       -0.0267741924
       -0.0953902083        0.0000001499       -0.0413101308
       -0.0139589305        0.0000000287        0.0279263666
        0.0175006747       -0.0000000224       -0.0358177110
       -0.0004984264        0.0000000166        0.0024602344
       -0.2370760399        0.0000008841       -0.1035864727
       -0.0040017972        0.0000000663       -0.0031804248
       -0.0021191480        0.0000000642        0.0247567636
        0.0008462735        0.0000000041        0.0006555208
        0.0000012560       -0.0495721615       -0.0000009198
       -0.0000028659        0.1158432989        0.0000007826
        0.0000003839       -0.0013949271        0.0000002656
        0.0000003068       -0.0538875318       -0.0000001589
        0.0000000545       -0.0092013375       -0.0000002250
       -0.0000001632        0.0181904903        0.0000000583
        0.0000000591        0.0026673014       -0.0000000496
        0.0000008819       -0.0349117443        0.0000004268
        0.0000000598        0.0091164402       -0.0000000033
        0.0000000276        0.0029258798       -0.0000001748
       -0.0000000006        0.0002242915       -0.0000000019
        0.0597581274       -0.0000004937       -0.1567598495
        0.0177248433        0.0000007826        0.6213351356
        0.0267750733       -0.0000000411        0.0609812470
        0.0397955551       -0.0000006410       -0.2957537786
        0.0373399040       -0.0000002740       -0.0511412274
       -0.1043518335        0.0000004519       -0.0407685868
        0.0257867052       -0.0000001663       -0.0188700762
       -0.1029308107        0.0000004254       -0.0995447098
       -0.0037906446        0.0000000050       -0.0003493571
        0.0031662125       -0.0000000484       -0.0193475883
        0.0007268680       -0.0000000005        0.0002187911
       -0.2625890582        0.0000009030       -0.1371444651
       -0.0651163978        0.0000003839        0.0267750733
