   11   27
        0.0115626597        0.0000001050        0.0020480101
        0.0000000752        0.0000001000        0.0000000851
        0.0024454900        0.0000001900        0.0000001401
        0.0000002252        0.0000001751        0.0000001802
        0.0000001650       -0.0032291150        0.0000002102
        0.0000002251        0.0000001252        0.0017644001
        0.0000001801        0.0000000752        0.0000002501
        0.0000001351        0.0000002052        0.0000001702
        0.0000001802        0.0000003001        0.0000003101
        0.0000001050        0.0129097700        0.0000000450
       -0.0023963349        0.0000001700        0.0000001951
        0.0000000848        0.0000001599        0.0000002051
        0.0000001151        0.0000002150        0.0000002301
        0.0000002250        0.0000000799        0.0000001950
        0.0000001100        0.0000002250        0.0000000851
        0.0000002099        0.0014011201        0.0000001100
        0.0000001201        0.0000003300        0.0000002051
        0.0000001502        0.0000002849        0.0000001650
        0.0020480101        0.0000000450        0.0155720198
        0.0000000450        0.0000002001        0.0000000851
        0.0016687599        0.0000001999        0.0000001050
        0.0000002001        0.0000001749        0.0000001850
        0.0000001199       -0.0030247951        0.0000000551
        0.0000002549        0.0000003001       -0.0009701299
        0.0000001850        0.0000000301        0.0000002601
        0.0000000801        0.0000001650        0.0000000901
        0.0000001751        0.0000001299        0.0000003450
        0.0000000752       -0.0023963349        0.0000000450
        0.0173824898        0.0000000851        0.0000003601
        0.0000000550        0.0000005649        0.0000001802
        0.0000000853        0.0000003850        0.0000001251
        0.0000002500        0.0000000799        0.0000002950
        0.0000001151        0.0000003450        0.0000000351
        0.0000001400        0.0001756899        0.0000001300
        0.0000001252        0.0000002251        0.0000000652
        0.0000001802        0.0000001650        0.0000001951
        0.0000001000        0.0000001700        0.0000002001
        0.0000000851        0.2870646000        0.0000016450
        0.0000003600       -0.0120640101        0.0000071250
        0.0071404500        0.0000020999        0.0000764851
        0.0000019300        0.0000002200        0.0000010499
        0.0026394150        0.0000011899        0.0000005500
        0.0202312150        0.0000003701       -0.0523502500
        0.0000014650       -0.0171094599        0.0000018952
        0.1264702301        0.0000043899       -0.0111919151
        0.0000000851        0.0000001951        0.0000000851
        0.0000003601        0.0000016450        0.2896351899
        0.0000003449        0.0000025101        0.0036044001
        0.0000020951       -0.0012885300        0.0000045800
       -0.0145880252        0.0000002750       -0.0054585900
        0.0000012049        0.0555025500        0.0000006401
        0.0000016300        0.0000005500        0.0000013500
       -0.0011054799        0.0000029351        0.1050953053
        0.0000037151        0.0793809248        0.0000045600
        0.0024454900        0.0000000848        0.0016687599
        0.0000000550        0.0000003600        0.0000003449
        0.0155124201        0.0000003698        0.0000001050
        0.0000005600        0.0000001749        0.0000003951
        0.0000002498       -0.0053547150        0.0000003300
        0.0000004148        0.0000002399       -0.0004415202
        0.0000003699        0.0000000249        0.0000002899
        0.0000001650        0.0000002750        0.0000000801
        0.0000002251        0.0000001648        0.0000003099
        0.0000001900        0.0000001599        0.0000001999
        0.0000005649       -0.0120640101        0.0000025101
        0.0000003698        0.2829684001        0.0000012949
        0.0135342100        0.0000034748       -0.0033634952
        0.0000035797        0.0000007498        0.0000037849
        0.0313212900        0.0000036448        0.0000005949
       -0.0752199051        0.0000009550       -0.0120233051
        0.0000016999        0.0080185649        0.0000026350
       -0.0046748700        0.0000018548       -0.0770265150
        0.0000001401        0.0000002051        0.0000001050
        0.0000001802        0.0000071250        0.0036044001
        0.0000001050        0.0000012949        0.2719088599
        0.0000024203       -0.0438294902        0.0000022001
        0.0119431400        0.0000001451       -0.0475506650
        0.0000032301       -0.0217879749       -0.0000000249
        0.0000033900        0.0000007249        0.0000039701
        0.0446145451        0.0000064301        0.0514753252
        0.0000031352       -0.0661774452        0.0000023300
        0.0000002252        0.0000001151        0.0000002001
        0.0000000853        0.0071404500        0.0000020951
        0.0000005600        0.0135342100        0.0000024203
        0.2895498497        0.0000035401       -0.0485526047
        0.0000028851        0.0000005350        0.0000009751
        0.0495669900        0.0000023101        0.0000005602
        0.0161538301        0.0000003051        0.0397061801
        0.0000017653       -0.0292889548        0.0000019502
        0.0133469952        0.0000006700       -0.0980965099
        0.0000001751        0.0000002150        0.0000001749
        0.0000003850        0.0000020999       -0.0012885300
        0.0000001749        0.0000034748       -0.0438294902
        0.0000035401        0.2950318401        0.0000068000
       -0.0144392001        0.0000005699        0.0771601350
        0.0000018349       -0.0386701451        0.0000004350
        0.0000015250        0.0000003048        0.0000036799
        0.0471343050        0.0000028349       -0.0166926699
