    9   21
        0.0379288304        0.0000000696       -0.0024126254
        0.0062003147       -0.0078401050        0.0000001145
       -0.0030365703        0.0000000949        0.0000000696
       -0.0163084303        0.0000002848        0.0603593051
        0.0110802148        0.0064232148        0.0000002098
       -0.0300117401       -0.0000000298        0.0000000398
       -0.0088714000       -0.0009642901       -0.0011082352
        0.0000000696        0.0495875304        0.0000000347
        0.0000000148        0.0000001350       -0.0049112253
       -0.0000000153       -0.0346901800       -0.0242661551
        0.0000001501       -0.0551582252        0.0000003999
        0.0000006997        0.0000013850        0.0557473550
        0.0000002197        0.0166575902        0.0132333398
        0.0000001498        0.0000001347        0.0000000099
       -0.0024126254        0.0000000347        0.0621390905
       -0.0084810102       -0.0044651955        0.0000000747
       -0.0013798453        0.0000000449        0.0000000199
        0.0129554900        0.0000004945       -0.0098305651
       -0.0441183704        0.0506547349        0.0000000148
        0.0067971797       -0.0000000102       -0.0000000003
       -0.0545434301        0.0365268096       -0.0084525954
        0.0062003147        0.0000000148       -0.0084810102
        0.0399396902        0.0038173349        0.0000000998
       -0.0150988851        0.0000001350        0.0000000648
       -0.0088128752        0.0000000549        0.0149787752
        0.0309642849        0.0354762551        0.0000000699
       -0.0164650152        0.0000000301        0.0000000546
        0.0218187250       -0.0095953001        0.0214411199
       -0.0078401050        0.0000001350       -0.0044651955
        0.0038173349        0.0584464402        0.0000002498
        0.0043523397        0.0000003149        0.0000002049
       -0.0622349151        0.0000006449       -0.0619091898
        0.0395059249        0.0133034899        0.0000004601
        0.0265616447        0.0000000051        0.0000001148
       -0.0122365401       -0.0142646101        0.0018379799
        0.0000001145       -0.0049112253        0.0000000747
        0.0000000998        0.0000002498        0.0860848604
        0.0000000347        0.0699069702        0.0533412648
        0.0000007799       -0.0896147802        0.0000004798
        0.0000032097        0.0000015248       -0.0180419551
        0.0000004900       -0.0026661903       -0.0447367952
        0.0000003550        0.0000002748        0.0000000497
       -0.0030365703       -0.0000000153       -0.0013798453
       -0.0150988851        0.0043523397        0.0000000347
        0.2725392704        0.0000000500       -0.0000000153
       -0.0206478799        0.0000000097        0.0155541949
        0.0088014747        0.0026787401        0.0000000048
        0.0058722497        0.0000000000        0.0000000048
