    9   21
        0.4797095608       -0.2227406853       -0.0002021054
        0.0062614095        0.0006314698        0.0000000000
        0.0019108447        0.0000000000        0.4160077350
       -0.0133913653        0.0391981695       -0.0111648205
        0.0000000000        0.0013009895        0.0000000000
        0.0003579299        0.0000000000        0.0753789647
        0.0000000000        0.0000000000        0.0000000000
       -0.2227406853        0.3029129903       -0.0001510602
       -0.0000673154       -0.0011895349        0.0000000000
        0.0042307948        0.0000000000       -0.5273322199
        0.0270257047        0.0007096250        0.0102099298
        0.0000000000       -0.0013246651        0.0000000000
       -0.0200551250        0.0000000000       -0.0540292550
        0.0000000000        0.0000000000        0.0000000000
       -0.0002021054       -0.0001510602        0.2962007602
       -0.0001793703        0.0003381848        0.0000000000
        0.0004893047        0.0000000000        0.0059872499
        0.0031141749       -0.0001343102        0.0012931301
        0.0000000000       -0.0003499750        0.0000000000
        0.0001792350        0.0000000000        0.0008487402
        0.0000000000        0.0000000000        0.0000000000
        0.0062614095       -0.0000673154       -0.0001793703
        0.3748108708       -0.0002178004        0.0000000000
        0.0003095295        0.0000000000       -0.0001477551
        0.0013939746       -0.0137312605       -0.0002104403
        0.0000000000        0.0005191498        0.0000000000
       -0.0011099053        0.0000000000        0.0022569600
        0.0000000000        0.0000000000        0.0000000000
        0.0006314698       -0.0011895349        0.0003381848
       -0.0002178004        0.3705631002        0.0000000000
        0.0007234499        0.0000000000        0.0103516700
        0.0015977847       -0.0000912550        0.0151463499
        0.0000000000       -0.0184663801        0.0000000000
        0.0007411251        0.0000000000       -0.0026826200
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.3709629505
        0.0000000000        0.0011262250        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0149601195        0.0000000000        0.0171816447
        0.0000000000       -0.0058569802        0.0000000000
       -0.0038962099        0.0004722347        0.0014246149
        0.0019108447        0.0042307948        0.0004893047
        0.0003095295        0.0007234499        0.0000000000
        0.3738817605        0.0000000000       -0.0176478599
       -0.0009004003        0.0020305097       -0.0030554651
        0.0000000000        0.0003348848        0.0000000000
        0.0174541148        0.0000000000        0.0055916399
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0011262250
        0.0000000000        0.3689913501        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0064722050        0.0000000000       -0.0003119152
        0.0000000000        0.0127873949        0.0000000000
        0.0084486450        0.0000682948        0.0009477651
        0.4160077350       -0.5273322199        0.0059872499
       -0.0001477551        0.0103516700        0.0000000000
       -0.0176478599        0.0000000000        1.1699948999
        0.0021174449        0.0022859001        0.0151672052
        0.0000000000        0.0049310950        0.0000000000
        0.0348726653        0.0000000000        0.0970949702
        0.0000000000        0.0000000000        0.0000000000
       -0.0133913653        0.0270257047        0.0031141749
        0.0013939746        0.0015977847        0.0000000000
       -0.0009004003        0.0000000000        0.0021174449
        0.1972429504        0.0036063648        0.0106414899
        0.0000000000        0.0007847996        0.0000000000
        0.0051095802        0.0000000000        0.0086458800
        0.0000000000        0.0000000000        0.0000000000
        0.0391981695        0.0007096250       -0.0001343102
       -0.0137312605       -0.0000912550        0.0000000000
        0.0020305097        0.0000000000        0.0022859001
        0.0036063648        0.1377078604       -0.0017584853
        0.0000000000       -0.0002704053        0.0000000000
       -0.0024275352        0.0000000000        0.0064209999
        0.0000000000        0.0000000000        0.0000000000
       -0.0111648205        0.0102099298        0.0012931301
       -0.0002104403        0.0151463499        0.0000000000
       -0.0030554651        0.0000000000        0.0151672052
        0.0106414899       -0.0017584853        0.1593493403
        0.0000000000       -0.0023913151        0.0000000000
        0.0064626801        0.0000000000       -0.0136050551
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0149601195
        0.0000000000       -0.0064722050        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.1632597008        0.0000000000        0.0018878245
        0.0000000000       -0.0225746604        0.0000000000
       -0.0249321701       -0.0006986255        0.0006506147
        0.0013009895       -0.0013246651       -0.0003499750
        0.0005191498       -0.0184663801        0.0000000000
        0.0003348848        0.0000000000        0.0049310950
        0.0007847996       -0.0002704053       -0.0023913151
        0.0000000000        0.1386653804        0.0000000000
       -0.0001916749        0.0000000000       -0.0005591451
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0171816447
        0.0000000000       -0.0003119152        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0018878245        0.0000000000        0.1367137304
        0.0000000000        0.0019640598        0.0000000000
       -0.0007761651       -0.0012355602       -0.0029621953
        0.0003579299       -0.0200551250        0.0001792350
       -0.0011099053        0.0007411251        0.0000000000
        0.0174541148        0.0000000000        0.0348726653
        0.0051095802       -0.0024275352        0.0064626801
        0.0000000000       -0.0001916749        0.0000000000
        0.1395859800        0.0000000000        0.0000486051
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0058569802
        0.0000000000        0.0127873949        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0225746604        0.0000000000        0.0019640598
        0.0000000000        0.1869690402        0.0000000000
       -0.0022855349       -0.0076189852        0.0085595951
        0.0753789647       -0.0540292550        0.0008487402
        0.0022569600       -0.0026826200        0.0000000000
        0.0055916399        0.0000000000        0.0970949702
        0.0086458800        0.0064209999       -0.0136050551
        0.0000000000       -0.0005591451        0.0000000000
        0.0000486051        0.0000000000        0.1580407701
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0038962099
        0.0000000000        0.0084486450        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0249321701        0.0000000000       -0.0007761651
        0.0000000000       -0.0022855349        0.0000000000
        0.1516078601        0.0027687346       -0.0016428601
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0004722347
        0.0000000000        0.0000682948        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0006986255        0.0000000000       -0.0012355602
        0.0000000000       -0.0076189852        0.0000000000
        0.0027687346        0.0087170105       -0.0018575801
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0014246149
        0.0000000000        0.0009477651        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0006506147        0.0000000000       -0.0029621953
        0.0000000000        0.0085595951        0.0000000000
       -0.0016428601       -0.0018575801        0.0089042601
