    9   21
        0.0379288599        0.0000002251       -0.0024126453
        0.0062003500       -0.0078399651        0.0000000801
       -0.0030365700        0.0000005602        0.0000000253
        0.0163094501        0.0000003953        0.0603595100
        0.0110797703       -0.0064211852        0.0000003553
       -0.0300120050        0.0000001197       -0.0000000153
       -0.0088713500       -0.0009639800        0.0011083102
        0.0000002251        0.0495882603        0.0000000998
        0.0000000949        0.0000000898        0.0049126749
        0.0000000000       -0.0346908402       -0.0242664802
        0.0000002646       -0.0551587601        0.0000008399
        0.0000001648        0.0000016698       -0.0557463201
        0.0000001549        0.0166590794        0.0132334645
        0.0000002746        0.0000001947        0.0000000352
       -0.0024126453        0.0000000998        0.0621392104
       -0.0084808804       -0.0044651202        0.0000000750
       -0.0013798453        0.0000002348        0.0000000350
       -0.0129553155        0.0000004397       -0.0098306501
       -0.0441188851       -0.0506527104        0.0000007498
        0.0067975600        0.0000001097       -0.0000002254
       -0.0545431652        0.0365266948        0.0084526047
        0.0062003500        0.0000000949       -0.0084808804
        0.0399397402        0.0038174349        0.0000001299
       -0.0150987452        0.0000003948        0.0000002453
        0.0088138751       -0.0000000449        0.0149787300
        0.0309640600       -0.0354754201        0.0000007500
       -0.0164651149       -0.0000001305       -0.0000001555
        0.0218187498       -0.0095949653       -0.0214408550
       -0.0078399651        0.0000000898       -0.0044651202
        0.0038174349        0.0584465602        0.0000002402
        0.0043523647        0.0000009248        0.0000002100
        0.0622368299        0.0000008851       -0.0619091298
        0.0395056699       -0.0133000250        0.0000006898
        0.0265619752        0.0000002348        0.0000001796
       -0.0122364651       -0.0142643552       -0.0018378449
        0.0000000801        0.0049126749        0.0000000750
        0.0000001299        0.0000002402        0.0860852799
        0.0000000750       -0.0699049900       -0.0533401200
        0.0000009550        0.0896183352        0.0000009101
        0.0000023300        0.0000017698       -0.0180425999
        0.0000004002        0.0026690998        0.0447374347
        0.0000003200        0.0000002350       -0.0000000199
       -0.0030365700        0.0000000000       -0.0013798453
       -0.0150987452        0.0043523647        0.0000000750
        0.2725392903        0.0000003297       -0.0000000401
        0.0206500098       -0.0000002200        0.0155541699
        0.0088017950       -0.0026787055        0.0000008100
        0.0058725050        0.0000000395       -0.0000001705
        0.0243447747        0.0317103996        0.0151880550
        0.0000005602       -0.0346908402        0.0000002348
