   10   24
        0.0609675590        0.0000001205        0.0031239813
        0.0001288402        0.0000001552        0.0000004803
       -0.0036421238        0.0120847454        0.0000001802
        0.0840866750        0.0000014558       -0.0259539996
        0.0000008805       -0.0107361996        0.0000013358
       -0.0444922347       -0.0131160795        0.0000002854
        0.0000006810        0.0000002757        0.0108193905
       -0.0125050639        0.0000005451        0.0014230108
        0.0000001205        0.0401876594        0.0000002854
        0.0000002404       -0.0077603198        0.0007445948
        0.0000001205        0.0000002751        0.0203085455
        0.0000004047        0.0037648761        0.0000008203
        0.0305749745        0.0000008151        0.0511479652
        0.0000001353        0.0000002706       -0.0000096895
       -0.0046603594        0.0256657603        0.0000000949
        0.0000007952       -0.0110280899       -0.0000001546
        0.0031239813        0.0000002854        0.0389751688
       -0.0061799193        0.0000001802        0.0000001847
        0.0068737063        0.0196686705        0.0000004809
        0.0198117652        0.0000006509        0.0086455253
        0.0000005053        0.0525895553        0.0000007407
       -0.0158760446       -0.0006928695        0.0000003109
        0.0000004161        0.0000007657       -0.0103435644
        0.0157967611        0.0000003405        0.0080218706
        0.0001288402        0.0000002404       -0.0061799193
        0.0639887196        0.0000004650        0.0000002296
        0.0106130807       -0.0028348495        0.0000001904
       -0.0229252356        0.0000010760       -0.0990172947
        0.0000019247        0.0091518899        0.0000016905
        0.0225646653        0.0226368354        0.0000003251
        0.0000001654        0.0000004854        0.0143885802
       -0.0102276147       -0.0000001296        0.0271640846
        0.0000001552       -0.0077603198        0.0000001802
        0.0000004650        0.0573463296       -0.0017929557
        0.0000001006        0.0000001648        0.0167862851
        0.0000011693       -0.0236841646        0.0000017002
       -0.0967225401        0.0000015899        0.0148086554
        0.0000002950        0.0000004854        0.0236755648
        0.0042035509       -0.0239143748        0.0000002950
        0.0000002655       -0.0029803147        0.0000002848
        0.0000004803        0.0007445948        0.0000001847
        0.0000002296       -0.0017929557        0.0653607003
        0.0000002899        0.0000000898        0.0137363901
        0.0000021595        0.1035734851        0.0000011499
       -0.0237656457        0.0000019946        0.0004774353
        0.0000003297        0.0000001796       -0.0176616402
        0.0397150006       -0.0062338199        0.0000006202
        0.0000003348       -0.0026176451        0.0000003149
       -0.0036421238        0.0000001205        0.0068737063
        0.0106130807        0.0000001006        0.0000002899
        0.1067379185       -0.0698590145        0.0000009607
        0.0594767351        0.0000007066       -0.0366110294
        0.0000005303        0.0066625756        0.0000007458
        0.0064743153        0.0544280306        0.0000000858
        0.0000004610        0.0000006457        0.0042111355
        0.0467834013        0.0000013011       -0.0017702592
        0.0120847454        0.0000002751        0.0196686705
       -0.0028348495        0.0000001648        0.0000000898
       -0.0698590145        0.3234627695        0.0000026699
       -0.0593492848        0.0000005002       -0.0365002649
        0.0000004047       -0.0107968299        0.0000006651
       -0.1650391346       -0.0734243798        0.0000005855
        0.0000002655        0.0000013057       -0.0193161895
       -0.0720682294       -0.0000002797        0.0108599096
        0.0000001802        0.0203085455        0.0000004809
        0.0000001904        0.0167862851        0.0137363901
        0.0000009607        0.0000026699        0.1197360893
        0.0000001648        0.0017213910        0.0000004400
       -0.0500467701        0.0000004155        0.0063204999
        0.0000005855        0.0000010402        0.0512087604
       -0.0067464845        0.0390718958        0.0000011755
        0.0000024505       -0.0048450647        0.0000009555
        0.0840866750        0.0000004047        0.0198117652
       -0.0229252356        0.0000011693        0.0000021595
        0.0594767351       -0.0593492848        0.0000001648
        0.2978914802        0.0000108099       -0.0042595804
        0.0000038096        0.0025320600        0.0000086800
       -0.0651816504       -0.0029661902        0.0000011948
        0.0000029456        0.0000016900        0.0004851694
        0.0024606351        0.0000020299       -0.0010789404
        0.0000014558        0.0037648761        0.0000006509
        0.0000010760       -0.0236841646        0.1035734851
        0.0000007066        0.0000005002        0.0017213910
        0.0000108099        0.2932761186        0.0000035158
        0.0015868852        0.0000089852       -0.0006575794
        0.0000018656        0.0000010658       -0.0435674144
        0.0701362217       -0.0088181991       -0.0000002842
