    8    7
        0.8023061200        0.0000022901        0.0000022901
        0.0000215950        0.3472396150        0.0000007850
        0.0000007850        0.0000022901        0.0327108199
        0.0000019001        0.0000050201       -0.0000000600
        0.0000049351        0.0000010500        0.0000022901
        0.0000019001        0.0327108199        0.0000050201
       -0.0000000600        0.0000010500        0.0000049351
        0.0000215950        0.0000050201        0.0000050201
        0.4454482399        0.0000212000        0.0000006251
        0.0000006251        0.3472396150       -0.0000000600
       -0.0000000600        0.0000212000        0.7840982100
        0.0000008450        0.0000008450        0.0000007850
        0.0000049351        0.0000010500        0.0000006251
        0.0000008450        0.0823263700       -0.0000022899
        0.0000007850        0.0000010500        0.0000049351
        0.0000006251        0.0000008450       -0.0000022899
        0.0823263700
